IndicatorCode,NTD_LEPR11,NTD_LEPR11,NTD_LEPR11,NTD_LEPR11,NTD_LEPR11,NTD_LEPR11,NTD_LEPR11,NTD_LEPR11,NTD_LEPR11,NTD_LEPR11,NTD_LEPR11,NTD_LEPR11,NTD_LEPR11,NTD_LEPR13,NTD_LEPR13,NTD_LEPR13,NTD_LEPR13,NTD_LEPR13,NTD_LEPR13,NTD_LEPR13,NTD_LEPR13,NTD_LEPR13,NTD_LEPR13,NTD_LEPR13,NTD_LEPR13,NTD_LEPR13,NTD_LEPR14,NTD_LEPR14,NTD_LEPR14,NTD_LEPR14,NTD_LEPR14,NTD_LEPR14,NTD_LEPR14,NTD_LEPR14,NTD_LEPR14,NTD_LEPR2,NTD_LEPR2,NTD_LEPR2,NTD_LEPR2,NTD_LEPR2,NTD_LEPR2,NTD_LEPR2,NTD_LEPR2,NTD_LEPR2,NTD_LEPR2,NTD_LEPR2,NTD_LEPR2,NTD_LEPR2,NTD_LEPR3,NTD_LEPR3,NTD_LEPR3,NTD_LEPR3,NTD_LEPR3,NTD_LEPR3,NTD_LEPR3,NTD_LEPR3,NTD_LEPR3,NTD_LEPR3,NTD_LEPR3,NTD_LEPR3,NTD_LEPR3,NTD_LEPR4,NTD_LEPR4,NTD_LEPR4,NTD_LEPR4,NTD_LEPR4,NTD_LEPR4,NTD_LEPR4,NTD_LEPR4,NTD_LEPR4,NTD_LEPR4,NTD_LEPR4,NTD_LEPR4,NTD_LEPR4,NTD_LEPR5,NTD_LEPR5,NTD_LEPR5,NTD_LEPR5,NTD_LEPR5,NTD_LEPR5,NTD_LEPR5,NTD_LEPR5,NTD_LEPR5,NTD_LEPR5,NTD_LEPR5,NTD_LEPR5,NTD_LEPR5,NTD_LEPR7,NTD_LEPR7,NTD_LEPR7,NTD_LEPR7,NTD_LEPR7,NTD_LEPR7,NTD_LEPR7,NTD_LEPR7,NTD_LEPR7,NTD_LEPR7,NTD_LEPR7,NTD_LEPR7,NTD_LEPR7,NTD_LEPR8,NTD_LEPR8,NTD_LEPR8,NTD_LEPR8,NTD_LEPR8,NTD_LEPR8,NTD_LEPR8,NTD_LEPR8,NTD_LEPR8,NTD_LEPR8,NTD_LEPR8,NTD_LEPR8,NTD_LEPR8,NTD_LEPR9,NTD_LEPR9,NTD_LEPR9,NTD_LEPR9,NTD_LEPR9,NTD_LEPR9,NTD_LEPR9,NTD_LEPR9,NTD_LEPR9,NTD_LEPR9,NTD_LEPR9,WHS3_45,WHS3_45,WHS3_45,WHS3_45,WHS3_45,WHS3_45,WHS3_45,WHS3_45,WHS3_45,WHS3_45,WHS3_45,WHS3_45,WHS3_45,WHS3_45,WHS3_45,WHS3_45,WHS3_45,WHS3_45,WHS3_45,WHS3_45
YEAR,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2016,2017,2018,2019,2020,2021,2022,2023,2024,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
BHR,,,,1.0,0.0,,0.0,,0.0,2.0,0.0,0.0,0.0,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,2.0,1.0,5.0,2.0,3.0,1.0,0.0,1.0,,,,4.357,2.105,1.34,0.637,3.047,1.175,2.05,0.68,0.0,0.622,,,,,0.0,0.0,0.0,,0.0,2.0,0.0,0.0,1.0,,,,,0.0,0.0,0.0,,0.0,1.0,0.0,0.0,0.622,,,,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,,,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,,0.0,,0.0,0.0,0.0,0.0,,2.0,0.0,1.0,3.0,4.0,,,,6.0,3.0,2.0,1.0,5.0,2.0,3.0,1.0,0.0,1.0
BHS,,,0.0,1.0,0.0,,0.0,0.0,,0.0,1.0,0.0,0.0,,,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,,,0.0,2.577,0.0,,0.0,0.0,,0.0,2.44,0.0,0.0,,,0.0,1.0,0.0,0.0,0.0,0.0,,0.0,1.0,0.0,0.0,,,0.0,2.57719,0.0,0.0,0.0,0.0,,0.0,2.44,0.0,0.0,,,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,,,,,0.0,1.0,0.0,,0.0,0.0,,0.0,1.0,0.0,0.0
BIH,,,,,,0.0,0.0,,,0.0,0.0,0.0,0.0,,,,,,0.0,0.0,,,0.0,0.0,0.0,0.0,,0.0,0.0,,,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,,,,,,0.0,0.0,,,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,,,,,,0.0,0.0,,,0.0,0.0,0.0,0.0,,,,,,0.0,0.0,,,0.0,0.0,0.0,0.0,,,,,,0.0,0.0,,,0.0,0.0,0.0,0.0,,,,0.0,,,,0.0,0.0,0.0,0.0,,,,0.0,,0.0,,,,,0.0,,0.0,0.0,,,0.0,0.0,0.0,0.0
BLR,,,,,0.0,0.0,0.0,,0.0,0.0,,,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,,,0.0,0.0,,0.0,0.0,0.0,,,,,,0.0,,0.0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,
BLZ,0.0,0.0,0.0,,0.0,1.0,0.0,,,,0.0,1.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,1.0,,1.0,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,2.669,0.0,2.562,,,0.0,2.434,0.0,0.0,0.0,0.0,,0.0,1.0,0.0,1.0,,,0.0,1.0,0.0,0.0,0.0,0.0,,0.0,2.669,0.0,2.562,,,0.0,2.434,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,,0.0,0.0,,,,,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,1.0,0.0,1.0,,,0.0,1.0,0.0
BOL,,,,,33.0,16.0,22.0,18.0,6.0,12.0,12.0,18.0,15.0,,,,,0.0,0.283,0.0,0.851,0.284,0.0,0.27,0.201,0.0,,,,0.0,1.0,1.0,0.0,0.0,0.0,,,0.0,,6.337,5.629,4.58,6.167,2.484,2.566,3.11,3.552,2.095,,,,,0.0,0.0,53.0,,101.0,54.0,60.0,43.0,31.0,,,0.0,,,0.0,4.668,,8.652,4.47,4.91,3.471,2.497,,,,,3.0,2.0,10.0,5.0,5.0,0.0,5.0,6.0,4.0,,,,,0.27554,0.18097,0.88081,0.43,0.43,0.0,0.41,0.484,0.322,,,,,0.0,1.0,0.0,3.0,1.0,0.0,1.0,1.0,0.0,,,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,114.0,165.0,,129.0,141.0,124.0,,,,,,69.0,63.0,52.0,71.0,29.0,31.0,38.0,44.0,26.0
BRA,14443.0,13942.0,14109.0,12705.0,11156.0,11982.0,13078.0,12471.0,7741.0,7815.0,8477.0,10155.0,10225.0,47.315,54.533,50.275,46.091,37.309,38.011,38.102,34.845,19.946,17.286,19.15,16.288,22.092,3.0,5.0,3.0,1.0,0.0,6.0,4.0,3.0,2.0,167.642,154.94,153.757,140.66,121.443,128.411,136.822,132.021,84.583,85.468,91.19,105.225,104.383,29311.0,28485.0,25738.0,23995.0,22710.0,28067.0,30882.0,31827.0,22872.0,22426.0,22842.0,25720.0,27432.0,147.546,142.168,127.395,115.4452,109.365,134.107,147.43,150.803,107.603,104.635,106.09,118.842,129.397,2234.0,1996.0,2034.0,1880.0,1736.0,1949.0,2109.0,2351.0,1504.0,1737.0,1917.0,2173.0,2236.0,11.13876,9.86124,9.96018,9.194,8.36011,9.31251,10.0683,11.14,7.08,8.104,8.9,10.041,10.547,2246.0,2418.0,2341.0,2113.0,1696.0,1718.0,1705.0,1545.0,878.0,761.0,836.0,958.0,921.0,,48.0,35.0,54.0,39.0,50.0,35.0,29.0,44.0,35.0,36.0,38410.0,44436.0,39125.0,38914.0,37610.0,34894.0,33955.0,33303.0,31044.0,31064.0,28761.0,25218.0,26875.0,28660.0,27863.0,17979.0,18318.0,19635.0,22773.0,22129.0
BRB,,,,,,,,0.0,0.0,0.0,1.0,0.0,0.0,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,,,,0.0,,,,,0.0,0.0,0.0,3.55,0.0,0.0,,,,,,,,0.0,0.0,,1.0,0.0,0.0,,,0.0,,,,,0.0,0.0,,3.55,0.0,0.0,,,,,,,,0.0,0.0,0.0,,0.0,0.0,,,,,,,,0.0,0.0,0.0,,0.0,0.0,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,,0.0,,1.0,,,,,,,,0.0,0.0,0.0,1.0,0.0,0.0
BRN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,2.0,0.0,1.0,0.0,4.852,0.0,2.363,0.0,0.0,4.665,2.331,0.0,2.286,4.491,0.0,2.21,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,2.0,0.0,2.426,2.394,0.0,0.0,0.0,0.0,2.331,2.308,0.0,0.0,0.0,4.42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,2.0,2.0,3.0,,2.0,0.0,1.0,0.0,0.0,2.0,1.0,0.0,1.0,2.0,0.0,1.0,0.0
BTN,3.0,7.0,0.0,0.0,3.0,4.0,5.0,7.0,4.0,6.0,4.0,2.0,0.0,14.475,0.0,4.974,5.011,5.039,0.0,0.0,0.0,0.0,5.641,0.0,0.0,6.042,2.0,2.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,24.265,22.548,20.9,18.068,12.217,14.859,15.907,23.588,11.002,21.865,12.78,8.89,21.478,25.0,21.0,18.0,18.0,9.0,14.0,15.0,18.0,14.0,17.0,10.0,9.0,18.0,33.701,27.853,23.512,23.2309,11.282,17.335,19.884,23.588,19.253,21.865,12.78,11.43,22.741,4.0,4.0,2.0,0.0,2.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,5.31235,5.22903,2.57583,0.0,2.715,2.47643,2.65116,1.31,0.0,0.0,0.0,0.0,0.0,3.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,15.0,16.0,,18.0,12.0,14.0,23.0,18.0,17.0,16.0,14.0,9.0,12.0,12.0,18.0,8.0,17.0,10.0,7.0,17.0
BWA,1.0,,,,,,0.0,,,,1.0,1.0,0.0,0.0,,,,,,0.0,,,,0.0,0.0,0.0,,,0.0,,,,0.0,0.0,0.0,0.499,,,,,0.436,1.775,,,,1.14,0.748,0.397,6.0,,,,,4.0,4.0,,,,5.0,4.0,3.0,2.994,,,,,1.745,1.775,,,,1.9,1.495,1.19,0.0,,,,,1.0,0.0,,,,0.0,1.0,1.0,0.0,,,,,0.43636,0.0,,,,0.0,0.374,0.397,0.0,,,,,,0.0,,,,0.0,0.0,0.0,,,,,,,,,0.0,0.0,0.0,5.0,,0.0,0.0,,4.0,,1.0,,,,,1.0,4.0,,,,3.0,2.0,1.0
CAF,70.0,38.0,31.0,,67.0,77.0,,,,,120.0,127.0,89.0,9.576,6.718,7.196,,21.784,29.215,,27.35,,,10.05,7.82,17.992,0.0,0.0,,,,,0.0,0.0,0.0,33.59,21.445,14.44,,83.794,73.19,37.074,72.284,,,72.05,70.007,36.956,256.0,154.0,178.0,,385.0,118.0,,,,,402.0,402.0,197.0,56.572,33.359,37.798,,83.794,25.327,,,,,72.05,70.007,36.956,22.0,8.0,9.0,,13.0,0.0,,,,,6.0,0.0,31.0,4.89932,1.77791,1.99318,,2.8294,0.0,,,,,1.08,0.0,5.815,19.0,14.0,14.0,,43.0,58.0,,57.0,,,27.0,27.0,47.0,,,5.0,0.0,,,,,0.0,0.0,5.0,252.0,313.0,345.0,141.0,247.0,174.0,141.0,152.0,99.0,68.0,,385.0,341.0,173.0,343.0,,,402.0,402.0,197.0
CAN,,,,,,1.0,1.0,1.0,0.0,2.0,1.0,0.0,0.0,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,0.0,,0.0,,,,0.0,,,0.137,0.27,0.053,0.026,0.16,0.078,0.077,0.075,,,,,,0.0,0.0,0.0,0.0,6.0,0.0,3.0,3.0,,,0.0,,,0.0,0.0,0.0,0.0,0.16,0.0,0.077,0.075,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,5.0,10.0,2.0,1.0,6.0,3.0,3.0,3.0
CHE,,,,,,0.0,,0.0,,,,,,,,,,,,,0.0,,,,,,,0.0,,0.0,,,,,,,,,,0.0,0.0,,0.0,,,,,,,,,,,0.0,,0.0,,,,,,,,,,0.0,0.0,,0.0,,,,,,,,,,,0.0,,0.0,,,,,,,,,,,0.0,,0.0,,,,,,,,,,,,,0.0,,,,,,,,,0.0,,0.0,,,,,,,,,,,,,,,,,,0.0,,0.0,,,,,
CHL,,0.0,0.0,0.0,1.0,,0.0,2.0,2.0,2.0,1.0,4.0,2.0,,0.0,0.0,0.0,0.0,0.27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,6.0,7.0,4.0,7.0,10.0,2.0,7.0,6.0,,0.0,0.0,0.0,0.056,0.325,0.374,0.211,0.366,0.513,0.1,0.357,0.304,,0.0,0.0,0.0,0.0,5.0,7.0,,,,2.0,7.0,5.0,,0.0,0.0,0.0,,0.277,0.374,,,,0.1,0.357,0.253,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,,0.0,0.0,0.0,0.0,1.0,0.0,,,0.0,0.0,0.0,,0.0,0.0,0.0,1.0,6.0,7.0,4.0,7.0,10.0,2.0,7.0,6.0
CHN,359.0,308.0,263.0,204.0,215.0,217.0,192.0,137.0,133.0,136.0,109.0,128.0,84.0,0.114,0.055,0.058,0.082,0.078,0.037,0.029,0.023,0.02,0.028,0.01,0.006,0.026,,0.0,1.0,2.0,1.0,0.0,1.0,2.0,2.0,0.874,0.663,0.592,0.492,0.48,0.447,0.365,0.322,0.282,0.262,0.21,0.221,0.188,2331.0,1908.0,1601.0,1353.0,0.0,1177.0,970.0,782.0,704.0,714.0,628.0,605.0,574.0,1.694,1.369,1.154,0.98705,0.013,0.83,0.679,0.545,0.489,0.501,0.44,0.424,0.404,346.0,188.0,165.0,126.0,148.0,127.0,99.0,100.0,72.0,68.0,64.0,72.0,60.0,0.2502,0.1352,0.11803,0.08969,0.10486,0.08959,0.06934,0.07,0.05,0.048,0.05,0.051,0.042,29.0,14.0,14.0,20.0,19.0,9.0,7.0,6.0,5.0,7.0,3.0,2.0,6.0,,,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1658.0,1506.0,1526.0,1614.0,1597.0,1324.0,1144.0,1210.0,930.0,823.0,678.0,672.0,634.0,521.0,464.0,406.0,374.0,302.0,315.0,267.0
CIV,477.0,485.0,407.0,354.0,411.0,312.0,254.0,262.0,235.0,204.0,185.0,213.0,242.0,12.776,12.864,7.716,7.965,8.183,6.558,4.906,4.102,4.11,3.831,3.34,2.782,3.601,0.0,,,,0.0,,0.0,0.0,0.0,51.916,57.541,43.74,39.248,37.77,31.818,25.729,22.048,19.524,18.706,17.15,16.728,18.288,918.0,932.0,709.0,702.0,772.0,657.0,514.0,471.0,393.0,458.0,429.0,396.0,548.0,46.271,45.875,34.079,30.92299,32.579,27.043,20.503,18.315,14.899,16.668,15.23,13.715,17.16,205.0,209.0,218.0,186.0,88.0,142.0,126.0,128.0,128.0,125.0,102.0,106.0,142.0,9.57112,9.51457,9.67541,8.04899,3.71372,5.84488,5.02608,4.98,4.85,4.549,3.62,3.671,4.447,119.0,138.0,75.0,79.0,83.0,68.0,52.0,44.0,45.0,44.0,39.0,42.0,47.0,0.0,,0.0,3.0,4.0,6.0,7.0,4.0,2.0,6.0,5.0,,976.0,1204.0,998.0,884.0,,770.0,1030.0,1169.0,910.0,891.0,895.0,773.0,645.0,567.0,515.0,514.0,483.0,483.0,584.0
CMR,185.0,169.0,136.0,127.0,132.0,93.0,46.0,47.0,90.0,64.0,85.0,33.0,35.0,13.137,6.751,5.921,4.887,5.26,2.191,0.187,1.46,1.164,0.953,1.1,0.331,0.249,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.134,19.817,13.892,15.464,12.031,10.352,5.393,6.672,6.705,5.552,7.02,2.967,3.674,431.0,419.0,423.0,473.0,451.0,336.0,255.0,277.0,283.0,153.0,166.0,139.0,166.0,19.862,18.828,18.537,20.26201,19.241,13.969,10.113,16.802,10.661,5.625,5.95,4.852,5.7,32.0,34.0,22.0,42.0,26.0,26.0,13.0,14.0,16.0,18.0,26.0,10.0,12.0,1.51786,1.57002,0.98921,1.83932,1.10925,1.08091,0.51554,0.54,0.6,0.662,0.93,0.349,0.412,123.0,74.0,58.0,49.0,54.0,23.0,2.0,16.0,13.0,11.0,13.0,5.0,3.0,,,,3.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,537.0,714.0,549.0,406.0,453.0,532.0,552.0,502.0,441.0,317.0,361.0,282.0,249.0,136.0,110.0,178.0,151.0,196.0,85.0,107.0
COD,1676.0,1722.0,1514.0,1884.0,1660.0,1645.0,1477.0,1222.0,1241.0,1370.0,1060.0,1604.0,974.0,11.754,11.321,11.894,13.754,11.94,9.901,8.606,3.957,14.092,11.162,7.12,4.619,4.692,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,54.897,55.455,47.174,54.836,47.818,44.861,39.527,34.935,37.795,43.256,37.57,38.577,27.801,3375.0,3650.0,3231.0,4257.0,4218.0,3786.0,3318.0,3342.0,3974.0,4160.0,4243.0,3924.0,3538.0,51.366,54.063,46.583,55.0948,53.571,46.545,39.468,38.506,44.372,43.381,42.85,38.372,32.377,518.0,471.0,469.0,577.0,508.0,519.0,334.0,317.0,418.0,447.0,377.0,354.0,266.0,7.50957,6.60441,6.36166,7.57251,6.45193,6.38062,3.97297,3.65,4.67,4.661,3.81,3.462,2.434,376.0,452.0,407.0,486.0,436.0,373.0,334.0,158.0,578.0,498.0,328.0,269.0,236.0,,,0.0,30.0,21.0,57.0,47.0,50.0,18.0,15.0,30.0,10737.0,8257.0,8820.0,6114.0,5062.0,5049.0,3949.0,3607.0,3744.0,3272.0,4237.0,3765.0,3649.0,3323.0,3032.0,3385.0,4148.0,3720.0,3945.0,3038.0
COG,,36.0,,16.0,41.0,68.0,82.0,,40.0,146.0,148.0,77.0,69.0,,4.027,,2.912,5.211,12.034,7.244,,8.343,14.9,8.16,8.961,2.342,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,,11.916,,12.77,14.242,38.778,44.429,,21.022,26.046,52.43,39.955,28.265,,143.0,,254.0,151.0,289.0,189.0,,289.0,41.0,233.0,376.0,187.0,,32.152,,54.97443,29.459,54.935,36.039,,52.373,7.026,39.03,61.57,29.528,,15.0,,9.0,3.0,0.0,12.0,,12.0,90.0,68.0,38.0,44.0,,3.15697,,1.80157,0.58527,0.0,2.28817,,2.17,15.422,11.39,6.223,6.948,,9.0,,6.0,11.0,26.0,16.0,,19.0,36.0,20.0,28.0,6.0,,,0.0,0.0,3.0,,0.0,5.0,0.0,2.0,2.0,207.0,65.0,261.0,217.0,145.0,,146.0,,53.0,,59.0,73.0,204.0,233.0,,116.0,152.0,313.0,244.0,179.0
COK,,0.0,0.0,,0.0,,0.0,,,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,,0.0,,,0.0,0.0,0.0,0.0,,,0.0,,,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,,0.0,,,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,,0.0,,,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,,0.0,,,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,,0.0,,,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,,0.0,,,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,,0.0,,,0.0,0.0,0.0,0.0,0.0,,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,,0.0,,0.0,,,0.0,0.0,0.0,0.0
COL,141.0,141.0,154.0,132.0,115.0,134.0,136.0,133.0,62.0,111.0,123.0,115.0,79.0,0.916,0.79,0.603,0.78,1.217,0.697,0.437,0.79,0.177,0.809,0.36,0.067,0.373,1.0,7.0,3.0,2.0,2.0,16.0,14.0,24.0,18.0,8.217,8.899,8.645,7.236,6.454,7.378,6.524,6.734,3.773,5.28,5.67,5.126,3.404,620.0,584.0,587.0,498.0,394.0,380.0,529.0,441.0,308.0,285.0,326.0,454.0,175.0,12.997,12.086,11.997,10.3258,8.098,7.745,10.652,8.761,6.053,5.532,6.28,8.716,3.309,31.0,53.0,52.0,59.0,57.0,56.0,39.0,43.0,26.0,37.0,50.0,46.0,41.0,0.66124,1.11949,1.08805,1.22334,1.17155,1.14133,0.78532,0.85,0.51,0.718,0.96,0.883,0.775,11.0,9.0,7.0,9.0,14.0,8.0,5.0,9.0,2.0,9.0,4.0,1.0,4.0,,0.0,3.0,1.0,1.0,0.0,0.0,2.0,0.0,0.0,1.0,585.0,398.0,510.0,445.0,468.0,295.0,434.0,392.0,430.0,423.0,349.0,314.0,362.0,324.0,339.0,192.0,272.0,294.0,267.0,180.0
COM,,204.0,201.0,157.0,128.0,163.0,104.0,230.0,74.0,86.0,101.0,91.0,99.0,,415.818,,419.778,260.963,,297.78,807.704,229.876,273.552,238.79,185.654,323.277,0.0,,0.0,,0.0,0.0,,15.0,0.0,,653.135,430.599,435.018,389.642,527.085,330.401,561.764,293.264,290.887,314.3,282.839,346.169,,303.0,239.0,256.0,263.0,377.0,195.0,348.0,191.0,148.0,211.0,169.0,218.0,,412.291,317.633,324.6778,330.567,463.196,234.284,408.983,237.345,180.131,252.16,198.339,251.55,,10.0,6.0,13.0,7.0,8.0,0.0,7.0,2.0,9.0,8.0,7.0,12.0,,13.4861,7.90111,16.72166,8.79836,9.82908,0.0,8.227,2.49,10.954,9.56,8.215,13.847,,139.0,112.0,131.0,83.0,,98.0,270.0,78.0,86.0,76.0,75.0,104.0,,,0.0,0.0,0.0,,0.0,,,0.0,1.0,133.0,132.0,108.0,336.0,318.0,,502.0,,480.0,324.0,343.0,310.0,429.0,275.0,478.0,236.0,239.0,263.0,241.0,300.0
CPV,,,,,,3.0,,,,,3.0,5.0,5.0,,,,,,0.0,0.0,0.0,,,0.0,14.48,7.458,,,,,,,0.0,0.0,0.0,,,,,,16.472,20.229,21.821,,,8.43,15.033,11.431,,,,,,9.0,,16.0,,,0.0,10.0,5.0,,,,,,16.472,,28.778,,,0.0,16.703,9.526,,,,,,0.0,,,,,0.0,1.0,0.0,,,,,,0.0,,,,,0.0,1.67,0.0,,,,,,0.0,0.0,0.0,,,0.0,3.0,1.0,,,,,,,,,0.0,0.0,0.0,2.0,,8.0,,,4.0,4.0,,,,,,9.0,11.0,12.0,,,5.0,9.0,6.0
CRI,2.0,16.0,3.0,2.0,2.0,4.0,11.0,3.0,2.0,,1.0,10.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.777,0.0,0.0,0.0,,1.0,,0.0,0.0,0.0,0.0,1.0,0.0,1.249,5.336,2.43,2.08,3.294,2.242,6.801,1.981,1.178,1.746,1.93,3.645,3.899,64.0,74.0,53.0,24.0,24.0,24.0,34.0,28.0,6.0,21.0,25.0,38.0,30.0,13.319,15.188,10.734,4.99184,4.941,4.892,6.801,5.547,1.178,4.075,4.83,7.291,5.848,,,,0.0,2.0,0.0,0.0,5.0,0.0,0.0,0.0,1.0,4.0,,,,0.0,0.41175,0.0,0.0,0.99,0.0,0.0,0.0,0.192,0.78,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,11.0,10.0,11.0,3.0,7.0,7.0,16.0,6.0,26.0,12.0,10.0,16.0,11.0,34.0,10.0,6.0,9.0,10.0,19.0,20.0
