IndicatorCode,NTD_LEPR11,NTD_LEPR11,NTD_LEPR11,NTD_LEPR11,NTD_LEPR11,NTD_LEPR11,NTD_LEPR11,NTD_LEPR11,NTD_LEPR11,NTD_LEPR11,NTD_LEPR11,NTD_LEPR11,NTD_LEPR11,NTD_LEPR13,NTD_LEPR13,NTD_LEPR13,NTD_LEPR13,NTD_LEPR13,NTD_LEPR13,NTD_LEPR13,NTD_LEPR13,NTD_LEPR13,NTD_LEPR13,NTD_LEPR13,NTD_LEPR13,NTD_LEPR13,NTD_LEPR14,NTD_LEPR14,NTD_LEPR14,NTD_LEPR14,NTD_LEPR14,NTD_LEPR14,NTD_LEPR14,NTD_LEPR14,NTD_LEPR14,NTD_LEPR2,NTD_LEPR2,NTD_LEPR2,NTD_LEPR2,NTD_LEPR2,NTD_LEPR2,NTD_LEPR2,NTD_LEPR2,NTD_LEPR2,NTD_LEPR2,NTD_LEPR2,NTD_LEPR2,NTD_LEPR2,NTD_LEPR3,NTD_LEPR3,NTD_LEPR3,NTD_LEPR3,NTD_LEPR3,NTD_LEPR3,NTD_LEPR3,NTD_LEPR3,NTD_LEPR3,NTD_LEPR3,NTD_LEPR3,NTD_LEPR3,NTD_LEPR3,NTD_LEPR4,NTD_LEPR4,NTD_LEPR4,NTD_LEPR4,NTD_LEPR4,NTD_LEPR4,NTD_LEPR4,NTD_LEPR4,NTD_LEPR4,NTD_LEPR4,NTD_LEPR4,NTD_LEPR4,NTD_LEPR4,NTD_LEPR5,NTD_LEPR5,NTD_LEPR5,NTD_LEPR5,NTD_LEPR5,NTD_LEPR5,NTD_LEPR5,NTD_LEPR5,NTD_LEPR5,NTD_LEPR5,NTD_LEPR5,NTD_LEPR5,NTD_LEPR5,NTD_LEPR7,NTD_LEPR7,NTD_LEPR7,NTD_LEPR7,NTD_LEPR7,NTD_LEPR7,NTD_LEPR7,NTD_LEPR7,NTD_LEPR7,NTD_LEPR7,NTD_LEPR7,NTD_LEPR7,NTD_LEPR7,NTD_LEPR8,NTD_LEPR8,NTD_LEPR8,NTD_LEPR8,NTD_LEPR8,NTD_LEPR8,NTD_LEPR8,NTD_LEPR8,NTD_LEPR8,NTD_LEPR8,NTD_LEPR8,NTD_LEPR8,NTD_LEPR8,NTD_LEPR9,NTD_LEPR9,NTD_LEPR9,NTD_LEPR9,NTD_LEPR9,NTD_LEPR9,NTD_LEPR9,NTD_LEPR9,NTD_LEPR9,NTD_LEPR9,NTD_LEPR9,WHS3_45,WHS3_45,WHS3_45,WHS3_45,WHS3_45,WHS3_45,WHS3_45,WHS3_45,WHS3_45,WHS3_45,WHS3_45,WHS3_45,WHS3_45,WHS3_45,WHS3_45,WHS3_45,WHS3_45,WHS3_45,WHS3_45,WHS3_45
YEAR,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2016,2017,2018,2019,2020,2021,2022,2023,2024,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
ATG,0.0,,0.0,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,,0.0,,0.0,0.0,0.0,,0.0,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,,0.0,,,0.0,,0.0,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
AUS,2.0,5.0,4.0,5.0,3.0,1.0,3.0,6.0,2.0,3.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,7.0,6.0,7.0,4.0,,,7.0,8.0,0.174,0.557,0.381,0.542,0.788,0.409,0.241,0.397,0.157,0.502,0.19,0.265,0.337,4.0,0.0,,0.0,19.0,20.0,11.0,9.0,10.0,13.0,8.0,7.0,10.0,0.174,0.0,,0.0,0.788,0.818,0.442,0.357,0.392,0.502,0.31,0.265,0.374,1.0,1.0,1.0,2.0,4.0,2.0,0.0,1.0,1.0,4.0,0.0,2.0,3.0,0.04382,0.0432,0.0426,0.08404,0.1658,0.0818,0.0,0.04,0.04,0.154,0.0,0.076,0.112,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,5.0,,11.0,5.0,9.0,7.0,4.0,13.0,9.0,13.0,19.0,10.0,6.0,10.0,4.0,13.0,5.0,7.0,9.0
AUT,,,,,0.0,0.0,,,0.0,,0.0,0.0,0.0,,,,,0.0,0.0,,,0.0,,0.0,0.0,0.0,0.0,0.0,,,0.0,,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,0.0,,0.0,0.0,0.0,,,,,0.0,0.0,,,0.0,,0.0,0.0,0.0,,,,,0.0,0.0,,,0.0,,0.0,0.0,0.0,,,,,0.0,0.0,,,0.0,,0.0,0.0,0.0,,,,,0.0,0.0,,,0.0,,0.0,0.0,0.0,,,,,0.0,0.0,,,0.0,,0.0,0.0,0.0,,,0.0,0.0,,,0.0,,0.0,0.0,0.0,,,0.0,0.0,,0.0,,,,,0.0,0.0,0.0,,,0.0,,0.0,0.0,0.0
AZE,,,,,0.0,,,,,,,0.0,,,,,,0.0,,,,,,,0.0,,0.0,,,,,,,0.0,,,,,0.0,0.0,,,,,,,0.0,,,,,,0.0,0.0,,,,,,0.0,,,,,,0.0,0.0,,,,,,0.0,,,,,,,,,,,,,0.0,,,,,,,,,,,,,0.0,,,,,,0.0,,,,,,,0.0,,,,,,,,,,,0.0,,,,,,,0.0,,,,,0.0,0.0,,,,,,,0.0,
BDI,,,,,281.0,155.0,,,,194.0,236.0,128.0,136.0,,,,,4.25,5.271,4.962,,,8.261,9.32,3.351,1.433,,,,,,0.0,0.0,,0.0,,,,,40.954,39.346,30.335,,,35.056,36.54,18.733,17.868,,,,,501.0,443.0,382.0,,9.0,447.0,497.0,295.0,272.0,,,,,47.605,40.776,34.182,,0.757,35.614,38.56,22.283,19.362,,,,,43.0,33.0,,,,31.0,60.0,29.0,25.0,,,,,4.08585,3.03749,,,,2.47,4.66,2.191,1.78,,,,,20.0,26.0,25.0,,,48.0,55.0,25.0,9.0,,,0.0,0.0,,,,2.0,7.0,0.0,1.0,293.0,288.0,239.0,275.0,280.0,546.0,445.0,,,,,431.0,426.0,339.0,,,440.0,471.0,248.0,251.0
BEL,,,,,1.0,0.0,1.0,1.0,,,0.0,0.0,0.0,,,,,,0.0,,0.0,,,0.0,0.0,0.0,,,1.0,2.0,,,0.0,0.0,0.0,,,,,0.264,0.0,0.087,0.173,,,0.0,0.0,0.0,,,,,0.0,0.0,,2.0,,,0.0,0.0,0.0,,,,,0.0,0.0,,0.173,,,0.0,0.0,0.0,,,,,,,,2.0,,,0.0,0.0,0.0,,,,,,,,0.17,,,0.0,0.0,0.0,,,,,,0.0,,0.0,,,0.0,0.0,0.0,,,,,,,,,0.0,0.0,0.0,,,0.0,0.0,,,,,,,,3.0,0.0,1.0,2.0,,,0.0,0.0,0.0
BEN,106.0,105.0,92.0,77.0,,69.0,58.0,61.0,47.0,38.0,21.0,32.0,36.0,4.243,3.815,4.946,4.394,,2.936,0.615,1.205,1.77,0.542,0.53,0.968,0.0,,5.0,9.0,1.0,0.0,0.0,6.0,1.0,5.0,24.177,24.604,18.114,15.993,,13.422,13.409,9.236,8.166,5.924,4.42,5.469,5.117,235.0,227.0,158.0,171.0,,175.0,135.0,113.0,91.0,70.0,56.0,83.0,85.0,23.381,21.989,14.906,15.71716,,15.659,11.754,9.575,7.506,5.386,4.19,6.053,5.877,50.0,44.0,45.0,37.0,,40.0,49.0,29.0,26.0,18.0,32.0,35.0,39.0,5.13919,4.39805,4.37457,3.4985,,3.5792,4.26642,2.46,2.14,1.385,2.4,2.552,2.697,18.0,19.0,22.0,20.0,,14.0,3.0,6.0,9.0,3.0,3.0,7.0,0.0,0.0,,,1.0,0.0,0.0,0.0,,0.0,0.0,0.0,397.0,404.0,345.0,298.0,248.0,227.0,246.0,243.0,254.0,192.0,174.0,,150.0,154.0,109.0,99.0,77.0,59.0,75.0,74.0
BFA,145.0,121.0,109.0,92.0,100.0,86.0,95.0,69.0,80.0,114.0,120.0,111.0,8.0,0.786,0.881,0.745,0.848,0.354,0.692,0.788,0.441,0.216,1.437,0.61,0.711,1.422,0.0,0.0,,,2.0,0.0,,0.0,0.0,19.016,14.94,11.941,10.328,11.155,10.003,9.265,7.283,7.989,11.312,9.35,8.946,7.007,295.0,250.0,199.0,186.0,211.0,201.0,203.0,209.0,200.0,254.0,222.0,219.0,176.0,17.922,14.762,11.424,10.27308,11.316,10.472,10.278,10.285,9.568,11.493,9.79,9.419,7.474,67.0,84.0,49.0,58.0,44.0,49.0,62.0,52.0,59.0,69.0,72.0,65.0,45.0,4.04316,4.92013,2.78631,3.20254,2.3597,2.55296,3.13901,2.56,2.82,3.122,3.18,2.796,1.911,6.0,8.0,6.0,7.0,3.0,6.0,7.0,4.0,2.0,14.0,6.0,9.0,14.0,1.0,,1.0,0.0,3.0,0.0,2.0,1.0,0.0,3.0,3.0,872.0,776.0,588.0,452.0,412.0,320.0,,313.0,253.0,208.0,187.0,208.0,192.0,183.0,148.0,167.0,250.0,212.0,208.0,165.0
BGD,1410.0,1237.0,1374.0,1621.0,1136.0,1574.0,1601.0,1623.0,1247.0,1365.0,1363.0,1683.0,1704.0,4.097,3.741,4.256,7.113,3.636,5.188,4.897,4.733,4.29,3.772,3.33,2.446,3.294,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,23.84,20.058,22.85,24.696,18.41,22.797,23.107,22.313,22.87,16.958,17.46,21.04,20.275,3459.0,3087.0,3310.0,3749.0,3132.0,3237.0,3240.0,3216.0,2498.0,2603.0,2439.0,3142.0,3473.0,22.36,19.713,20.882,23.28634,19.22,19.658,20.077,19.724,15.168,15.37,14.25,18.167,20.01,423.0,341.0,409.0,327.0,292.0,296.0,297.0,252.0,137.0,156.0,186.0,220.0,230.0,2.71629,2.1641,2.56579,2.02852,1.79194,1.79754,1.84041,1.55,0.83,0.921,1.09,1.272,1.325,191.0,166.0,197.0,327.0,166.0,235.0,220.0,210.0,189.0,169.0,148.0,148.0,160.0,,3.0,0.0,4.0,3.0,3.0,2.0,1.0,1.0,7.0,2.0,7882.0,6280.0,5357.0,5249.0,5239.0,3848.0,3970.0,3688.0,3141.0,3622.0,3976.0,3000.0,3754.0,3729.0,3638.0,3766.0,2872.0,2988.0,3639.0,3519.0
BGR,,,,,,,,0.0,0.0,,0.0,0.0,0.0,,,,,,,,0.0,0.0,,0.0,0.0,0.0,,,,0.0,0.0,,0.0,0.0,0.0,,,,,,,,0.0,0.0,,0.0,0.0,0.0,,,,,,0.0,,0.0,0.0,,0.0,0.0,0.0,,,,,,0.0,,0.0,0.0,,0.0,0.0,0.0,,,,,,,,0.0,0.0,,0.0,0.0,0.0,,,,,,,,0.0,0.0,,0.0,0.0,0.0,,,,,,,,0.0,0.0,,0.0,0.0,0.0,,,,,,0.0,0.0,,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,0.0,,0.0,0.0,0.0
