IndicatorCode,HWF_0010,HWF_0010,HWF_0010,HWF_0010,HWF_0010,HWF_0010,HWF_0010,HWF_0010,HWF_0010,HWF_0010,HWF_0010,HWF_0010,HWF_0010,HWF_0010,HWF_0010,HWF_0010,HWF_0010,HWF_0010,HWF_0010,HWF_0010,HWF_0010,HWF_0010,HWF_0010,HWF_0010,HWF_0010,HWF_0010,HWF_0010,HWF_0010,HWF_0010,HWF_0010,HWF_0010,HWF_0010,HWF_0010,HWF_0010,HWF_0011,HWF_0011,HWF_0011,HWF_0011,HWF_0011,HWF_0011,HWF_0011,HWF_0011,HWF_0011,HWF_0011,HWF_0011,HWF_0011,HWF_0011,HWF_0011,HWF_0011,HWF_0011,HWF_0011,HWF_0011,HWF_0011,HWF_0011,HWF_0011,HWF_0011,HWF_0011,HWF_0011,HWF_0011,HWF_0011,HWF_0011,HWF_0011,HWF_0011,HWF_0011,HWF_0011,HWF_0011,HWF_0011,HWF_0011,HWF_0011,HWF_0011,HWF_0011,HWF_0011,HWF_0011,HWF_0011,HWF_0011,HWF_0011,HWF_0011,HWF_0011,HWF_0011,HWF_0011,HWF_0011,HWF_0011,HWF_0011,HWF_0011,HWF_0011,HWF_0011,HWF_0011,HWF_0011,HWF_0011,HWF_0011,HWF_0011,HWF_0011,HWF_0011,HWF_0011,HWF_0011,HWF_0011,HWF_0011,HWF_0011,HWF_0012,HWF_0012,HWF_0012,HWF_0012,HWF_0012,HWF_0012,HWF_0012,HWF_0012,HWF_0012,HWF_0012,HWF_0012,HWF_0012,HWF_0012,HWF_0012,HWF_0012,HWF_0012,HWF_0012,HWF_0012,HWF_0012,HWF_0012,HWF_0012,HWF_0012,HWF_0012,HWF_0012,HWF_0012,HWF_0012,HWF_0012,HWF_0012,HWF_0012,HWF_0012,HWF_0012,HWF_0012,HWF_0012,HWF_0012,HWF_0012,HWF_0012,HWF_0012,HWF_0012,HWF_0012,HWF_0012,HWF_0012,HWF_0013,HWF_0013,HWF_0013,HWF_0013,HWF_0013,HWF_0013,HWF_0013,HWF_0013,HWF_0013,HWF_0013,HWF_0013,HWF_0013,HWF_0013,HWF_0013,HWF_0013,HWF_0013,HWF_0013,HWF_0013,HWF_0013,HWF_0013,HWF_0013,HWF_0013,HWF_0013,HWF_0013,HWF_0013,HWF_0013,HWF_0013,HWF_0013,HWF_0013,HWF_0013,HWF_0013,HWF_0013,HWF_0013,HWF_0013,HWF_0013,HWF_0013,HWF_0013,HWF_0013,HWF_0013,HWF_0013,ORALHEALTH_DENOMINATOR_CHEPPP,ORALHEALTH_DENOMINATOR_TTLPOP,ORALHEALTH_DENTALHEALTHCARE_EXP_PERCAP,ORALHEALTH_DENTALHEALTHCARE_EXP_TOTAL,ORALHEALTH_HWF_DENTALPROSTHETICTECH_10K,ORALHEALTH_UHC_GOVSCHEME,PRISON_B9_1_DENTISTS_RATIO
BGR,6.92,6.78,6.67,6.76,6.58,6.56,6.63,6.38,5.95,5.77,8.47,8.18,7.82,8.3,8.4,8.47,8.56,8.52,8.38,8.72,8.71,9.13,9.48,9.72,9.96,10.03,10.4,10.61,10.37,10.66,10.63,10.99,11.23,,,,,,,,,,,,,,,,,,,,,,4839.0,4984.0,5201.0,5460.0,5623.0,5745.0,5844.0,5921.0,5953.0,6048.0,6109.0,5899.0,5705.0,5727.0,5540.0,5481.0,5493.0,5240.0,4838.0,4655.0,6778.0,6482.0,6144.0,6475.0,6508.0,6516.0,6537.0,6461.0,6314.0,6529.0,6480.0,6737.0,6935.0,7064.0,7192.0,7197.0,7413.0,7505.0,7282.0,7439.0,7373.0,7560.0,7663.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,63.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1624.0,,,,,,1798.0,6979.175,15.72294,109.43165,2.31996,100.0,0.96
BHR,,,,,,,,,,,,,,,2.07,1.05,1.04,,1.06,1.0,1.01,1.05,1.14,1.07,1.0,0.98,0.94,0.84,0.81,0.74,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,180.0,98.0,103.0,,119.0,118.0,122.0,127.0,139.0,134.0,131.0,134.0,134.0,125.0,121.0,110.0,119.0,,,,,,,,,,,,,,,,,,,,,,,,,96.0,,,,,,,,,,,,,,75.0,60.0,66.0,,,,,,,,,,,,,,,,,,,,,,,,66.0,145.0,150.0,,154.0,159.0,172.0,181.0,191.0,196.0,208.0,82.0,,79.0,27.0,25.0,20.0,,,,1881.0,1477.469,41.3558,62.48862,0.49965,,
BHS,,,,,,,,,,,,,,,,,,,2.21,,,2.26,,,,,,2.54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,79.0,,,84.0,,,,,,99.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31.0,,,40.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,,,6.0,,,,,,,,,,,,,2228.0,406.471,514.90586,32.88704,,,
BIH,3.17,3.02,,,,,,,,1.72,1.74,1.63,1.64,1.1,1.74,1.76,1.9,1.86,1.71,1.75,2.09,2.16,2.38,2.24,2.31,2.34,2.42,2.48,2.46,2.58,,,,,,,,,,,,,,,,,,,,,,,,,799.0,921.0,983.0,1015.0,1156.0,1250.0,1317.0,1334.0,1342.0,1393.0,1408.0,1346.0,,,,,,,,712.0,725.0,679.0,686.0,460.0,722.0,722.0,770.0,748.0,674.0,680.0,797.0,808.0,875.0,809.0,825.0,823.0,839.0,849.0,832.0,862.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1477.0,3318.407,20.75451,72.68228,,,2.53
BLR,3.18,3.22,3.27,3.45,3.56,3.62,3.82,3.94,4.11,4.47,4.49,4.42,4.43,4.4,4.58,4.71,4.84,5.0,5.37,5.45,5.36,5.41,5.49,5.49,5.72,5.89,5.93,5.77,5.73,5.72,5.85,5.79,5.87,6.09,,,,,,,,,,,,,,,,,,,,,1724.0,1878.0,1992.0,2075.0,2244.0,2426.0,2627.0,2826.0,3004.0,3157.0,3239.0,3284.0,3345.0,3528.0,3646.0,3695.0,3883.0,3991.0,4139.0,4492.0,4485.0,4393.0,4374.0,4315.0,4456.0,4555.0,4647.0,4784.0,5115.0,5182.0,5087.0,5123.0,5194.0,5196.0,5414.0,5591.0,5630.0,5480.0,5435.0,5393.0,5468.0,5360.0,5384.0,5550.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6768.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1822.0,,,,,,1199.0,9633.74,14.47413,137.14241,1.92755,100.0,
BLZ,,,,,,,,,,,1.33,,,,,,,,,,,,,,,,,1.55,1.5,1.4,,,1.71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32.0,,,,,,,,,,,,,,,,,58.0,57.0,54.0,,,69.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,,,,,445.7,394.921,14.08281,5.71762,0.12809,95.0,
BOL,,,,,,,,,,,,,,,,,,0.62,,,0.96,1.09,,,,,2.17,1.78,,2.05,1.61,2.29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,598.0,,,976.0,1130.0,,,,,2428.0,2014.0,,2396.0,1897.0,2737.0,,,,,,,,,,,,,,,,,,,,,742.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,630.8,11936.162,4.1707,48.1716,,70.0,
BRA,,,,,,,,6.16,8.18,8.47,8.82,8.76,9.14,9.47,9.75,11.26,11.64,11.66,11.93,12.05,11.51,,,,,,,12.65,6.5,,,6.83,,7.45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,102714.0,138311.0,145441.0,153412.0,154426.0,163192.0,170953.0,178025.0,207904.0,217217.0,219827.0,227141.0,231399.0,223021.0,,,,,,,258842.0,134060.0,,,143178.0,,157189.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,16152.0,,,,,,,78892.0,,,,63595.0,,,,,,,,,,,,,,,,,,,37036.0,,,,,,,,,,,,,,,,,,,,,5311.0,,,1498.0,213196.304,17.68301,3712.76059,,80.0,
BRB,,,,,,1.91,,,,,,2.29,,,,3.09,,,,,,,,,,,,3.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.0,,,,,,60.0,,,,83.0,,,,,,,,,,,,88.0,,,,,,,,,,,,,,,,,,,11.0,,,,,,,,,,11.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,1029.0,280.693,52.80047,15.15373,,,
BRN,,,,,,,,,,,1.47,,2.06,,1.93,2.03,2.06,2.18,2.17,1.87,2.19,2.38,2.32,,,2.23,,,2.58,2.49,,2.35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48.0,,70.0,,68.0,73.0,75.0,81.0,82.0,72.0,86.0,95.0,94.0,,,94.0,,,113.0,110.0,,106.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,72.0,,266.0,89.0,,,,101.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.0,,,,,,,30.0,,,,,1401.0,441.725,20.35421,9.09833,0.69237,,
BTN,,,,,,,,,,,,,,,0.15,,,0.1,,,,,,,,,,0.78,0.79,0.9,0.92,0.97,0.97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.0,,,7.0,,,,,,,,,,59.0,60.0,69.0,71.0,75.0,76.0,,,,,,,,,,,,,,,,,,,,,,,34.0,,,,,,,,,,,,,,67.0,73.0,75.0,86.0,87.0,,,,,,,,,,,,,,,,,,,,,,14.0,,,58.0,,,,,,,,,,44.0,38.0,35.0,53.0,54.0,51.0,,432.1,772.506,0.05508,0.04572,0.41935,100.0,
BWA,,,,,,,,,,,,,,,0.21,,,0.17,0.09,0.28,0.27,0.27,0.26,,,,0.41,,0.42,0.38,0.38,0.37,0.41,0.36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38.0,,,32.0,18.0,55.0,55.0,55.0,55.0,,,,91.0,,96.0,88.0,89.0,89.0,99.0,89.0,,,,,,,,,,,,,,,,,,,,,,,,,,80.0,90.0,,,,,,,,,27.0,27.0,28.0,26.0,28.0,24.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.0,33.0,33.0,35.0,33.0,32.0,1122.0,2546.402,24.14642,57.42018,0.07379,,
CAF,,,,,,,,,,,,,,,0.01,,,,0.01,0.01,,,,,,,,,0.02,,,0.0,0.01,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,,,,5.0,4.0,,,,,,,,,10.0,,,2.0,3.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,4.0,,,,,,,,,,,,,,,,,,,,,7.0,,,,8.0,8.0,,,,,,,,,1.0,,,,,1.0,78.44,5343.02,0.21756,1.12716,0.00211,,
CAN,5.16,5.16,5.23,,,5.29,5.31,5.4,5.44,5.52,5.6,5.63,5.69,5.72,5.74,5.6,5.62,5.64,5.68,5.72,5.79,5.96,6.04,6.1,6.15,6.24,6.34,6.34,6.57,6.57,6.53,,,,,,,,,,,,,,,,,,,,,,,,11095.0,11484.0,11880.0,12271.0,12624.0,13027.0,13164.0,13503.0,13742.0,14177.0,14341.0,14514.0,14897.0,,,15589.0,15807.0,16234.0,16486.0,16899.0,17287.0,17559.0,17946.0,18202.0,18433.0,18178.0,18414.0,18672.0,19006.0,19334.0,19800.0,20595.0,21093.0,21529.0,21928.0,22454.0,23060.0,23352.0,24517.0,24805.0,24909.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23562.0,,19599.0,27375.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2600.0,,,,,,5.521,37888.705,342.52097,12829.12301,0.69498,,
CHE,4.87,4.79,4.9,4.77,4.98,4.93,4.89,5.01,4.88,4.83,4.83,4.75,4.81,4.91,4.98,5.07,5.19,5.21,5.22,5.21,5.25,5.21,5.23,5.2,5.1,5.07,5.04,5.16,5.09,4.06,,,,,,,,,,,,,,,,,,,,,,,,,2841.0,2854.0,2927.0,3038.0,3070.0,3117.0,3110.0,3147.0,3184.0,3230.0,3268.0,3252.0,3368.0,3309.0,3479.0,3474.0,3460.0,3549.0,3470.0,3449.0,3468.0,3432.0,3501.0,3598.0,3679.0,3764.0,3884.0,3931.0,3987.0,4030.0,4109.0,4123.0,4181.0,4208.0,4180.0,4200.0,4217.0,4361.0,4337.0,3481.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8533.0,8638.613,493.72849,4218.90997,,100.0,
CHL,,,,,,,,,,,,,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,5.57,5.9,7.02,8.14,9.02,10.0,10.47,11.8,12.44,12.84,13.78,14.83,15.83,16.77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.0,13.0,12.0,12.0,14.0,14.0,14.0,15.0,9568.0,10236.0,12297.0,14388.0,16119.0,18046.0,19120.0,21899.0,23504.0,24646.0,26685.0,28860.0,30945.0,32969.0,,,,,,,,,,4390.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2424.0,19300.315,24.57795,469.61091,,80.0,
CHN,,,,,,,,,,,,,,,,0.39,,,,,,0.88,,,,,,4.51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51012.0,,,,,,119000.0,,,,,,637000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,880.2,1424929.781,43.95779,61548.56106,,95.0,
CIV,,,,,,,,,,,,,,,0.17,0.1,,,0.13,,,,,,0.2,,,,0.18,0.1,0.14,0.15,0.14,0.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,339.0,204.0,,,274.0,,,,,,490.0,,,,506.0,284.0,397.0,436.0,418.0,425.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,120.0,,,,,,,,28.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,190.0,,,,,40.0,,,40.0,,179.6,26811.79,0.25249,6.63405,0.01555,49.0,
CMR,,,,,,,,,,,,,,,,0.02,,0.02,,0.02,0.03,0.03,,,,,0.04,,,0.12,0.07,0.05,0.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.0,,39.0,,32.0,58.0,58.0,,,,,88.0,,,300.0,179.0,133.0,317.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45.0,97.0,88.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.0,3.0,11.0,,136.2,26491.087,0.25743,6.56608,,,
COD,,,,,,,,,,,,,,,,,,,,0.01,,,,,,,0.02,,0.05,0.05,,0.03,0.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45.0,,,,,,,147.0,,404.0,422.0,,268.0,451.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34.0,,,,,,,,,,,,,,,40.61,92853.164,0.23364,22.86864,,3.0,
COG,,,,,,,,,0.34,,,,,,,,,,,,,0.29,,,,,0.05,,0.05,,,,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.0,,,,,,,,,,,,,133.0,,,,,27.0,,27.0,,,,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,81.69,5702.174,1.02713,4.69191,,,
COK,,,,,,,,,,,,6.58,,,6.62,,,,,2.42,,,,,12.57,,,,,3.73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.0,,,10.0,,,,,4.0,,,,,22.0,,,,,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.0,,,,,,,,,,1.0,,,,,853.4,17.029,,,0.5699,,
COL,5.18,5.5,5.77,5.98,6.16,6.42,6.72,7.04,7.28,7.51,7.76,7.22,7.99,8.66,9.22,9.7,10.08,10.36,10.76,11.26,11.62,12.11,12.56,13.12,13.68,14.41,14.91,15.42,15.92,16.21,16.47,8.32,,8.68,,,,,,,2300.0,,,,,,,,,,,,,,,,,,9635.0,10575.0,11628.0,12773.0,14188.0,15655.0,16795.0,18192.0,19492.0,20606.0,21637.0,22991.0,24486.0,26115.0,27523.0,28892.0,30344.0,28685.0,32208.0,35469.0,38300.0,40844.0,43016.0,44773.0,47075.0,49851.0,52050.0,54785.0,57439.0,60543.0,63694.0,67664.0,70730.0,74227.0,78035.0,80915.0,83361.0,42566.0,,45399.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1204.0,50930.662,13.99511,705.10167,,96.0,
COM,,,,,,,,,,,,,,,0.29,0.29,,,,0.33,,,0.26,,,,,,0.42,,0.4,,0.38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.0,17.0,,,,21.0,,,18.0,,,,,,32.0,,32.0,,32.0,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.0,,,,,,,,,,,,,,,,,,,,168.6,806.166,0.29687,0.25946,0.07051,25.0,
CPV,,,,,,,,,,,,,,,,,0.06,0.06,0.06,0.06,0.08,0.06,,,,,0.08,,1.58,2.33,,,0.15,0.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,3.0,3.0,3.0,4.0,3.0,,,,,4.0,,81.0,120.0,,,8.0,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,74.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.0,,,,2.0,369.7,582.64,6.12366,3.42313,0.36368,,
CRI,,,,,,,,,,,3.73,,,,,,,,,,,,9.66,10.03,9.24,9.37,9.69,10.03,10.34,10.54,10.64,10.73,10.89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1467.0,,,,,,,,,,,,4504.0,4730.0,4406.0,4516.0,4715.0,4930.0,5126.0,5267.0,5355.0,5429.0,5536.0,,,,,,,,,,,,,,,,,,,438.0,,,,,,,,,,,,,,,260.0,254.0,252.0,253.0,264.0,264.0,283.0,235.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1636.0,5123.105,31.84496,161.74055,0.00991,94.0,
CUB,6.55,7.01,7.47,7.87,8.12,8.37,8.76,8.93,8.95,8.96,8.93,8.86,8.91,9.07,9.3,9.37,9.53,9.65,9.95,10.25,10.75,11.32,12.38,13.5,14.74,15.56,14.96,16.6,16.84,17.7,18.42,,,,,,,,,,,,,,,,,,,2319.0,,,,,3646.0,,,,,5335.0,,,,,6959.0,7515.0,8057.0,8531.0,8834.0,9148.0,9600.0,9816.0,9873.0,9918.0,9917.0,9877.0,9955.0,10167.0,10452.0,10554.0,10751.0,10887.0,11234.0,11572.0,12144.0,12793.0,13998.0,15249.0,16630.0,17542.0,16852.0,18675.0,18910.0,19825.0,20589.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4590.0,,4865.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5216.0,4459.0,4402.0,,,,1150.0,,,,,,2599.0,11300.698,26.84976,304.4263,1.01469,100.0,
CYP,5.43,5.77,5.95,6.03,6.24,6.29,6.33,6.38,6.42,6.49,6.53,6.58,6.62,6.71,6.85,7.03,6.78,6.74,6.81,6.82,6.85,6.83,7.0,7.0,6.98,7.18,7.13,7.49,7.68,7.85,7.26,7.58,8.19,,143.0,,,,,173.0,,,,,176.0,,,,,,161.0,,,,182.0,187.0,204.0,222.0,234.0,301.0,330.0,374.0,397.0,417.0,428.0,461.0,482.0,498.0,527.0,543.0,557.0,573.0,587.0,604.0,619.0,634.0,650.0,671.0,697.0,728.0,715.0,723.0,743.0,757.0,772.0,783.0,816.0,829.0,839.0,876.0,882.0,939.0,976.0,1010.0,945.0,999.0,1090.0,,,,,,,,,,,,,,,,,,,,,,,,,,,37.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.0,,,,,,,,,,,,,,,,3017.0,1237.537,14.4118,12.62474,,99.0,1.66
CZE,5.46,5.49,5.49,5.71,5.95,6.06,6.09,6.29,6.22,6.27,6.5,6.55,6.54,6.57,6.67,6.72,6.73,6.72,6.72,6.81,6.94,7.08,7.1,7.07,7.52,8.04,,7.51,7.44,7.41,7.5,7.56,7.39,,,,,,,,,,,,,,,,,,,,,,4743.0,4993.0,5149.0,5291.0,5381.0,5406.0,5379.0,5423.0,5483.0,5589.0,5626.0,5654.0,5665.0,5890.0,6137.0,6247.0,6271.0,6467.0,6386.0,6426.0,6658.0,6698.0,6697.0,6737.0,6843.0,6906.0,6933.0,6948.0,6974.0,7092.0,7263.0,7429.0,7461.0,7426.0,7906.0,8461.0,,7921.0,7844.0,7825.0,7914.0,7963.0,7886.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5461.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3389.0,,,,,,3477.0,10530.953,79.32011,843.80737,3.17049,100.0,1.06
DEU,,,6.57,6.81,6.96,7.13,7.22,7.29,7.37,7.44,7.51,7.57,7.59,7.67,7.73,7.75,7.82,7.92,8.01,8.12,8.22,8.28,8.4,8.45,8.52,8.54,8.52,8.51,8.53,8.5,8.5,8.52,8.48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53148.0,55462.0,56887.0,58468.0,59373.0,60065.0,60411.0,60778.0,61462.0,61997.0,62256.0,62972.0,63424.0,63620.0,63859.0,64366.0,64938.0,65726.0,66427.0,66974.0,67939.0,68495.0,69300.0,70058.0,70474.0,70735.0,71086.0,70998.0,71108.0,71270.0,71297.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,226200.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,68000.0,,,,,,,,,6739.0,83328.988,372.15466,30877.29968,8.14205,90.0,
DJI,,,,,,,,,,0.08,,,,,0.12,,,,,,,,,,0.19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,,,,,10.0,,,,,,,,,,19.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,104.1,1090.156,0.76041,0.81972,,,
DMA,,,,,,,,0.58,,,,,,,,,,,,,,,,,,,,0.73,1.17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,,,,,,,,,,,,,,,,,,,,5.0,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,675.4,71.995,26.91707,1.91111,,,
DNK,13.08,13.17,8.46,8.43,8.55,8.54,8.57,8.62,8.73,8.62,8.58,8.6,8.52,8.52,8.57,8.57,8.51,8.4,8.22,8.07,8.19,8.02,7.97,7.83,7.7,7.61,7.42,7.19,7.19,7.21,7.14,7.18,,,,,,,,,,,,,,,,,,,,,,,5150.0,5334.0,5527.0,5710.0,5887.0,6071.0,6241.0,6400.0,6524.0,6615.0,6725.0,6787.0,4374.0,4372.0,4452.0,4468.0,4508.0,4556.0,4631.0,4585.0,4582.0,4608.0,4579.0,4595.0,4631.0,4643.0,4627.0,4588.0,4513.0,4455.0,4544.0,4469.0,4455.0,4395.0,4346.0,4324.0,4251.0,4143.0,4164.0,4191.0,4166.0,4205.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6015.0,5825.641,321.66717,1867.59959,,,0.49
DOM,,,,,,,,,,,,,,,,,,,1.26,1.84,,1.92,,,,,,2.12,2.21,2.28,2.02,2.21,2.52,2.69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1205.0,1785.0,,1910.0,,,,,,2261.0,2378.0,2481.0,2221.0,2458.0,2824.0,3046.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,561.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1140.0,10999.664,7.93904,82.31992,0.00279,75.0,
DZA,,,,,,,,,,,,,2.79,,,2.73,,3.11,,,,,,,,,,3.42,3.63,1.62,,,3.57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8861.0,,,9022.0,,10621.0,,,,,,,,,,14263.0,15437.0,7018.0,,,16222.0,,,,,,,,,,,,,,,,,,,,,15.0,,,,,,,,,,,,,,,,46.0,,,,46.0,,,,,,,,,,,,,,,,,,,,677.0,,,,,389.0,,,,,,,,,,521.0,729.0,,,,,,750.5,43451.666,7.45774,323.74798,0.16933,70.0,
ECU,1.45,1.55,1.67,1.38,1.54,1.51,1.54,1.57,1.54,1.6,1.63,1.64,1.7,1.66,,,,,,2.27,,2.73,,,,5.27,3.18,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,992.0,1129.0,1146.0,1152.0,1171.0,1152.0,1269.0,1386.0,1459.0,1517.0,1657.0,1826.0,1542.0,1751.0,1751.0,1815.0,1894.0,1892.0,1997.0,2062.0,2118.0,2230.0,2213.0,,,,,,3363.0,,4183.0,,,,8564.0,5243.0,5035.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2379.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,934.5,17588.595,7.27955,125.70319,,100.0,
EGY,,,,,,,,,,,,,,,1.03,,,,,,,,,,1.5,1.7,1.73,1.84,1.87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8193.0,,,,,,,,,,14623.0,16880.0,17552.0,19111.0,19746.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1724.0,,,,,,,,,,,,2252.0,2359.0,2428.0,,,,,,582.2,107465.134,3.31943,329.32352,0.24186,,
