IndicatorCode,FOODSAFETY_IHR_PERCENT,FOODSAFETY_IHR_PERCENT,FOODSAFETY_IHR_PERCENT,FOODSAFETY_IHR_PERCENT,FOODSAFETY_JEE_SCORE,FOODSAFETY_JEE_SCORE,FOODSAFETY_JEE_SCORE,FOODSAFETY_JEE_SCORE,FOODSAFETY_JEE_SCORE,FOODSAFETY_JEE_SCORE,FOODSAFETY_JEE_SCORE,FOODSAFETY_JEE_SCORE,IHRSPAR2_C01,IHRSPAR2_C01,IHRSPAR2_C01,IHRSPAR2_C02,IHRSPAR2_C02,IHRSPAR2_C02,SDGIHR,SDGIHR,SDGIHR,SDGIHR,SDGIHR,SDGIHR,SDGIHR,SDGIHR,SDGIHR2018,SDGIHR2018,SDGIHR2018,SDGIHR2021,SDGIHR2021,SDGIHR2021,SDGIHR2021,UHC_IHR,UHC_IHR,UHC_IHR,UHC_IHR,UHC_IHR,UHC_IHR,UHC_IHR
YEAR,2021,2022,2023,2024,2016,2017,2018,2019,2021,2022,2023,2024,2021,2022,2023,2021,2022,2023,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2010,2011,2012,2013,2014,2015,2016
5,,,,,,,,,,,,,48.0,56.0,50.0,64.0,60.0,57.0,51.0,61.0,63.0,74.0,79.0,82.0,81.0,82.0,71.0,71.0,73.0,66.0,64.0,58.0,,,,,,,,
513,,,,,,,,,,,,,63.0,66.0,64.0,76.0,76.0,76.0,69.0,72.0,79.0,81.0,81.0,83.0,80.0,79.0,74.0,77.0,75.0,75.0,76.0,76.0,,,,,,,,
514,,,,,,,,,,,,,64.0,67.0,66.0,77.0,78.0,76.0,69.0,73.0,81.0,82.0,82.0,84.0,81.0,81.0,75.0,77.0,76.0,76.0,77.0,76.0,,,,,,,,
515,,,,,,,,,,,,,48.0,52.0,50.0,62.0,63.0,61.0,53.0,58.0,63.0,67.0,70.0,73.0,74.0,68.0,56.0,58.0,61.0,60.0,62.0,59.0,,,,,,,,
53,,,,,,,,,,,,,100.0,100.0,100.0,93.0,93.0,93.0,90.0,94.0,97.0,98.0,99.0,99.0,98.0,99.0,90.0,87.0,89.0,87.0,87.0,87.0,,,,,,,,
54,,,,,,,,,,,,,47.0,35.0,32.0,56.0,27.0,40.0,20.0,47.0,33.0,66.0,73.0,51.0,,46.0,42.0,21.0,51.0,60.0,51.0,51.0,,,,,,,,
543,,,,,,,,,,,,,54.0,60.0,39.0,46.0,48.0,48.0,45.0,56.0,57.0,67.0,68.0,70.0,73.0,60.0,52.0,50.0,56.0,56.0,59.0,52.0,,,,,,,,
57,,,,,,,,,,,,,50.0,60.0,44.0,35.0,20.0,40.0,53.0,56.0,68.0,60.0,64.0,77.0,78.0,78.0,49.0,47.0,58.0,51.0,53.0,48.0,,,,,,,,
61,,,,,,,,,,,,,62.0,72.0,40.0,46.0,65.0,65.0,59.0,58.0,67.0,74.0,68.0,77.0,56.0,49.0,64.0,67.0,57.0,56.0,65.0,58.0,,,,,,,,
62,,,,,,,,,,,,,47.0,51.0,54.0,68.0,70.0,70.0,52.0,63.0,63.0,65.0,73.0,72.0,70.0,64.0,55.0,58.0,62.0,62.0,64.0,64.0,,,,,,,,
722,,,,,,,,,,,,,51.0,53.0,47.0,57.0,60.0,57.0,46.0,56.0,58.0,64.0,66.0,67.0,70.0,66.0,53.0,56.0,57.0,58.0,59.0,57.0,,,,,,,,
747,,,,,,,,,,,,,58.0,64.0,64.0,73.0,75.0,69.0,63.0,68.0,70.0,77.0,81.0,83.0,83.0,81.0,73.0,72.0,72.0,71.0,74.0,71.0,,,,,,,,
753,,,,,,,,,,,,,70.0,75.0,72.0,81.0,84.0,82.0,70.0,74.0,74.0,81.0,84.0,85.0,87.0,86.0,71.0,72.0,74.0,75.0,76.0,75.0,,,,,,,,
777,,,,,,,,,,,,,65.0,67.0,66.0,77.0,77.0,76.0,70.0,73.0,80.0,82.0,82.0,84.0,81.0,80.0,75.0,77.0,76.0,76.0,77.0,76.0,,,,,,,,
9,,,,,,,,,,,,,62.0,69.0,47.0,54.0,58.0,54.0,54.0,64.0,62.0,71.0,73.0,76.0,81.0,69.0,57.0,61.0,62.0,61.0,66.0,57.0,,,,,,,,
AFG,20.0,20.0,20.0,20.0,1.0,,,,,,,,20.0,20.0,20.0,60.0,60.0,33.0,45.0,25.0,25.0,36.0,46.0,42.0,42.0,41.7827,35.0,43.0,47.0,41.0,40.0,38.0667,35.0,45.0,25.0,25.0,36.0,46.0,45.0,42.0
AFR,,,,43.0,,,,,,,,,35.319149,37.872341,38.936169,50.510639,51.063831,52.212765,,,,,,,,56.3,42.0,44.0,49.0,49.445389,51.730495,50.3461,50.0,,,,,,,
AGO,20.0,20.0,40.0,40.0,,,,1.5,,,2.0,,30.0,40.0,40.0,73.0,93.0,93.0,,41.0,,41.0,18.0,,,75.23131,59.0,63.0,65.0,40.0,58.0,57.4667,52.0,,41.0,,41.0,18.0,,
ALB,80.0,100.0,100.0,100.0,4.0,,,,,,,,70.0,100.0,100.0,87.0,100.0,100.0,,,,,,,,45.76656,,62.0,73.0,76.0,91.0,94.8,88.0,,,,,,,
AMR,,,,63.0,,,,,,,,,50.3125,54.57143,50.285713,68.5,67.571426,65.85714,,,,,,,,80.4,66.0,71.0,72.0,67.0625,66.691429,63.68,64.0,,,,,,,
AND,,,,80.0,,,,,,,,,,,,,,,36.0,29.0,31.0,20.0,29.0,28.0,29.0,29.03694,37.0,40.0,41.0,,,,50.0,36.0,29.0,31.0,20.0,29.0,29.0,29.0
ARE,80.0,80.0,80.0,80.0,,5.0,,,,,,,100.0,100.0,100.0,100.0,100.0,100.0,36.0,50.0,56.0,88.0,92.0,91.0,91.0,96.78419,95.0,96.0,96.0,96.0,96.0,96.4667,97.0,36.0,50.0,56.0,88.0,92.0,97.0,91.0
ARG,80.0,80.0,80.0,80.0,,,,,,,,,50.0,70.0,70.0,40.0,53.0,53.0,,67.0,71.0,75.0,80.0,84.0,76.0,70.22102,64.0,61.0,64.0,65.0,67.0,64.1333,59.0,,67.0,71.0,75.0,80.0,83.0,76.0
ARM,60.0,60.0,40.0,60.0,5.0,,,,,,2.5,,60.0,60.0,50.0,100.0,100.0,67.0,75.0,76.0,89.0,92.0,94.0,96.0,,95.3356,83.0,83.0,84.0,84.0,84.0,56.6,59.0,75.0,76.0,89.0,92.0,94.0,96.0,
ATG,80.0,80.0,80.0,80.0,,,,,,,,,40.0,30.0,30.0,40.0,47.0,47.0,66.0,53.0,72.0,73.0,85.0,87.0,81.0,70.7879,42.0,,,52.0,54.0,56.2,57.0,66.0,53.0,72.0,73.0,85.0,88.0,81.0
AUS,100.0,100.0,100.0,100.0,,5.0,,,,,,,100.0,100.0,100.0,93.0,93.0,93.0,93.0,95.0,99.0,98.0,99.0,100.0,100.0,99.67949,90.0,92.0,92.0,88.0,89.0,89.3333,91.0,93.0,95.0,99.0,98.0,99.0,100.0,100.0
AUT,100.0,80.0,80.0,80.0,,,,,,,,,40.0,40.0,40.0,67.0,67.0,67.0,86.0,96.0,93.0,90.0,91.0,86.0,87.0,68.21569,59.0,67.0,67.0,71.0,69.0,66.9333,67.0,86.0,96.0,93.0,90.0,91.0,87.0,87.0
AZE,80.0,80.0,80.0,80.0,,,,,,,3.5,,80.0,80.0,60.0,87.0,73.0,60.0,53.0,79.0,,84.0,84.0,,,,83.0,87.0,86.0,84.0,81.0,64.5333,67.0,53.0,79.0,,84.0,84.0,,
BDI,20.0,20.0,20.0,20.0,,,2.0,,,,1.0,,20.0,30.0,40.0,27.0,27.0,33.0,,15.0,39.0,36.0,62.0,56.0,62.0,24.89843,23.0,47.0,53.0,38.0,42.0,32.1333,35.0,,15.0,39.0,36.0,62.0,56.0,62.0
BEL,80.0,20.0,60.0,60.0,,5.0,,,,,,,20.0,20.0,40.0,27.0,27.0,53.0,74.0,74.0,82.0,81.0,82.0,82.0,82.0,82.90359,80.0,84.0,81.0,67.0,63.0,76.1333,76.0,74.0,74.0,82.0,81.0,82.0,82.0,82.0
BEN,40.0,40.0,20.0,60.0,,1.0,,,,,1.0,,20.0,20.0,30.0,47.0,40.0,27.0,57.0,46.0,43.0,,44.0,,28.0,30.31163,35.0,35.0,35.0,39.0,41.0,33.8,42.0,57.0,46.0,43.0,0.0,44.0,,28.0
BFA,40.0,40.0,40.0,40.0,,1.0,,,,,,2.0,40.0,50.0,50.0,53.0,60.0,60.0,,,42.0,64.0,50.0,,,44.73519,29.0,44.0,51.0,54.0,57.0,56.9333,37.0,,,42.0,64.0,50.0,,
BGD,60.0,60.0,80.0,80.0,3.0,,,,,,,2.0,60.0,60.0,70.0,80.0,80.0,80.0,68.0,60.0,67.0,77.0,82.0,85.0,76.0,77.74591,58.0,67.0,70.0,68.0,68.0,71.3333,69.0,68.0,60.0,67.0,77.0,82.0,88.0,76.0
BGR,80.0,80.0,80.0,80.0,,,,,,,,,80.0,80.0,80.0,60.0,60.0,60.0,,62.0,,,69.0,,,,64.0,72.0,70.0,72.0,72.0,74.4667,74.0,,62.0,,,69.0,,
BHR,100.0,80.0,100.0,100.0,4.0,,,,,,,,100.0,100.0,100.0,67.0,73.0,67.0,67.0,73.0,85.0,84.0,92.0,96.0,96.0,93.04323,88.0,80.0,,80.0,84.0,86.0667,92.0,67.0,73.0,85.0,84.0,92.0,96.0,96.0
BHS,60.0,80.0,80.0,80.0,,,,,,,,,30.0,20.0,30.0,80.0,80.0,80.0,59.0,57.0,,,61.0,58.0,75.0,77.78353,50.0,62.0,65.0,55.0,56.0,59.8,60.0,59.0,57.0,,,61.0,61.0,75.0
BIH,40.0,40.0,40.0,,,,,,,,,,30.0,30.0,30.0,47.0,40.0,33.0,38.0,45.0,,,56.0,55.0,57.0,57.98547,33.0,35.0,,38.0,36.0,33.8667,,38.0,45.0,,,56.0,55.0,57.0
BLR,100.0,100.0,100.0,100.0,,,,,,,,,60.0,60.0,60.0,100.0,100.0,100.0,,73.0,,,90.0,,,,96.0,,97.0,94.0,95.0,96.4667,96.0,,73.0,,,90.0,,
BLZ,80.0,80.0,80.0,80.0,0.0,,,,,,,,20.0,20.0,40.0,33.0,33.0,60.0,32.0,47.0,49.0,43.0,,56.0,,,33.0,,48.0,46.0,46.0,54.0667,55.0,32.0,47.0,49.0,43.0,,55.0,
BOL,20.0,80.0,20.0,20.0,,,,,,,,,20.0,40.0,30.0,47.0,60.0,53.0,,35.0,57.0,64.0,61.0,67.0,77.0,76.38551,,,58.0,56.0,70.0,47.6,46.0,,35.0,57.0,64.0,61.0,71.0,77.0
BRA,100.0,100.0,80.0,40.0,,,,,,,,,90.0,50.0,50.0,87.0,80.0,80.0,53.0,81.0,,89.0,96.0,97.0,97.0,96.141,87.0,87.0,92.0,87.0,69.0,74.6,65.0,53.0,81.0,,89.0,96.0,99.0,97.0
BRB,,80.0,80.0,80.0,,,,,,,,,,70.0,70.0,,80.0,80.0,60.0,73.0,69.0,78.0,71.0,90.0,84.0,91.94527,,,56.0,,70.0,69.4667,67.0,60.0,73.0,69.0,78.0,71.0,90.0,84.0
BRN,,,80.0,80.0,,,,3.0,,,,,,,50.0,,,80.0,51.0,54.0,68.0,82.0,88.0,91.0,,67.16072,,,,,,70.9333,71.0,51.0,54.0,68.0,82.0,88.0,92.0,
BTN,60.0,60.0,60.0,60.0,,2.0,,,,,,,30.0,40.0,50.0,47.0,53.0,67.0,29.0,50.0,,35.0,59.0,64.0,76.0,73.39328,53.0,59.0,71.0,52.0,63.0,63.9333,64.0,29.0,50.0,,35.0,59.0,68.0,76.0
BWA,40.0,40.0,80.0,20.0,,1.0,,,,,,2.0,40.0,40.0,40.0,20.0,27.0,27.0,47.0,,,35.0,,56.0,,42.08349,26.0,30.0,43.0,34.0,42.0,39.2,45.0,47.0,,,35.0,,62.0,
CAF,40.0,40.0,20.0,20.0,,,1.0,,,,1.0,,30.0,20.0,20.0,20.0,20.0,33.0,,28.0,,19.0,24.0,,29.0,26.88327,13.0,17.0,32.0,31.0,34.0,29.6667,34.0,,28.0,,19.0,24.0,,29.0
CAN,100.0,100.0,100.0,100.0,,,5.0,,,,,,60.0,70.0,70.0,100.0,100.0,100.0,71.0,95.0,98.0,99.0,100.0,99.0,100.0,100.0,99.0,99.0,100.0,97.0,96.0,96.2,96.0,71.0,95.0,98.0,99.0,100.0,100.0,100.0
CHE,80.0,80.0,80.0,80.0,,4.0,,,,,,,100.0,100.0,100.0,100.0,100.0,100.0,79.0,86.0,85.0,88.0,91.0,91.0,92.0,91.27872,,95.0,,92.0,92.0,91.1333,90.0,79.0,86.0,85.0,88.0,91.0,91.0,92.0
CHL,80.0,40.0,80.0,40.0,,,,,,,,,50.0,60.0,70.0,80.0,80.0,100.0,,87.0,66.0,73.0,72.0,74.0,79.0,83.64106,74.0,76.0,76.0,73.0,78.0,83.1333,79.0,,87.0,66.0,73.0,72.0,79.0,79.0
CHN,80.0,80.0,80.0,80.0,,,,,,,,,90.0,90.0,90.0,93.0,93.0,100.0,87.0,89.0,86.0,94.0,98.0,99.0,98.0,100.0,94.0,93.0,94.0,94.0,93.0,94.0,94.0,87.0,89.0,86.0,94.0,98.0,99.0,99.0
CIV,,,,40.0,2.0,,,,,,2.5,,40.0,20.0,30.0,40.0,40.0,40.0,,52.0,,87.0,,,78.0,86.59348,44.0,44.0,44.0,54.0,53.0,49.6,47.0,,52.0,,87.0,,,78.0
CMR,20.0,20.0,40.0,40.0,,2.0,,,,,,,20.0,20.0,20.0,47.0,47.0,60.0,46.0,65.0,65.0,89.0,91.0,,54.0,57.35698,38.0,42.0,50.0,41.0,40.0,49.6667,44.0,46.0,65.0,65.0,89.0,91.0,,54.0
COD,40.0,40.0,20.0,20.0,,,,,,,2.0,,30.0,40.0,40.0,60.0,60.0,33.0,40.0,60.0,65.0,61.0,69.0,72.0,71.0,65.21345,34.0,35.0,52.0,43.0,48.0,33.1333,37.0,40.0,60.0,65.0,61.0,69.0,75.0,71.0
COG,80.0,80.0,20.0,20.0,,,,1.0,,,1.0,,30.0,50.0,40.0,47.0,33.0,27.0,15.0,57.0,65.0,28.0,,,44.0,30.0,47.0,33.0,37.0,51.0,47.0,35.7333,34.0,15.0,57.0,65.0,28.0,,,44.0
COK,80.0,60.0,60.0,60.0,,,,,,,,,50.0,60.0,50.0,60.0,73.0,73.0,,,89.0,89.0,,67.0,56.0,43.14556,65.0,68.0,59.0,59.0,71.0,68.2667,70.0,,,89.0,89.0,,63.0,56.0
COL,80.0,80.0,80.0,80.0,,,,,,,,,60.0,60.0,60.0,80.0,80.0,73.0,78.0,48.0,70.0,74.0,75.0,85.0,89.0,88.15664,66.0,69.0,75.0,69.0,73.0,65.8667,68.0,78.0,48.0,70.0,74.0,75.0,86.0,89.0
COM,40.0,40.0,40.0,40.0,,2.0,,,,,,,20.0,20.0,20.0,40.0,40.0,40.0,,,,29.0,,,,37.36737,19.0,27.0,41.0,41.0,41.0,42.8667,50.0,,,,29.0,,,
CPV,60.0,80.0,80.0,40.0,,,,1.0,,,,,40.0,80.0,80.0,47.0,60.0,60.0,58.0,,,,,,62.0,64.51923,46.0,48.0,52.0,57.0,62.0,61.6667,60.0,58.0,,,,,,62.0
CRI,80.0,80.0,80.0,80.0,,,,,,,,,20.0,20.0,20.0,80.0,60.0,60.0,77.0,69.0,82.0,89.0,89.0,83.0,86.0,87.15872,70.0,77.0,77.0,67.0,65.0,65.3333,66.0,77.0,69.0,82.0,89.0,89.0,85.0,86.0
CUB,100.0,100.0,100.0,100.0,,,,,,,,,70.0,100.0,100.0,100.0,100.0,93.0,,92.0,99.0,99.0,96.0,99.0,99.0,99.3007,100.0,78.0,,95.0,99.0,95.6,90.0,,92.0,99.0,99.0,96.0,100.0,99.0
CYP,100.0,100.0,100.0,80.0,,,,,,,,,20.0,60.0,60.0,80.0,80.0,53.0,44.0,51.0,,67.0,62.0,,93.0,95.64103,74.0,74.0,67.0,64.0,68.0,65.9333,61.0,44.0,51.0,,67.0,62.0,,93.0
CZE,80.0,80.0,80.0,80.0,,,,,,,,,40.0,50.0,50.0,67.0,67.0,67.0,86.0,85.0,92.0,88.0,88.0,88.0,,93.82146,67.0,68.0,,76.0,77.0,77.3333,77.0,86.0,85.0,92.0,88.0,88.0,91.0,
DEU,80.0,80.0,80.0,80.0,,,,,,,,,90.0,90.0,90.0,100.0,100.0,100.0,81.0,86.0,92.0,,99.0,,,96.53846,91.0,88.0,89.0,87.0,87.0,85.1333,85.0,81.0,86.0,92.0,,99.0,,
DJI,60.0,60.0,40.0,40.0,,,2.0,,,,,,30.0,30.0,50.0,40.0,40.0,20.0,,,39.0,43.0,46.0,,,33.175,37.0,32.0,31.0,41.0,40.0,33.7333,30.0,,,39.0,43.0,46.0,,
DMA,80.0,80.0,80.0,80.0,,,,,,,,,40.0,40.0,40.0,73.0,73.0,73.0,43.0,57.0,57.0,69.0,69.0,64.0,62.0,61.65546,70.0,71.0,,63.0,61.0,60.8667,71.0,43.0,57.0,57.0,69.0,69.0,66.0,63.0
DNK,100.0,100.0,100.0,100.0,,,,,,,,,100.0,100.0,100.0,100.0,100.0,100.0,73.0,75.0,,86.0,91.0,91.0,89.0,89.58557,96.0,95.0,94.0,95.0,97.0,96.6667,97.0,73.0,75.0,,86.0,91.0,91.0,89.0
DOM,80.0,80.0,60.0,60.0,,,,,,,,,50.0,50.0,40.0,73.0,73.0,47.0,52.0,,54.0,72.0,73.0,72.0,71.0,54.89981,48.0,55.0,60.0,65.0,62.0,51.5333,60.0,52.0,,54.0,72.0,73.0,71.0,71.0
DZA,60.0,40.0,40.0,80.0,,,,,,2.5,,,70.0,70.0,70.0,67.0,67.0,67.0,51.0,11.0,19.0,40.0,71.0,72.0,73.0,75.28672,80.0,80.0,68.0,77.0,72.0,72.3333,80.0,51.0,11.0,19.0,40.0,71.0,73.0,73.0
ECU,80.0,80.0,60.0,20.0,,,,,,,,,30.0,80.0,60.0,73.0,53.0,47.0,41.0,52.0,40.0,44.0,79.0,89.0,81.0,80.9791,73.0,77.0,70.0,66.0,60.0,60.8667,54.0,41.0,52.0,40.0,44.0,79.0,90.0,81.0
EGY,80.0,80.0,80.0,80.0,,,0.0,,,,,,90.0,90.0,90.0,87.0,87.0,87.0,88.0,83.0,82.0,88.0,93.0,,94.0,96.39546,82.0,83.0,86.0,86.0,87.0,90.7333,90.0,88.0,83.0,82.0,88.0,93.0,,94.0
EMR,,,,63.0,,,,,,,,,54.285713,60.0,60.952381,66.619049,68.761902,63.476189,,,,,,,,71.6,66.0,66.0,67.0,64.892067,67.488892,65.653969,66.0,,,,,,,
ERI,20.0,40.0,40.0,40.0,2.0,,,,,,,,30.0,40.0,40.0,27.0,67.0,67.0,44.0,45.0,,59.0,70.0,71.0,49.0,49.28016,35.0,49.0,57.0,41.0,58.0,59.2,60.0,44.0,45.0,,59.0,70.0,73.0,49.0
ESP,80.0,80.0,80.0,80.0,,,,,,,,,20.0,60.0,50.0,87.0,93.0,93.0,42.0,66.0,87.0,52.0,93.0,90.0,95.0,94.84784,84.0,85.0,88.0,80.0,82.0,80.9333,78.0,42.0,66.0,87.0,52.0,93.0,92.0,95.0
EST,60.0,80.0,80.0,80.0,,,,,,,4.5,,60.0,60.0,70.0,73.0,73.0,73.0,65.0,66.0,64.0,77.0,77.0,73.0,71.0,70.01811,74.0,74.0,72.0,74.0,75.0,72.2,73.0,65.0,66.0,64.0,77.0,77.0,72.0,71.0
ETH,40.0,60.0,40.0,40.0,2.0,,,,,,3.5,,80.0,80.0,80.0,73.0,73.0,80.0,40.0,70.0,77.0,,77.0,78.0,79.0,79.11332,58.0,63.0,67.0,72.0,74.0,69.8,69.0,40.0,70.0,77.0,,77.0,78.0,79.0
EUR,,,,78.0,,,,,,,,,61.176472,63.396225,62.037037,74.901962,75.43396,73.944443,,,,,,,,78.7,73.0,75.0,74.0,73.599998,75.036476,73.207405,74.0,,,,,,,
FIN,100.0,100.0,100.0,100.0,,5.0,,,,,,,90.0,90.0,90.0,80.0,80.0,80.0,83.0,86.0,96.0,88.0,90.0,96.0,,,94.0,94.0,82.0,85.0,84.0,83.6667,85.0,83.0,86.0,96.0,88.0,88.0,96.0,
