IndicatorCode,NTD_LEISHCNUM,NTD_LEISHCNUM,NTD_LEISHCNUM,NTD_LEISHCNUM,NTD_LEISHCNUM,NTD_LEISHCNUM,NTD_LEISHCNUM,NTD_LEISHCNUM,NTD_LEISHCNUM,NTD_LEISHCNUM,NTD_LEISHCNUM,NTD_LEISHCNUM,NTD_LEISHCNUM,NTD_LEISHCNUM,NTD_LEISHCNUM,NTD_LEISHCNUM,NTD_LEISHCNUM,NTD_LEISHCNUM,NTD_LEISHCNUM,NTD_LEISHCNUM,NTD_LEISHCNUM_IM,NTD_LEISHCNUM_IM,NTD_LEISHCNUM_IM,NTD_LEISHCNUM_IM,NTD_LEISHCNUM_IM,NTD_LEISHCNUM_IM,NTD_LEISHCNUM_IM,NTD_LEISHCNUM_IM,NTD_LEISHCNUM_IM,NTD_LEISHCNUM_IM,NTD_LEISHCNUM_IM,NTD_LEISHCNUM_IM,NTD_LEISHVNUM,NTD_LEISHVNUM,NTD_LEISHVNUM,NTD_LEISHVNUM,NTD_LEISHVNUM,NTD_LEISHVNUM,NTD_LEISHVNUM,NTD_LEISHVNUM,NTD_LEISHVNUM,NTD_LEISHVNUM,NTD_LEISHVNUM,NTD_LEISHVNUM,NTD_LEISHVNUM,NTD_LEISHVNUM,NTD_LEISHVNUM,NTD_LEISHVNUM,NTD_LEISHVNUM,NTD_LEISHVNUM,NTD_LEISHVNUM,NTD_LEISHVNUM,NTD_LEISHVNUM_IM,NTD_LEISHVNUM_IM,NTD_LEISHVNUM_IM,NTD_LEISHVNUM_IM,NTD_LEISHVNUM_IM,NTD_LEISHVNUM_IM,NTD_LEISHVNUM_IM,NTD_LEISHVNUM_IM,NTD_LEISHVNUM_IM,NTD_LEISHVNUM_IM,NTD_LEISHVNUM_IM,NTD_LEISHVNUM_IM
YEAR,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
IRN,21419.0,24517.0,26493.0,26824.0,24586.0,22921.0,19426.0,20947.0,16054.0,16024.0,18607.0,14536.0,12208.0,15485.0,8161.0,10203.0,14020.0,9977.0,4659.0,5441.0,0.0,5124.0,908.0,179.0,203.0,158.0,,,,,,,133.0,139.0,153.0,125.0,94.0,91.0,90.0,94.0,81.0,26.0,59.0,61.0,60.0,67.0,72.0,28.0,19.0,30.0,33.0,7.0,0.0,28.0,0.0,6.0,0.0,0.0,,,,,,
IRQ,2435.0,1339.0,655.0,1250.0,2086.0,3113.0,2978.0,2486.0,1648.0,2691.0,17525.0,17566.0,18854.0,11426.0,7056.0,8691.0,13231.0,7640.0,4611.0,2362.0,13.0,0.0,186.0,,,,,,,,0.0,,2028.0,1434.0,836.0,1041.0,1549.0,1843.0,1167.0,1045.0,575.0,362.0,427.0,183.0,172.0,259.0,170.0,61.0,66.0,96.0,190.0,120.0,,0.0,3.0,,,,,,,,0.0,
ISR,686.0,575.0,904.0,884.0,133.0,230.0,310.0,353.0,321.0,342.0,226.0,242.0,218.0,276.0,122.0,86.0,,,,,2.0,3.0,0.0,0.0,0.0,0.0,3.0,0.0,,,,,3.0,2.0,2.0,2.0,0.0,1.0,0.0,1.0,5.0,1.0,3.0,1.0,,1.0,,0.0,,,,,2.0,0.0,1.0,0.0,,0.0,,0.0,,,,
ITA,73.0,36.0,22.0,23.0,22.0,22.0,24.0,26.0,95.0,80.0,76.0,47.0,21.0,70.0,40.0,18.0,25.0,60.0,80.0,,1.0,,,,7.0,5.0,4.0,6.0,5.0,,9.0,,152.0,113.0,104.0,72.0,72.0,71.0,62.0,81.0,62.0,63.0,55.0,49.0,19.0,72.0,7.0,29.0,75.0,33.0,37.0,,0.0,,,0.0,2.0,2.0,3.0,0.0,2.0,,0.0,
JOR,162.0,181.0,354.0,244.0,148.0,155.0,136.0,103.0,146.0,182.0,70.0,126.0,155.0,150.0,69.0,23.0,56.0,38.0,88.0,87.0,103.0,80.0,187.0,155.0,190.0,4.0,1.0,,0.0,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,1.0,1.0,2.0,0.0,3.0,1.0,0.0,0.0,1.0,0.0,,0.0,,,
KAZ,7.0,1.0,0.0,0.0,9.0,4.0,24.0,12.0,14.0,14.0,24.0,185.0,131.0,39.0,55.0,79.0,,,,,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,,,,0.0,2.0,0.0,0.0,,,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,,,
KEN,,,,,,,,,,,160.0,29.0,25.0,44.0,67.0,398.0,127.0,90.0,90.0,188.0,,,,,,,0.0,0.0,0.0,,0.0,0.0,150.0,195.0,35.0,258.0,85.0,,406.0,457.0,181.0,880.0,894.0,692.0,950.0,590.0,1621.0,1178.0,1746.0,1573.0,1252.0,1575.0,0.0,,,,0.0,0.0,,,0.0,,0.0,0.0
KWT,,,,,8.0,12.0,7.0,4.0,14.0,2.0,0.0,7.0,1.0,4.0,5.0,6.0,9.0,0.0,4.0,,3.0,8.0,7.0,2.0,0.0,0.0,,3.0,0.0,8.0,7.0,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,0.0,0.0,,,
LBN,1.0,0.0,0.0,0.0,1.0,6.0,5.0,2.0,0.0,2.0,3.0,0.0,0.0,0.0,2.0,,0.0,0.0,0.0,162.0,1033.0,1393.0,95.0,58.0,214.0,263.0,318.0,239.0,41.0,22.0,134.0,,,,,,0.0,,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,
LBY,3819.0,7180.0,3884.0,1800.0,1691.0,2273.0,1327.0,1500.0,505.0,516.0,1632.0,2662.0,2815.0,2977.0,6744.0,4000.0,,644.0,438.0,533.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,10.0,1.0,,,2.0,3.0,3.0,,,,12.0,1.0,0.0,10.0,18.0,34.0,28.0,24.0,,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,1.0,
LKA,234.0,291.0,384.0,399.0,326.0,148.0,,,,1367.0,1283.0,883.0,980.0,2189.0,3259.0,2217.0,,3107.0,4300.0,4448.0,,0.0,0.0,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,0.0,0.0,,,,,,,,,
LTU,,,,,,,,,,,,,,,,,,,,,1.0,,,0.0,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,1.0,0.0,0.0,,,,
LVA,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,
MAR,3039.0,3361.0,3290.0,5128.0,6013.0,8707.0,4319.0,2877.0,2592.0,2555.0,2809.0,4903.0,6802.0,11834.0,5455.0,3774.0,3141.0,2261.0,2324.0,,0.0,0.0,0.0,5.0,,1.0,11.0,,0.0,,,,114.0,170.0,160.0,163.0,134.0,139.0,107.0,113.0,111.0,85.0,81.0,92.0,106.0,106.0,91.0,67.0,48.0,66.0,73.0,63.0,0.0,1.0,2.0,0.0,1.0,1.0,0.0,0.0,0.0,,0.0,0.0
MCO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,
MDA,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,
MEX,861.0,431.0,443.0,284.0,387.0,456.0,342.0,567.0,970.0,418.0,479.0,444.0,841.0,576.0,1014.0,324.0,505.0,1281.0,1422.0,402.0,,,1.0,3.0,1.0,0.0,0.0,0.0,15.0,,6.0,10.0,3.0,9.0,9.0,9.0,7.0,9.0,0.0,4.0,4.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,3.0,2.0,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,
MKD,,,,,,,,,,,,0.0,0.0,0.0,,,,,,,,,0.0,0.0,,0.0,,,,,,,7.0,9.0,7.0,7.0,4.0,12.0,2.0,13.0,20.0,11.0,4.0,5.0,9.0,12.0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
MLI,77.0,86.0,55.0,55.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MLT,4.0,3.0,13.0,16.0,,11.0,1.0,0.0,0.0,,,0.0,1.0,4.0,0.0,1.0,,,,,0.0,,0.0,0.0,,0.0,0.0,0.0,,,,,4.0,,,,,,2.0,3.0,0.0,,,0.0,5.0,2.0,0.0,1.0,,,,,0.0,,,0.0,0.0,0.0,0.0,1.0,,,,
MNE,,,,,,,,,,,0.0,0.0,0.0,,,,,,,,,,0.0,0.0,0.0,,,,,,,,2.0,4.0,1.0,3.0,3.0,1.0,,,4.0,3.0,5.0,6.0,4.0,,,,,,,,,,,0.0,0.0,,,,,,,
MRT,,,,,,,,,,,,,,,,248.0,248.0,715.0,531.0,622.0,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,0.0
MYS,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.0,,,,,,,,,
NAM,,,,,,,,,,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,,,,,0.0,0.0,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NER,,,,,,,,,,,,107.0,600.0,521.0,,644.0,605.0,5.0,152.0,366.0,,,,,,,,0.0,0.0,,0.0,0.0,,,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,0.0,,,,,,0.0
NGA,8.0,4.0,6.0,7.0,,,95.0,0.0,0.0,5.0,0.0,,55.0,3.0,5.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,57.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,,,,0.0,0.0
NIC,3521.0,2125.0,3719.0,5826.0,4047.0,3497.0,3146.0,1884.0,3035.0,1649.0,1925.0,5423.0,4343.0,3722.0,3321.0,3443.0,1251.0,2423.0,1532.0,558.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,1.0,1.0,1.0,4.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,,,,,,0.0,0.0,,,,0.0
NLD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,
NPL,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,19.0,16.0,12.0,0.0,7.0,60.0,61.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,2.0,1463.0,1531.0,1433.0,1371.0,824.0,708.0,886.0,575.0,325.0,311.0,217.0,237.0,244.0,208.0,185.0,206.0,240.0,245.0,168.0,216.0,28.0,24.0,16.0,10.0,5.0,2.0,1.0,1.0,2.0,,0.0,17.0
OMN,8.0,4.0,6.0,7.0,4.0,3.0,0.0,2.0,,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,1.0,0.0,0.0,,,2.0,1.0,2.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,,0.0,1.0,,2.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,,,,0.0,0.0,,,1.0,0.0
PAK,10441.0,4151.0,4390.0,3631.0,3731.0,1387.0,12938.0,6598.0,3717.0,14634.0,16647.0,27151.0,8024.0,19361.0,53574.0,37402.0,35188.0,24086.0,59255.0,2613.0,,,,,,,,,,,,,,,,,,,10.0,14.0,7.0,7.0,,,,,,,,,,,0.0,,,,,,,,,,,
PAN,1649.0,3774.0,2199.0,2109.0,1866.0,3221.0,3221.0,1811.0,1762.0,1581.0,930.0,1198.0,1164.0,1142.0,920.0,938.0,1286.0,1339.0,1294.0,1282.0,,,,0.0,,1.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,0.0,0.0,0.0,,,,
PER,8067.0,8248.0,10183.0,7650.0,6513.0,7612.0,11204.0,6969.0,6948.0,6231.0,5459.0,7271.0,6601.0,6057.0,5349.0,4178.0,5201.0,5756.0,5204.0,5780.0,,,0.0,0.0,30.0,5.0,0.0,0.0,,,,5.0,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,,
PRT,,,,,,,2.0,1.0,1.0,0.0,0.0,0.0,2.0,2.0,,,1.0,,,,0.0,9.0,9.0,0.0,,1.0,,1.0,,,0.0,,13.0,10.0,23.0,14.0,11.0,17.0,13.0,5.0,8.0,0.0,0.0,8.0,4.0,5.0,2.0,2.0,2.0,1.0,6.0,,0.0,0.0,0.0,1.0,,1.0,,,,,,
PRY,591.0,457.0,535.0,92.0,251.0,262.0,184.0,177.0,162.0,124.0,122.0,134.0,92.0,84.0,51.0,54.0,53.0,59.0,56.0,72.0,,,4.0,1.0,0.0,0.0,1.0,0.0,0.0,,,1.0,21.0,66.0,70.0,54.0,82.0,144.0,114.0,76.0,107.0,118.0,92.0,64.0,34.0,19.0,22.0,26.0,55.0,72.0,95.0,61.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
QAT,,,,,,,,,,,,,,,,,,,,,8.0,9.0,9.0,3.0,8.0,4.0,18.0,15.0,6.0,,9.0,8.0,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,2.0,3.0,0.0,0.0,1.0,0.0,,0.0,0.0
ROU,,,,,,,,,,,,,,,,,,,,,,,0.0,1.0,1.0,0.0,,,,,,,,,,,,,,,,,1.0,1.0,1.0,0.0,,,,,,,,,0.0,1.0,1.0,0.0,,,,,,
RUS,,,,,,,,,,,,,,,,,,,,,5.0,4.0,2.0,1.0,,,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,3.0,1.0,1.0,2.0,,,3.0,1.0,,,,
SAU,3883.0,3602.0,3286.0,2321.0,2549.0,4129.0,1951.0,1464.0,1988.0,2190.0,1490.0,1337.0,1007.0,921.0,1096.0,1035.0,600.0,528.0,975.0,702.0,0.0,,0.0,0.0,,0.0,,32.0,,,,,31.0,31.0,41.0,32.0,17.0,8.0,7.0,8.0,5.0,10.0,3.0,4.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,6.0,8.0,2.0,1.0,,1.0,1.0,0.0,,2.0,,,
SDN,,,,,,752.0,111.0,206.0,336.0,1053.0,3503.0,3011.0,4107.0,3299.0,,,84.0,,,111.0,0.0,,0.0,0.0,0.0,,,,,,,,3713.0,1827.0,2788.0,3310.0,4880.0,6957.0,7418.0,5153.0,2389.0,3415.0,2829.0,3810.0,3894.0,2711.0,2851.0,2563.0,3323.0,4233.0,3571.0,4808.0,0.0,11.0,0.0,0.0,0.0,,,,,,108.0,0.0
SEN,5.0,8.0,10.0,9.0,,,,,,35.0,32.0,44.0,17.0,6.0,39.0,64.0,52.0,31.0,29.0,41.0,,,,0.0,0.0,0.0,0.0,0.0,2.0,,0.0,1.0,,,,,,,,,,,,,,,0.0,,0.0,0.0,0.0,0.0,,,,,,,0.0,,0.0,,0.0,0.0
SLV,24.0,46.0,36.0,31.0,0.0,4.0,17.0,21.0,16.0,29.0,20.0,13.0,44.0,48.0,38.0,38.0,50.0,39.0,23.0,16.0,,,,0.0,,2.0,0.0,1.0,,,1.0,,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,2.0,3.0,0.0,0.0,1.0,0.0,,0.0,,,,0.0,,0.0,0.0,0.0,0.0,,,0.0
SMR,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,1.0,0.0,,,,,
SOM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,583.0,507.0,,290.0,394.0,936.0,1045.0,1165.0,780.0,857.0,411.0,294.0,471.0,831.0,793.0,712.0,459.0,,,,,,,0.0,0.0,0.0,,0.0,
SRB,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,2.0,1.0,2.0,,0.0,0.0,0.0,,,,,,,,0.0,,,0.0,0.0,,,,,,,
SSD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3141.0,1117.0,758.0,582.0,1907.0,9166.0,10468.0,4353.0,2364.0,7472.0,2840.0,4285.0,3567.0,1867.0,1013.0,827.0,792.0,1074.0,778.0,979.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,1.0,0.0
SUR,231.0,116.0,161.0,159.0,138.0,291.0,,594.0,382.0,390.0,241.0,241.0,113.0,114.0,130.0,42.0,139.0,0.0,66.0,129.0,10.0,16.0,12.0,14.0,19.0,4.0,,4.0,5.0,,,1.0,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,,,
SVK,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,
SVN,,,,,,,,,,,0.0,0.0,0.0,0.0,,1.0,,,,,,,,0.0,0.0,,1.0,0.0,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,,,,,0.0,1.0,,0.0,0.0,,,,
SWE,,,,,,,,,,,,,,,,,,,,,,,,,27.0,23.0,30.0,9.0,16.0,,19.0,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,2.0,7.0,1.0,1.0,,2.0,
SYC,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,
SYR,21951.0,18732.0,17709.0,29140.0,46348.0,42172.0,58156.0,55894.0,71996.0,53876.0,50972.0,47377.0,53232.0,80215.0,71704.0,61559.0,78231.0,69847.0,56453.0,51012.0,0.0,,,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,19.0,3.0,11.0,17.0,16.0,19.0,18.0,17.0,30.0,36.0,20.0,25.0,55.0,38.0,47.0,22.0,29.0,24.0,37.0,41.0,0.0,,,0.0,0.0,0.0,1.0,0.0,0.0,,1.0,4.0
TCD,,,200.0,,,,,,,,,,8.0,46.0,82.0,38.0,189.0,1089.0,1604.0,150.0,,,,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,,,,,,,,,,,0.0,2.0,0.0,74.0,59.0,96.0,176.0,265.0,,,,,0.0,0.0,0.0,0.0,0.0,,0.0,6.0
THA,,,,,,,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,1.0,0.0,0.0,0.0,,1.0,1.0,,1.0,2.0,4.0,1.0,2.0,1.0,5.0,2.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,2.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,
TJK,,,13.0,38.0,22.0,3.0,13.0,26.0,86.0,128.0,83.0,60.0,28.0,40.0,55.0,,35.0,,,,0.0,,,0.0,0.0,0.0,,,,,,,14.0,19.0,14.0,15.0,53.0,40.0,25.0,46.0,63.0,47.0,26.0,25.0,23.0,32.0,15.0,,14.0,,,,0.0,,,0.0,0.0,0.0,,,,,,
TKM,73.0,69.0,101.0,89.0,,,81.0,158.0,59.0,55.0,49.0,52.0,182.0,212.0,105.0,107.0,97.0,67.0,71.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
TLS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,
TUN,15373.0,9030.0,2742.0,2750.0,1737.0,3811.0,5114.0,5376.0,4113.0,3368.0,6611.0,6065.0,4902.0,7467.0,7058.0,4872.0,2732.0,3291.0,3602.0,3600.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,120.0,121.0,100.0,63.0,55.0,36.0,55.0,37.0,38.0,44.0,30.0,17.0,23.0,23.0,27.0,28.0,14.0,19.0,15.0,19.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,,,
TUR,1926.0,1892.0,1499.0,1161.0,1696.0,2237.0,1803.0,1898.0,2268.0,1678.0,1986.0,1474.0,,1554.0,,,,,,,3094.0,2672.0,815.0,1089.0,,838.0,,,,,,,32.0,20.0,41.0,13.0,23.0,36.0,30.0,13.0,33.0,22.0,23.0,23.0,,,,,,,,,,,,14.0,,,,,,,,
TZA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,
UGA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,504.0,0.0,38.0,200.0,72.0,78.0,77.0,86.0,141.0,32.0,34.0,35.0,31.0,29.0,101.0,55.0,129.0,264.0,195.0,323.0,,103.0,93.0,58.0,80.0,60.0,,68.0,43.0,46.0,22.0,35.0
UKR,4.0,2.0,1.0,3.0,,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,,,2.0,1.0,2.0,4.0,1.0,,2.0,0.0,,,,,1.0,3.0,3.0,2.0,,1.0,1.0,2.0,0.0,0.0,0.0,1.0,0.0,,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,,
URY,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,2.0,,0.0,,,,,,0.0,3.0,0.0,1.0,,,
USA,2.0,6.0,3.0,0.0,2.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UZB,150.0,110.0,61.0,155.0,362.0,605.0,253.0,204.0,505.0,311.0,508.0,766.0,749.0,643.0,638.0,761.0,,,,,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,,,,,6.0,1.0,5.0,13.0,26.0,25.0,28.0,38.0,37.0,42.0,34.0,38.0,49.0,34.0,41.0,47.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
VCT,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,
VEN,2550.0,2553.0,2464.0,2392.0,2248.0,1952.0,1551.0,2104.0,1638.0,1661.0,2013.0,2057.0,2310.0,2592.0,2031.0,1597.0,1802.0,2030.0,1540.0,1687.0,3.0,2.0,4.0,0.0,16.0,20.0,10.0,1.0,6.0,,14.0,4.0,58.0,41.0,17.0,18.0,15.0,15.0,15.0,9.0,7.0,9.0,37.0,33.0,40.0,43.0,23.0,6.0,30.0,32.0,7.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
YEM,2023.0,1975.0,1116.0,1090.0,1801.0,3234.0,2124.0,3629.0,3823.0,5000.0,4063.0,9120.0,4525.0,4763.0,4440.0,3605.0,4249.0,4188.0,4446.0,3285.0,,,,0.0,0.0,0.0,0.0,0.0,2.0,,0.0,4.0,,,,,0.0,,0.0,,,15.0,5.0,0.0,44.0,56.0,132.0,450.0,286.0,214.0,240.0,178.0,,10.0,5.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0
ZMB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,0.0,,,,,,,,,,,,0.0
