IndicatorCode,NTD_LEISHCNUM,NTD_LEISHCNUM,NTD_LEISHCNUM,NTD_LEISHCNUM,NTD_LEISHCNUM,NTD_LEISHCNUM,NTD_LEISHCNUM,NTD_LEISHCNUM,NTD_LEISHCNUM,NTD_LEISHCNUM,NTD_LEISHCNUM,NTD_LEISHCNUM,NTD_LEISHCNUM,NTD_LEISHCNUM,NTD_LEISHCNUM,NTD_LEISHCNUM,NTD_LEISHCNUM,NTD_LEISHCNUM,NTD_LEISHCNUM,NTD_LEISHCNUM,NTD_LEISHCNUM_IM,NTD_LEISHCNUM_IM,NTD_LEISHCNUM_IM,NTD_LEISHCNUM_IM,NTD_LEISHCNUM_IM,NTD_LEISHCNUM_IM,NTD_LEISHCNUM_IM,NTD_LEISHCNUM_IM,NTD_LEISHCNUM_IM,NTD_LEISHCNUM_IM,NTD_LEISHCNUM_IM,NTD_LEISHCNUM_IM,NTD_LEISHVNUM,NTD_LEISHVNUM,NTD_LEISHVNUM,NTD_LEISHVNUM,NTD_LEISHVNUM,NTD_LEISHVNUM,NTD_LEISHVNUM,NTD_LEISHVNUM,NTD_LEISHVNUM,NTD_LEISHVNUM,NTD_LEISHVNUM,NTD_LEISHVNUM,NTD_LEISHVNUM,NTD_LEISHVNUM,NTD_LEISHVNUM,NTD_LEISHVNUM,NTD_LEISHVNUM,NTD_LEISHVNUM,NTD_LEISHVNUM,NTD_LEISHVNUM,NTD_LEISHVNUM_IM,NTD_LEISHVNUM_IM,NTD_LEISHVNUM_IM,NTD_LEISHVNUM_IM,NTD_LEISHVNUM_IM,NTD_LEISHVNUM_IM,NTD_LEISHVNUM_IM,NTD_LEISHVNUM_IM,NTD_LEISHVNUM_IM,NTD_LEISHVNUM_IM,NTD_LEISHVNUM_IM,NTD_LEISHVNUM_IM
YEAR,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
BIH,1.0,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,,,,,1.0,0.0,2.0,0.0,1.0,1.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,,,,
BLR,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,,,,
BLZ,,,,,,,,,,,,,,,,,0.0,0.0,,53.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BOL,2657.0,3152.0,3153.0,1650.0,1487.0,1440.0,1598.0,1767.0,2016.0,1683.0,2231.0,2222.0,2283.0,3127.0,2046.0,2059.0,2166.0,2197.0,2097.0,1989.0,,,,0.0,0.0,29.0,6.0,0.0,,,13.0,5.0,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,2.0,22.0,4.0,0.0,,,,0.0,0.0,0.0,0.0,,,,,0.0
BRA,26685.0,22397.0,21530.0,20123.0,21989.0,22397.0,21395.0,23547.0,18226.0,20418.0,19395.0,12468.0,17279.0,16167.0,15350.0,16056.0,14800.0,12953.0,13091.0,10463.0,,,0.0,222.0,249.0,265.0,134.0,291.0,213.0,,,,3597.0,3651.0,3604.0,3852.0,3693.0,3716.0,3894.0,2770.0,3253.0,3453.0,3223.0,3123.0,4098.0,3460.0,2526.0,1954.0,1492.0,1684.0,1461.0,1245.0,,,0.0,4.0,5.0,6.0,3.0,1.0,3.0,,,
BRN,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,
BTN,,,,,,,,,,,,,2.0,0.0,,,2.0,0.0,0.0,2.0,,,,,,,,,0.0,,0.0,0.0,,7.0,0.0,0.0,2.0,6.0,4.0,2.0,4.0,,,,1.0,3.0,2.0,4.0,0.0,,3.0,0.0,,,,,,0.0,0.0,0.0,0.0,,,0.0
CAF,,,,,,,,,,,,,,,,,,,,25.0,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CHE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,
CHN,,,,,,,6.0,6.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,,,,14.0,7.0,5.0,3.0,2.0,4.0,4.0,,,335.0,294.0,382.0,529.0,539.0,402.0,293.0,218.0,120.0,292.0,514.0,321.0,190.0,180.0,166.0,214.0,237.0,239.0,,,,2.0,,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,
