IndicatorCode,Adult_curr_smokeless,Adult_curr_smokeless,Adult_curr_smokeless,Adult_curr_smokeless,Adult_curr_smokeless,Adult_curr_smokeless,Adult_curr_smokeless,Adult_curr_smokeless,Adult_curr_smokeless,Adult_curr_smokeless,Adult_curr_smokeless,Adult_curr_smokeless,Adult_curr_smokeless,Adult_curr_smokeless,Adult_curr_smokeless,Adult_curr_smokeless,Adult_curr_smokeless,Adult_curr_smokeless,Adult_curr_smokeless,Adult_curr_tob_smoking,Adult_curr_tob_smoking,Adult_curr_tob_smoking,Adult_curr_tob_smoking,Adult_curr_tob_smoking,Adult_curr_tob_smoking,Adult_curr_tob_smoking,Adult_curr_tob_smoking,Adult_curr_tob_smoking,Adult_curr_tob_smoking,Adult_curr_tob_smoking,Adult_curr_tob_smoking,Adult_curr_tob_smoking,Adult_curr_tob_smoking,Adult_curr_tob_smoking,Adult_curr_tob_use,Adult_curr_tob_use,Adult_curr_tob_use,Adult_curr_tob_use,Adult_curr_tob_use,Adult_curr_tob_use,Adult_curr_tob_use,Adult_curr_tob_use,Adult_curr_tob_use,Adult_curr_tob_use,Adult_curr_tob_use,Adult_curr_tob_use,Adult_curr_tob_use,Adult_curr_tob_use,Adult_daily_smokeless,Adult_daily_smokeless,Adult_daily_smokeless,Adult_daily_smokeless,Adult_daily_smokeless,Adult_daily_smokeless,Adult_daily_smokeless,Adult_daily_smokeless,Adult_daily_smokeless,Adult_daily_smokeless,Adult_daily_smokeless,Adult_daily_smokeless,Adult_daily_smokeless,Adult_daily_smokeless,Adult_daily_smokeless,Adult_daily_smokeless,Adult_daily_smokeless,Adult_daily_smokeless,Adult_daily_tob_smoking,Adult_daily_tob_smoking,Adult_daily_tob_smoking,Adult_daily_tob_smoking,Adult_daily_tob_smoking,Adult_daily_tob_smoking,Adult_daily_tob_smoking,Adult_daily_tob_smoking,Adult_daily_tob_smoking,Adult_daily_tob_smoking,Adult_daily_tob_smoking,Adult_daily_tob_smoking,Adult_daily_tob_smoking,Adult_daily_tob_smoking,Adult_daily_tob_smoking,Adult_daily_tob_use,Adult_daily_tob_use,Adult_daily_tob_use,Adult_daily_tob_use,Adult_daily_tob_use,Adult_daily_tob_use,Adult_daily_tob_use,Adult_daily_tob_use,Adult_daily_tob_use,Adult_daily_tob_use,Adult_daily_tob_use,Adult_daily_tob_use,Adult_daily_tob_use,E11_compliance,E12_compliance,E13_compliance,E14_compliance,E9_compliance,E_compl_e11,E_compl_e12,E_compl_e13,E_compl_e14,M_Est_smk_curr,M_Est_smk_curr,M_Est_smk_curr,M_Est_smk_curr,M_Est_smk_curr,M_Est_smk_curr,M_Est_smk_curr,M_Est_smk_curr,M_Est_smk_curr,M_Est_smk_curr,M_Est_smk_curr_std,M_Est_smk_curr_std,M_Est_smk_curr_std,M_Est_smk_curr_std,M_Est_smk_curr_std,M_Est_smk_curr_std,M_Est_smk_curr_std,M_Est_smk_curr_std,M_Est_smk_curr_std,M_Est_smk_curr_std,M_Est_smk_curr_std,M_Est_tob_curr,M_Est_tob_curr,M_Est_tob_curr,M_Est_tob_curr,M_Est_tob_curr,M_Est_tob_curr,M_Est_tob_curr,M_Est_tob_curr,M_Est_tob_curr,M_Est_tob_curr,M_Est_tob_curr_std,M_Est_tob_curr_std,M_Est_tob_curr_std,M_Est_tob_curr_std,M_Est_tob_curr_std,M_Est_tob_curr_std,M_Est_tob_curr_std,M_Est_tob_curr_std,M_Est_tob_curr_std,M_Est_tob_curr_std,M_Est_tob_curr_std,NTCP_govt_exp,NTCP_govt_exp,NTCP_govt_exp,NTCP_govt_exp,NTCP_govt_exp,NTCP_govt_exp,NTCP_govt_exp,NTCP_govt_exp,PRISON_F1_TOBACCO_TOT,R_Ad_val_estimate,R_Ad_val_estimate,R_Ad_val_estimate,R_Ad_val_estimate,R_Ad_val_estimate,R_Ad_val_estimate,R_Ad_val_estimate,R_Other_estimate,R_Other_estimate,R_Other_estimate,R_Other_estimate,R_Other_estimate,R_Other_estimate,R_Other_estimate,R_Price_lowest_cost_estimate,R_Price_lowest_cost_ppp,R_Price_lowest_cost_usd,R_Price_mp_estimate,R_Price_mp_estimate,R_Price_mp_estimate,R_Price_mp_estimate,R_Price_mp_estimate,R_Price_mp_estimate,R_Price_mp_estimate,R_Price_mp_estimate_ppp,R_Price_mp_estimate_ppp,R_Price_mp_estimate_ppp,R_Price_mp_estimate_ppp,R_Price_mp_estimate_ppp,R_Price_mp_estimate_ppp,R_Price_mp_estimate_ppp,R_Price_mp_estimate_usd,R_Price_mp_estimate_usd,R_Price_mp_estimate_usd,R_Price_mp_estimate_usd,R_Price_mp_estimate_usd,R_Price_mp_estimate_usd,R_Price_mp_estimate_usd,R_Price_premium_estimate,R_Price_premium_ppp,R_Price_premium_usd,R_Sp_excise_estimate,R_Sp_excise_estimate,R_Sp_excise_estimate,R_Sp_excise_estimate,R_Sp_excise_estimate,R_Sp_excise_estimate,R_Sp_excise_estimate,R_VAT_estimate,R_VAT_estimate,R_VAT_estimate,R_VAT_estimate,R_VAT_estimate,R_VAT_estimate,R_VAT_estimate,R_afford_gdp,R_afford_gdp,R_afford_gdp,R_afford_gdp,R_afford_gdp,R_afford_gdp,R_afford_inflation_adjusted_price_lcu,R_afford_inflation_adjusted_price_lcu,R_afford_inflation_adjusted_price_lcu,R_afford_inflation_adjusted_price_lcu,R_afford_inflation_adjusted_price_lcu,R_afford_inflation_adjusted_price_lcu,R_afford_inflation_adjusted_price_lcu,R_afford_inflation_adjusted_price_lcu,R_afford_inflation_adjusted_price_ppp,R_afford_inflation_adjusted_price_ppp,R_afford_inflation_adjusted_price_ppp,R_afford_inflation_adjusted_price_ppp,R_afford_inflation_adjusted_price_ppp,R_afford_inflation_adjusted_price_ppp,R_afford_inflation_adjusted_price_ppp,R_afford_inflation_adjusted_price_ppp,R_afford_price_dispersion,R_imp_duty_estimate,R_imp_duty_estimate,R_imp_duty_estimate,R_imp_duty_estimate,R_imp_duty_estimate,R_imp_duty_estimate,R_imp_duty_estimate,R_total_tax_estimate,R_total_tax_estimate,R_total_tax_estimate,R_total_tax_estimate,R_total_tax_estimate,R_total_tax_estimate,R_total_tax_estimate,Rev_imp_other,Rev_import,Rev_import,Rev_import,Rev_import,Rev_import,Rev_import,Rev_import,Rev_import,Rev_import,Rev_import,Rev_import,Rev_import,Rev_import,Rev_other,Rev_other,Rev_other,Rev_other,Rev_other,Rev_other,Rev_other,Rev_other,Rev_other,Rev_other,Rev_other,Rev_other,Rev_other,Rev_other,TOBACCO_MPOWER_E1_DIRECTADBANS,TOBACCO_MPOWER_E2_INDIRECTADBANS,TOBACCO_MPOWER_M1_TOBACCOUSESMOKING,TOBACCO_MPOWER_M1_TOBACCOUSESMOKING,TOBACCO_MPOWER_M2_SMOKELESSECIGARETTES,TOBACCO_MPOWER_M2_SMOKELESSECIGARETTES,TOBACCO_MPOWER_M3_TOBACCOUSESMOKINGSCHOOL,TOBACCO_MPOWER_M3_TOBACCOUSESMOKINGSCHOOL,TOBACCO_MPOWER_M4_SMOKELESSECIGARETTESSCHOOL,TOBACCO_MPOWER_M4_SMOKELESSECIGARETTESSCHOOL,TOBACCO_MPOWER_NTCP,TOBACCO_MPOWER_NTCP,TOBACCO_MPOWER_NTCP,TOBACCO_MPOWER_NTCP,TOBACCO_MPOWER_NTCP,TOBACCO_MPOWER_NTCP,TOBACCO_MPOWER_NTCP,TOBACCO_MPOWER_NTCP,TOBACCO_MPOWER_NTCP,TOBACCO_MPOWER_OVERVIEW,TOBACCO_MPOWER_OVERVIEW,TOBACCO_MPOWER_OVERVIEW,TOBACCO_MPOWER_OVERVIEW,TOBACCO_MPOWER_OVERVIEW,TOBACCO_MPOWER_OVERVIEW,TOBACCO_MPOWER_OVERVIEW,TOBACCO_MPOWER_OVERVIEW,TOBACCO_MPOWER_OVERVIEW,TOBACCO_MPOWER_OVERVIEW,TOBACCO_MPOWER_P2_SMOKEFREEPLACEDETAILS,TOBACCO_MPOWER_P2_SMOKEFREEPLACEDETAILS,TOBACCO_MPOWER_P2_SMOKEFREEPLACEDETAILS,TOBACCO_MPOWER_P2_SMOKEFREEPLACEDETAILS,TOBACCO_MPOWER_P2_SMOKEFREEPLACEDETAILS,TOBACCO_MPOWER_P2_SMOKEFREEPLACEDETAILS,TOBACCO_MPOWER_P2_SMOKEFREEPLACEDETAILS,TOBACCO_MPOWER_P2_SMOKEFREEPLACEDETAILS,TOBACCO_MPOWER_P2_SMOKEFREEPLACEDETAILS,TOBACCO_MPOWER_P2_SMOKEFREEPLACEDETAILS,TOBACCO_MPOWER_R_AFFORDABILITY,TOBACCO_MPOWER_R_AFFORDABILITY,TOBACCO_MPOWER_R_AFFORDABILITY,TOBACCO_MPOWER_R_AFFORDABILITY,TOBACCO_MPOWER_R_AFFORDABILITY,TOBACCO_MPOWER_R_AFFORDABILITY,TOBACCO_MPOWER_R_INFLATIONADJUSTEDPRICES,TOBACCO_MPOWER_R_INFLATIONADJUSTEDPRICES,TOBACCO_MPOWER_R_INFLATIONADJUSTEDPRICES,TOBACCO_MPOWER_R_INFLATIONADJUSTEDPRICES,TOBACCO_MPOWER_R_INFLATIONADJUSTEDPRICES,TOBACCO_MPOWER_R_INFLATIONADJUSTEDPRICES,TOBACCO_MPOWER_R_INFLATIONADJUSTEDPRICES,TOBACCO_MPOWER_R_INFLATIONADJUSTEDPRICES,TOBACCO_MPOWER_R_INFLATIONADJUSTEDPRICES,TOBACCO_MPOWER_R_PRICE,TOBACCO_MPOWER_R_PRICE,TOBACCO_MPOWER_R_PRICE,TOBACCO_MPOWER_R_PRICE,TOBACCO_MPOWER_R_PRICE,TOBACCO_MPOWER_R_PRICE,TOBACCO_MPOWER_R_PRICE,TOBACCO_MPOWER_R_PRICE,TOBACCO_MPOWER_R_PRICE,TOBACCO_MPOWER_R_TAX,TOBACCO_MPOWER_R_TAX,TOBACCO_MPOWER_R_TAX,TOBACCO_MPOWER_R_TAX,TOBACCO_MPOWER_R_TAX,TOBACCO_MPOWER_R_TAX,TOBACCO_MPOWER_R_TAX,TOBACCO_MPOWER_R_TAX,TOBACCO_MPOWER_R_TAX,TOBACCO_MPOWER_R_TAXADMINISTRATION,TOBACCO_MPOWER_R_TAXREVENUELATEST,TOBACCO_MPOWER_R_TAXREVENUEPREVIOUS,TOBACCO_MPOWER_R_TAXSTRUCTURE,TOBACCO_MPOWER_W1A_CIGARETTES,TOBACCO_MPOWER_W1A_CIGARETTES,TOBACCO_MPOWER_W1A_CIGARETTES,TOBACCO_MPOWER_W1A_CIGARETTES,TOBACCO_MPOWER_W1A_CIGARETTES,TOBACCO_MPOWER_W1A_CIGARETTES,TOBACCO_MPOWER_W1A_CIGARETTES,TOBACCO_MPOWER_W1A_CIGARETTES,TOBACCO_MPOWER_W1A_CIGARETTES,TOBACCO_MPOWER_W1A_CIGARETTES,TOBACCO_MPOWER_W1B_TOBACCOSMOKED,TOBACCO_MPOWER_W1B_TOBACCOSMOKED,TOBACCO_MPOWER_W1B_TOBACCOSMOKED,TOBACCO_MPOWER_W1B_TOBACCOSMOKED,TOBACCO_MPOWER_W1B_TOBACCOSMOKED,TOBACCO_MPOWER_W1B_TOBACCOSMOKED,TOBACCO_MPOWER_W1B_TOBACCOSMOKED,TOBACCO_MPOWER_W1B_TOBACCOSMOKED,TOBACCO_MPOWER_W1B_TOBACCOSMOKED,TOBACCO_MPOWER_W1B_TOBACCOSMOKED,TOBACCO_MPOWER_W1C_TOBACCOSMOKELESS,TOBACCO_MPOWER_W1C_TOBACCOSMOKELESS,TOBACCO_MPOWER_W1C_TOBACCOSMOKELESS,TOBACCO_MPOWER_W1C_TOBACCOSMOKELESS,TOBACCO_MPOWER_W1C_TOBACCOSMOKELESS,TOBACCO_MPOWER_W1C_TOBACCOSMOKELESS,TOBACCO_MPOWER_W1C_TOBACCOSMOKELESS,TOBACCO_MPOWER_W1C_TOBACCOSMOKELESS,TOBACCO_MPOWER_W1C_TOBACCOSMOKELESS,TOBACCO_MPOWER_W1C_TOBACCOSMOKELESS,TOBACCO_MPOWER_W2A_CIGARETTES,TOBACCO_MPOWER_W2A_CIGARETTES,TOBACCO_MPOWER_W2A_CIGARETTES,TOBACCO_MPOWER_W2A_CIGARETTES,TOBACCO_MPOWER_W2A_CIGARETTES,TOBACCO_MPOWER_W2A_CIGARETTES,TOBACCO_MPOWER_W2A_CIGARETTES,TOBACCO_MPOWER_W2A_CIGARETTES,TOBACCO_MPOWER_W2A_CIGARETTES,TOBACCO_MPOWER_W2A_CIGARETTES,TOBACCO_MPOWER_W2B_TOBACCOSMOKED,TOBACCO_MPOWER_W2B_TOBACCOSMOKED,TOBACCO_MPOWER_W2B_TOBACCOSMOKED,TOBACCO_MPOWER_W2B_TOBACCOSMOKED,TOBACCO_MPOWER_W2B_TOBACCOSMOKED,TOBACCO_MPOWER_W2B_TOBACCOSMOKED,TOBACCO_MPOWER_W2B_TOBACCOSMOKED,TOBACCO_MPOWER_W2B_TOBACCOSMOKED,TOBACCO_MPOWER_W2B_TOBACCOSMOKED,TOBACCO_MPOWER_W2B_TOBACCOSMOKED,TOBACCO_MPOWER_W2C_TOBACCOSMOKELESS,TOBACCO_MPOWER_W2C_TOBACCOSMOKELESS,TOBACCO_MPOWER_W2C_TOBACCOSMOKELESS,TOBACCO_MPOWER_W2C_TOBACCOSMOKELESS,TOBACCO_MPOWER_W2C_TOBACCOSMOKELESS,TOBACCO_MPOWER_W2C_TOBACCOSMOKELESS,TOBACCO_MPOWER_W2C_TOBACCOSMOKELESS,TOBACCO_MPOWER_W2C_TOBACCOSMOKELESS,TOBACCO_MPOWER_W2C_TOBACCOSMOKELESS,TOBACCO_MPOWER_W2C_TOBACCOSMOKELESS,TOB_R_PRICE,TOB_R_PRICE,TOB_R_PRICE,TOB_R_PRICE,TOB_R_PRICE,TOB_R_PRICE,TOB_R_PRICE,TOB_R_PRICE,W16_number_hw_B,W16_number_hw_B,W16_number_hw_B,W16_number_hw_B,W16_number_hw_B,W16_number_hw_B,W16_number_hw_B,W16_number_hw_B,W16_number_hw_B,W16_number_hw_C,W16_number_hw_C,W16_number_hw_C,W16_number_hw_C,W16_number_hw_C,W16_number_hw_C,W16_number_hw_C,W16_number_hw_C,W16_number_hw_C,W23_emissions_front_back_B,W23_emissions_front_back_C,W2_pc_front_back_B,W2_pc_front_back_B,W2_pc_front_back_B,W2_pc_front_back_B,W2_pc_front_back_B,W2_pc_front_back_B,W2_pc_front_back_B,W2_pc_front_back_B,W2_pc_front_back_B,W2_pc_front_back_C,W2_pc_front_back_C,W2_pc_front_back_C,W2_pc_front_back_C,W2_pc_front_back_C,W2_pc_front_back_C,W2_pc_front_back_C,W2_pc_front_back_C,W2_pc_front_back_C,W3_pc_front_B,W3_pc_front_B,W3_pc_front_B,W3_pc_front_B,W3_pc_front_B,W3_pc_front_B,W3_pc_front_B,W3_pc_front_B,W3_pc_front_B,W3_pc_front_C,W3_pc_front_C,W3_pc_front_C,W3_pc_front_C,W3_pc_front_C,W3_pc_front_C,W3_pc_front_C,W3_pc_front_C,W3_pc_front_C,W4_pc_back_B,W4_pc_back_B,W4_pc_back_B,W4_pc_back_B,W4_pc_back_B,W4_pc_back_B,W4_pc_back_B,W4_pc_back_B,W4_pc_back_B,W4_pc_back_C,W4_pc_back_C,W4_pc_back_C,W4_pc_back_C,W4_pc_back_C,W4_pc_back_C,W4_pc_back_C,W4_pc_back_C,W4_pc_back_C,Yth_curr_smokeless,Yth_curr_smokeless,Yth_curr_smokeless,Yth_curr_smokeless,Yth_curr_smokeless,Yth_curr_smokeless,Yth_curr_smokeless,Yth_curr_smokeless,Yth_curr_smokeless,Yth_curr_smokeless,Yth_curr_smokeless,Yth_curr_smokeless,Yth_curr_smokeless,Yth_curr_smokeless,Yth_curr_tob_smoking,Yth_curr_tob_smoking,Yth_curr_tob_smoking,Yth_curr_tob_smoking,Yth_curr_tob_smoking,Yth_curr_tob_smoking,Yth_curr_tob_smoking,Yth_curr_tob_smoking,Yth_curr_tob_smoking,Yth_curr_tob_smoking,Yth_curr_tob_smoking,Yth_curr_tob_smoking,Yth_curr_tob_use,Yth_curr_tob_use,Yth_curr_tob_use,Yth_curr_tob_use,Yth_curr_tob_use,Yth_curr_tob_use,Yth_curr_tob_use,Yth_curr_tob_use,Yth_curr_tob_use,Yth_curr_tob_use,Yth_curr_tob_use,Yth_curr_tob_use,Yth_curr_tob_use,Yth_curr_tob_use,Yth_curr_tob_use,Yth_curr_tob_use,Yth_curr_tob_use,Yth_curr_tob_use,Yth_daily_smokeless,Yth_daily_smokeless,Yth_daily_smokeless,Yth_daily_tob_smoking,Yth_daily_tob_smoking,Yth_daily_tob_smoking,Yth_daily_tob_smoking,Yth_daily_tob_use,Yth_daily_tob_use
YEAR,1999,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2001,2008,2009,2010,2011,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2008,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,1999,2005,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2003,2008,2009,2010,2011,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2008,2010,2011,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2014,2014,2014,2014,2014,2022,2022,2022,2022,2000,2005,2007,2010,2015,2020,2021,2022,2025,2030,2000,2005,2007,2010,2015,2018,2020,2021,2022,2025,2030,2000,2005,2007,2010,2015,2020,2021,2022,2025,2030,2000,2005,2007,2010,2015,2018,2020,2021,2022,2025,2030,2008,2010,2012,2014,2016,2018,2020,2022,2020,2008,2010,2012,2014,2016,2018,2020,2008,2010,2012,2014,2016,2018,2020,2020,2020,2020,2008,2010,2012,2014,2016,2018,2020,2008,2010,2012,2014,2016,2018,2020,2008,2010,2012,2014,2016,2018,2020,2020,2020,2020,2008,2010,2012,2014,2016,2018,2020,2008,2010,2012,2014,2016,2018,2020,2012,2014,2016,2018,2020,2022,2008,2010,2012,2014,2016,2018,2020,2022,2008,2010,2012,2014,2016,2018,2020,2022,2022,2008,2010,2012,2014,2016,2018,2020,2008,2010,2012,2014,2016,2018,2020,2020,2006,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2004,2006,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2024,2024,2022,2024,2022,2024,2022,2024,2022,2024,2008,2010,2012,2014,2016,2018,2020,2022,2024,2007,2008,2010,2012,2014,2016,2018,2020,2022,2024,2007,2008,2010,2012,2014,2016,2018,2020,2022,2024,2014,2016,2018,2020,2022,2024,2008,2010,2012,2014,2016,2018,2020,2022,2024,2008,2010,2012,2014,2016,2018,2020,2022,2024,2008,2010,2012,2014,2016,2018,2020,2022,2024,2024,2024,2024,2024,2007,2008,2010,2012,2014,2016,2018,2020,2022,2024,2007,2008,2010,2012,2014,2016,2018,2020,2022,2024,2007,2008,2010,2012,2014,2016,2018,2020,2022,2024,2007,2008,2010,2012,2014,2016,2018,2020,2022,2024,2007,2008,2010,2012,2014,2016,2018,2020,2022,2024,2007,2008,2010,2012,2014,2016,2018,2020,2022,2024,2008,2010,2012,2014,2016,2018,2020,2022,2007,2008,2010,2012,2014,2016,2018,2020,2022,2007,2008,2010,2012,2014,2016,2018,2020,2022,2010,2010,2007,2008,2010,2012,2014,2016,2018,2020,2022,2007,2008,2010,2012,2014,2016,2018,2020,2022,2007,2008,2010,2012,2014,2016,2018,2020,2022,2007,2008,2010,2012,2014,2016,2018,2020,2022,2007,2008,2010,2012,2014,2016,2018,2020,2022,2007,2008,2010,2012,2014,2016,2018,2020,2022,2008,2009,2010,2011,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2003,2005,2006,2007,2008,2009,2010,2011,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2020,2021,2022,2018,2019,2020,2021,2021,2022
COUNTRY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AFG,,,,,,,,,,,,,,,,18.900000000000002,,,,,,,,,,,,,,,8.466666666666667,,,,,,,,,,,,,,25.7,,,,,,,,,,,,,,,,,,16.733333333333334,,,,,,,,,,,,,,,7.466666666666666,,,,,,,,,,,,,22.866666666666664,,,,,,5.0,,,,,,,22.433333333333337,18.0,16.466666666666665,14.6,11.966666666666667,9.866666666666667,9.5,9.200000000000001,8.299999999999999,6.966666666666666,22.46666666666667,17.9,16.333333333333332,14.466666666666669,11.799999999999999,,9.700000000000001,9.366666666666667,9.033333333333333,8.1,6.833333333333333,37.699999999999996,33.03333333333333,31.366666666666664,29.166666666666668,25.8,23.100000000000005,22.599999999999998,22.099999999999998,20.833333333333332,19.0,39.166666666666664,34.2,32.46666666666667,30.166666666666668,26.599999999999998,,23.7,23.2,22.733333333333334,21.333333333333332,19.400000000000002,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,1.08,0.26,8.5,10.0,15.0,20.0,30.0,30.0,30.0,0.57,0.65,0.87,1.17,1.72,1.75,1.61,0.17,0.22,0.29,0.35,0.44,0.41,0.39,170.0,9.15,2.21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.75,4.67,7.16,7.14,6.39,,,,,,,,,,0.78,0.87,1.11,1.45,2.1,2.04,1.77,,,0.08,0.04,0.02,0.28,0.2,0.21,0.21,0.08,0.04,0.02,0.28,0.2,0.21,0.21,1845000000.0,,,,,,,693750000.0,1845000000.0,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,2017.0,2017.0,2017.0,2017.0,,,,,,,,,,2.6666666666666665,2.6666666666666665,2.4285714285714284,2.5714285714285716,2.857142857142857,3.4285714285714284,3.142857142857143,3.142857142857143,3.0,3.0,3.0,3.0,3.0,3.0,3.0,8.0,8.0,8.0,8.0,8.0,5.53,8.5,8.29,7.56,,,0.96,1.08,1.34,1.7,2.56,2.52,2.37,,,3.11,3.6566666666666667,5.423333333333333,7.21,10.799999999999999,10.81,10.783333333333333,,,2.2257142857142855,1.0285714285714287,0.7000000000000001,7.928571428571429,5.82,5.908571428571428,5.908571428571428,,,,1230000000.0,462500000.0,,,,,,,50.0,,,,,,,,,,50.0,,,,,,,,,,50.0,,,,,,,,,,2.0,,,,,,,,,,1.0,,,,,,,,,,1.0,,,,,3.08,3.623333333333333,5.386666666666667,7.173333333333333,10.72,10.719999999999999,10.653333333333334,,,,,,,1.0,,,,,,,,,1.0,,,,,,,,,,,50.0,,,,,,,,,50.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.066666666666666,,,,,,,,,,,,6.0,,,,,,,,,,,,,,,,,,8.0,,,,,,,,,,,,,,
AFR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.066666666666668,12.200000000000001,11.566666666666668,10.666666666666666,9.366666666666667,8.7,8.299999999999999,8.066666666666666,7.900000000000001,7.3999999999999995,6.666666666666667,,,,,,,,,,,17.833333333333332,15.300000000000002,14.5,13.233333333333334,11.533333333333333,10.6,10.133333333333335,9.866666666666665,9.5,8.933333333333334,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AGO,,,,,,,,,,,,,1.4000000000000001,,,,,,,,,,,,,,,8.05,,,,,,,,,,,,,,8.799999999999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,0.0,0.0,,0.0,0.04,0.0,,0.0,0.01,,0.01,0.0,500.0,3.05,0.87,50.0,,150.0,200.0,,450.0,900.0,1.07,,2.28,3.08,,3.71,5.49,0.67,,1.57,2.06,,1.75,1.56,2000.0,12.19,3.46,0.0,,0.0,0.0,,0.0,0.0,0.23,,0.23,0.23,,0.23,0.02,3.0,3.62,,5.14,8.31,5.88,460.44,,847.76,968.42,,983.27,1373.66,1000.0,1.46,,2.91,3.8,,4.5,6.42,4.38,25.0,0.0,,0.0,0.0,,0.0,0.06,0.23,,0.23,0.24,,0.24,0.12,38494418.8,,,,38494418.8,,,,,,,,,,,,,,,,,,,,,,,,7.0,,,,,,2010.0,2010.0,2010.0,2010.0,,,,,,,,,,2.1666666666666665,2.1666666666666665,2.142857142857143,2.2857142857142856,2.2857142857142856,2.142857142857143,2.5714285714285716,3.142857142857143,2.7142857142857144,2.7142857142857144,0.0,0.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,3.36,,4.87,7.82,5.44,5.66,336.28000000000003,,619.2399999999999,707.53,,718.935,1004.565,731.4,752.845,17.256666666666668,,51.28,68.32666666666667,,151.93,302.56333333333333,391.58222222222224,669.9566666666667,6.677142857142856,,6.677142857142856,6.76,,6.76,6.909999999999999,5.242857142857143,5.542857142857144,,5482581002.8,2647993609.6,28.57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.25,,51.28333333333333,68.38,,151.87,302.41333333333336,391.49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.566666666666666,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.533333333333335,,,,,,,,,,,,,,,,,,,,
