IndicatorCode,CARE_SOURCE,CARE_SOURCE,CARE_SOURCE,CARE_SOURCE,CARE_SOURCE,CARE_SOURCE,CARE_SOURCE,CARE_SOURCE,CARE_SOURCE,CARE_SOURCE,DEVICES00,DEVICES00,DEVICES01,DEVICES01,DEVICES02,DEVICES02,DEVICES02,DEVICES03,DEVICES03,DEVICES03,DEVICES04,DEVICES04,DEVICES04,DEVICES05,DEVICES05,DEVICES05,MDG_0000000010,MDG_0000000011,WHS6_101,WHS6_116
YEAR,2010,2011,2012,2013,2014,2015,2016,2017,2018,2020,2013,2014,2010,2013,2010,2013,2014,2010,2013,2014,2010,2013,2014,2010,2013,2014,2013,2013,2013,2013
ECU,,,,,,,,,,,0.33041,,3.17,2.91018,0.39,0.35583,,0.06,0.05083,,0.2,0.18427,,0.1,0.09531,,41.7,,71.1,5.0
EGY,,,,,36.36318181818182,,,,,,0.61665,,0.39,0.38266,0.26,0.25348,,0.5,0.496,,,,,0.12,0.12065,,,,,
EMR,,,,,,,,,,34.59576923076923,,,,,,,,,,,,,,,,,,,,
ERI,,,,,,,,,,,0.36317,,3.52,2.92114,1.07,0.88424,,0.3,0.25264,,0.11,0.09474,,0.02,0.01579,,,,,
ESP,,,,,,,,,,,1.63445,,,,,,,1.19,1.17203,,0.31,0.30047,,0.16,0.16195,,,,,
EST,,,,,,,,,,,1.94212,,36.16,37.67719,,,,1.34,1.39833,,0.3,0.31074,,0.22,0.23305,,,,,
ETH,,25.000833333333333,,,,,36.36318181818182,,,,0.21891,,17.18,15.14334,0.0,0.00186,,0.22,0.19235,,,,,0.03,0.02657,,,,,
EUR,,,,,,,,,,34.63461538461539,,,,,,,,,,,,,,,,,,,,
FIN,,,,,,,,,,,1.38215,,41.01,40.54311,3.62,3.57517,,0.43,0.42386,,0.88,0.86615,,0.09,0.09214,,,,,
FJI,,,,,,,,,,,0.0,,,,,,,,,,0.0,0.0,,0.0,0.0,,,,,
FSM,,,,,,,,,,,4.82863,,22.75,117.81862,0.0,0.0,,0.93,4.82863,,0.0,0.0,,0.0,0.0,,,,,
GAB,,,,,,,,,,,3.52932,,32.68,29.43092,2.46,2.2133,,2.72,2.45258,,0.8,0.71783,,0.4,0.35891,,,,,
GEO,,,,,,,,,,,2.21153,,13.76,13.799,,,,,,,,,,2.21,2.21153,,,,,
GHA,,25.0,,,36.36272727272728,,,,,,1.36269,,1.18,1.10791,9.69,9.12579,,1.38,1.29707,,0.03,0.03088,,0.04,0.03474,,,,,
GIN,,,25.0,,,,,,36.36363636363637,,0.37462,,7.34,6.24085,4.15,3.52485,,0.31,0.26394,,0.1,0.08514,,0.03,0.02554,,,,,
GMB,,,,25.0,,,,,36.36409090909091,,0.70297,,28.47,26.60488,1.79,1.67632,,0.41,0.37852,,0.23,0.2163,,0.12,0.10815,,,,,
GNB,,,,,42.10526315789474,,,,,,56.44695,,6.34,5.63296,37.09,32.97629,,28.84,25.6417,,0.0,0.0,,34.65,30.80525,,,,,
GRD,,,,,,,,,,,0.94431,,34.45,33.9953,4.79,4.72157,,0.96,0.94431,,0.0,0.0,,0.0,0.0,,,,,
GTM,,,,,36.36318181818182,,,,,,0.34264,,3.81,3.54275,0.54,0.49779,,0.3,0.27799,,0.03,0.03232,,0.03,0.03232,,,,,
GUY,,,,,42.10578947368421,,,,,,3.37663,,27.17,25.6374,15.64,14.75714,,2.12,2.00097,,1.33,1.2506,,0.13,0.12506,,,,,
HND,,,,,,,,,,,0.35813,,18.74,17.58527,0.78,0.7286,,0.21,0.19759,,0.08,0.0741,,0.09,0.08644,,,,,
HRV,,,,,,,,,,,1.53856,,0.82,0.83922,0.3,0.30305,,0.5,0.51285,,0.66,0.67604,,0.34,0.34967,,,,,
HTI,,,24.999166666666667,,,,36.36363636363637,,,,0.24231,,,,0.3,0.29077,,0.17,0.16477,,0.04,0.03877,,0.04,0.03877,,17.6,4.8,54.3,7.3
HUN,,,,,,,,,,,1.02462,,5.78,5.79612,0.11,0.1105,,0.74,0.74335,,0.17,0.17077,,0.11,0.1105,,,,,
IDN,,,25.0,,,,,36.36409090909091,,,0.43183,,9.66,9.27018,3.56,3.42104,,0.45,0.43183,,,,,,,,65.5,1.8,57.8,2.0
IND,,,,,,36.36363636363637,,,,,,,,,,,,,,,,,,,,,,33.1,2.8,86.3
IRN,,,,,,,,,,,,,,,,,,,,,,,,,,,96.7,1.3,96.7,1.3
IRQ,,25.0,,,,,,,36.36272727272728,,0.95068,,7.36,6.90355,,,,,,,0.82,0.77002,,0.19,0.18066,,,,,
ISL,,,,,,,,,,,3.64149,,17.8,17.2971,1.87,1.82075,,2.19,2.12421,,0.94,0.91037,,0.62,0.60692,,,,,
ISR,,,,,,,,,,,0.55605,,,,0.01,0.01293,,,,,0.5,0.47846,,0.08,0.07759,,,,,
ITA,,,,,,,,,,,2.07574,,,,,,,0.11,0.10985,,1.84,1.82816,,0.14,0.13773,,,,,
JAM,,,,,,,,,,,0.75434,,,,,,,0.4,0.39513,,0.29,0.28737,,0.07,0.07184,,,,,
JOR,,,24.999166666666667,,,,,36.36363636363637,,,1.93846,,22.63,19.24716,,,,1.66,1.41604,,0.48,0.41244,,0.13,0.10998,,,,,
KAZ,25.0,,,,,4.545454545454546,,,,,3.51569,,22.99,22.40796,,,,2.04,1.98898,,1.4,1.36248,,0.17,0.16423,,40.0,,86.7,
KEN,,,,,36.36272727272728,,,,,,1.46549,,8.27,7.55292,6.55,5.98597,,1.55,1.41364,,0.04,0.03607,,0.02,0.01578,,,,,
KGZ,,,,,25.000833333333333,,,,36.36318181818182,,2.63179,,17.77,17.08863,,,,1.86,1.78457,,0.15,0.14421,,0.73,0.70301,,,,70.0,3.4
KHM,25.0,,,,36.36318181818182,,,,,,0.57482,,0.8,0.74661,7.02,6.55427,,0.43,0.40303,,0.12,0.11232,,0.06,0.05946,,,,,
KIR,,,,,,,,,,,0.0,,85.39,83.04755,144.66,140.69232,,0.0,0.0,,0.0,0.0,,0.0,0.0,,,,,
KNA,,,,,,,,,,,7.3813,,0.0,0.0,32.44,31.37052,,3.82,3.69065,,3.82,3.69065,,0.0,0.0,,,,,
KOR,,,,,,,,,,,3.42044,,,,57.73,56.46869,,2.83,2.77289,,0.57,0.55823,,0.09,0.08932,,,,,
LAO,,25.000833333333333,,,,,,36.36409090909091,,,2.24529,,,,10.77,12.95473,,2.03,1.90554,,0.26,0.23635,,0.11,0.1034,,,,,
LBN,,,,,,,,,,,3.09002,,2.79,2.44713,0.07,0.06222,,0.88,0.76732,,1.89,1.65907,,0.76,0.66363,,,,,
LBR,,,,,,,,,,,0.37261,,10.01,9.31516,1.13,1.04796,,0.38,0.34932,,,,,0.03,0.02329,,,,,
LBY,,,,,,,,,,,2.64451,,28.54,29.25089,1.64,1.67701,,1.56,1.59638,,0.54,0.54825,,0.49,0.49988,,,,,
LCA,,,,,,,,,,,1.64588,,19.51,18.65334,,,,,,,,,,1.72,1.64588,,,,,
LKA,,,,,,,,,,,0.09872,,278.04,272.64316,,,,0.0,,,,,,,,,,,,
LSO,,,,,38.09428571428572,,,,,,,,,,,,,,,,,,,,,,,,,
LTU,,,,,,,,,,,2.15451,,26.36,21.01472,5.24,33.14624,,0.27,1.65731,,1.17,0.0,,1.32,0.49719,,,,,
LUX,,,,,,,,,,,1.13126,,,,,,,0.2,0.18854,,0.2,0.18854,,0.79,0.75418,,,,,
LVA,,,,,,,,,,,1.56073,,,,1.38,1.51196,,0.44,0.48773,,0.31,0.34141,,0.67,0.73159,,,,,
MCO,,,,,,,,,,,10.57334,,,,,,,,,,11.3,10.57334,,,,,,,,
MDA,,,,,,,,,,,2.12204,,31.32,29.39318,,10.09405,,0.95,0.97499,,0.59,0.65955,,0.5,0.4875,,46.0,5.2,56.0,4.7
MDG,,,,,,,,,,,0.46674,,14.35,12.9641,0.3,0.27481,,0.37,0.33152,,0.12,0.10905,,0.03,0.02617,,,,,
MDV,,,,,,,42.10578947368421,,,,6.66622,,12.03,11.01376,39.25,35.93963,,6.65,6.08655,,0.63,0.57967,,,,,,,,
MEX,,,,,,42.10578947368421,,,,,3.51256,,110.08,102.06699,,,,,,,3.73,3.45616,,0.06,0.0564,,42.6,,50.0,4.7
MHL,,,,,,,,,,,3.79983,,1.85,1.89991,96.23,98.79546,,0.0,0.0,,3.7,3.79982,,0.0,0.0,,,,,
MKD,,,,,,,,,,,,4.08133,,,,,1.70846,,,0.75932,,,1.66101,,,1.66101,,,,
MLI,,,,,,25.000833333333333,,,36.36409090909091,,0.45747,,,,5.68,5.70527,,0.38,0.38558,,0.05,0.04575,,0.03,0.02614,,,,,
MLT,,,,,,,,,,,0.93239,,2.16,2.09788,1.92,1.86478,,0.48,0.4662,,0.24,0.2331,,0.24,0.2331,,,,,
MMR,,,,,,36.36318181818182,,,,,0.63463,,4.21,3.78903,1.06,0.95383,,0.57,0.51259,,0.08,0.07135,,0.06,0.0507,,,,,
MNE,,,,,,,,,,,2.09211,,2.85,15.9322,,2.89676,,1.43,1.44838,,0.48,0.48279,,0.16,0.16093,,,,,
MNG,,,,25.000833333333333,,,,,36.36363636363637,,2.50082,,42.27,41.03452,16.84,16.34336,,1.27,1.2328,,1.31,1.26802,,,,,38.7,,90.0,
MRT,,25.0,,,,36.36318181818182,,,,,1.02831,,13.09,11.6456,4.28,3.80474,,0.78,0.69411,,0.17,0.15425,,0.2,0.17995,,,,,
MUS,,,,,,,,,,,0.96432,,8.47,8.83958,0.15,0.16072,,0.15,0.16072,,0.38,0.4018,,0.38,0.4018,,88.8,,70.0,5.9
MWI,24.999166666666667,,,,,36.36363636363637,,,,,0.39725,,0.49,0.44614,2.53,2.30404,,0.25,0.22613,,0.15,0.14056,,0.03,0.03056,,63.3,,55.6,3.9
MYS,,,,,,,,,,,0.46775,,,,,,,0.33,0.31968,,0.07,0.07067,,0.08,0.0774,,,,,
NAM,,,,,,,,,,,1.91029,,12.88,12.76421,2.32,2.30103,,1.31,1.30247,,0.18,0.17366,,0.44,0.43416,,,,,
NER,,,,,,,,,,,0.5496,,16.07,13.98106,5.71,4.9688,,0.5,0.43183,,0.07,0.06169,,0.06,0.05608,,35.0,2.9,65.8,3.9
NGA,,,,25.0,,,36.36363636363637,,,,,,,,,,,,,,,,,,,,,,,
NIC,,,,,,,,,,,0.95387,,15.38,14.63701,2.73,2.59848,,0.45,0.4276,,0.45,0.4276,,0.1,0.09868,,75.0,,87.1,5.7
NLD,,,,,,,,,,,0.76376,,,,,,,,,,,,,0.77,0.76376,,,,,
NPL,,25.0,,,,,36.36318181818182,,,,0.38133,,2.33,2.51462,0.67,0.72309,,0.22,0.23383,,0.1,0.10433,,0.04,0.04317,,,,,
NRU,,,,,,,,,,,9.94926,,,,,,,,,,9.75,9.94926,,,,,,,,
OMN,,,,,,,,,,,1.34895,,3.63,2.7805,2.66,2.0372,,1.26,0.96354,,0.36,0.2753,,0.14,0.11012,,96.7,,70.3,7.4
PAK,,,25.0,,,,,36.36409090909091,,,0.53035,,3.13,2.98118,0.87,0.82792,,0.37,0.34918,,0.09,0.08235,,0.1,0.09882,,,,,
PAN,,,,,,,,,,,0.90576,,13.65,12.42181,11.03,10.04097,,0.43,0.38818,,0.37,0.33642,,0.2,0.18115,,,,,
PER,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.4,,5.6
PHL,,,,24.998333333333335,,,,36.36363636363637,,,1.81313,,,,,,,1.56,1.47571,,0.23,0.21648,,0.13,0.12094,,26.8,10.8,21.7,10.8
PNG,,,,,,,,,,,1.57077,,37.91,35.513,9.87,9.24704,,1.3,1.21564,,0.28,0.25952,,0.1,0.09561,,,,,
POL,,,,,,,,,,,0.94461,,,,,,,0.18,0.18317,,0.61,0.6123,,0.15,0.14915,,,,,
PRK,,,,,,,,,,,6.86068,,25.72,25.15718,4.0,3.91236,,6.47,6.32645,,0.55,0.53423,,,,,,,,
PRT,,,,,,,,,,,,,3.06,3.08253,0.18,0.17911,,,,,,,,,,,,,,
PRY,,,,,,,42.10526315789474,,,,2.42565,,10.18,9.6585,1.83,1.73471,,2.17,2.05813,,0.12,0.11761,,0.26,0.24992,,,,,
PSE,24.998333333333335,,,,36.36409090909091,,,,,,,,,,,,,,,,,,,,,,,,,
ROU,,,,,,,,,,,1.67753,,0.02,0.01843,0.06,0.05991,,0.43,0.42399,,0.51,0.50234,,0.76,0.7512,,,,,
RUS,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,100.0,2.7,100.0,4.1
RWA,25.001666666666665,,,,36.36363636363637,,,,,,,,,,,,,,,,,,,,,,46.3,1.7,80.0,3.6
SAU,,,,,,,,,,,1.04062,,0.0,0.0,0.0,0.0,,0.22,0.21159,,0.86,0.81516,,0.01,0.01387,,,,,
SDN,25.000833333333333,,,,36.36409090909091,,,,,,1.346,,9.39,10.76801,3.21,3.68241,,0.56,0.63744,,0.59,0.67432,,0.03,0.03424,,77.1,,91.7,
SEAR,,,,,,,,,,34.59596153846154,,,,,,,,,,,,,,,,,,,,
SEN,,,,,25.0,,,36.36363636363637,,,0.15566,,7.81,6.87031,0.61,0.53774,,0.18,0.15566,,,,,,,,,,,
SGP,,,,,,,,,,,0.49892,,63.01,59.22313,,,,,,,0.53,0.49892,,,,,,,,
SLE,,,,25.000833333333333,,,,36.36318181818182,,,,,,,1.26,1.21469,,,,,,,,,,,,,,
SLV,,,,,42.10526315789474,,,,,,0.47315,,9.46,9.84157,0.05,0.04732,,0.4,0.39429,,0.03,0.03154,,0.05,0.04732,,58.4,,78.6,16.4
SMR,,,,,,,,,,,3.17985,,9.51,9.53956,0.0,0.0,,0.0,0.0,,3.17,3.17985,,0.0,0.0,,,,,
SRB,24.999166666666667,,,,4.545454545454546,,,,,,1.09353,,1.6,1.66132,1.6,1.66132,,0.41,0.42059,,0.42,0.4311,,0.23,0.24184,,,,,
STP,,,,,42.10526315789474,,,,,,,,16.93,14.5083,2.42,2.07261,,0.0,0.0,,,,,,,,56.3,2.4,22.2,13.8
SUR,25.0,,,,,,,,36.36318181818182,,0.37087,,46.51,45.24585,1.14,1.1126,,0.19,0.18543,,0.0,0.0,,0.19,0.18543,,,,,
SVK,,,,,,,,,,,1.54122,,0.29,0.29357,,,,0.11,0.11009,,0.48,0.47704,,0.95,0.95409,,,,,
SVN,,,,,,,,,,,1.25483,,3.15,4.0058,,2.75097,,,0.67568,,0.49,0.48263,,0.1,0.09653,,,,,
SWZ,24.99833333333333,,,,36.36363636363637,,,,,,0.80031,,13.66,12.96504,0.67,0.64025,,0.17,0.16006,,0.51,0.48019,,0.17,0.16006,,,,,
SYC,,,,,,,,,,,1.07715,,21.96,20.46576,5.78,5.38573,,0.0,,,0.0,,,1.16,1.07715,,,,,
SYR,,,,,,,,,,,,,,,,,,,,,,,,,,,93.0,,98.2,
TCD,25.0,,,,36.36363636363637,,,,,,0.65495,,6.72,5.879,0.0,0.0,,0.57,0.49901,,0.17,0.14815,,0.01,0.0078,,,,,
TGO,,,,,,,,,,,0.60144,,,,12.38,10.94326,,0.58,0.51342,,0.0,0.0,,0.1,0.08802,,,,,
THA,,,25.0,,,36.36363636363637,,,,,1.84449,,41.0,42.29039,,,,1.07,1.09983,,0.6,0.61632,,0.12,0.12834,,,,,
TJK,,,24.999166666666667,,,,,36.36318181818182,,,4.67846,,24.73,20.7241,12.21,10.23413,,3.62,3.03369,,1.92,1.60822,,0.04,0.03655,,,,,
TKM,,,,,,44.44555555555556,,,,,,,,,,,,,,,,,,,,,,,,
TLS,,,,,,,44.44444444444444,,,,,,,,,,,,,,,,,,,,,,,
TON,,,,,,,,,,,3.79784,,14.42,14.2419,13.45,13.29244,,2.88,2.84838,,0.96,0.94946,,,,,,,,
TTO,,,,,,,,,,,,,7.83,7.8291,0.3,0.29825,,,,,,,,,,,,,,
TUN,,25.0,,,,,,,36.36318181818182,,2.32801,,19.64,18.71502,,,,1.25,1.19129,,0.91,0.86391,,0.29,0.27281,,,,,
TUR,,,,,,,,,,,1.54939,,10.33,10.03301,0.28,0.27091,,,,,1.27,1.23311,,0.33,0.31628,,,,,
TUV,,,,,,,,,,,,0.01647,,,,,0.18122,,,0.0,,,0.0,,,0.01647,,,,
TZA,24.999166666666667,,,,,36.36454545454546,,,,,,,,,,,,,,,,,,,,,37.8,,50.0,
UGA,,24.999166666666667,,,,,36.36363636363637,,,,0.40448,,8.99,9.59316,3.77,3.91709,,0.34,0.36191,,0.04,0.03726,,0.01,0.00532,,70.0,,78.0,
UKR,,,,,,,,,,,,,,,,,,,,,,,,,,,88.6,4.0,91.4,3.7
URY,,,,,,,,,,,3.93301,,17.81,17.61048,1.19,1.17403,,,,,3.56,3.5221,,0.42,0.41091,,,,,
VCT,,,,,,,,,,,0.0,,35.67,35.65779,0.91,0.9143,,0.0,0.0,,0.0,0.0,,0.0,0.0,,,,,
VUT,,,,,,,,,,,2.37377,,125.18,118.68826,16.27,15.42947,,1.67,1.58251,,0.42,0.39563,,0.42,0.39563,,,,,
WPR,,,,,,,,,,34.59615384615385,,,,,,,,,,,,,,,,,,,,
WSM,,,,,,,,,,,4.2023,,0.0,0.0,1.64,1.57586,,3.28,3.15172,,0.55,0.52529,,0.55,0.52529,,,,,
YEM,,,,,,,,,,,2.97041,,11.53,11.36541,4.82,4.74856,,2.09,2.06085,,0.91,0.90137,,0.01,0.00819,,,,,
ZAF,,,,,,,42.10473684210526,,,,0.67455,,6.19,5.88334,0.58,0.5476,,0.56,0.52865,,0.13,0.11937,,0.03,0.02653,,,,,
ZMB,,,,,,,,,,,0.45396,,1.31,1.17618,9.25,8.32953,,0.33,0.29576,,0.14,0.12381,,0.04,0.03439,,74.0,,81.3,4.7
ZWE,25.0,,,,,36.36318181818182,,,,,0.52298,,0.0,0.0,10.59,9.40659,,0.41,0.3675,,0.09,0.07774,,0.09,0.07774,,,,,
