IndicatorCode,AIR_10,AIR_11,AIR_11,AIR_11,AIR_11,AIR_11,AIR_11,AIR_11,AIR_11,AIR_11,AIR_11,AIR_12,AIR_15,AIR_15,AIR_15,AIR_15,AIR_15,AIR_15,AIR_15,AIR_15,AIR_15,AIR_15,AIR_16,AIR_17,AIR_35,AIR_35,AIR_35,AIR_35,AIR_35,AIR_35,AIR_35,AIR_35,AIR_35,AIR_35,AIR_39,AIR_39,AIR_39,AIR_39,AIR_39,AIR_39,AIR_39,AIR_39,AIR_39,AIR_39,AIR_4,AIR_41,AIR_41,AIR_41,AIR_41,AIR_41,AIR_41,AIR_41,AIR_41,AIR_41,AIR_41,AIR_42,AIR_42,AIR_42,AIR_42,AIR_42,AIR_42,AIR_42,AIR_42,AIR_42,AIR_42,AIR_43,AIR_44,AIR_45,AIR_46,AIR_5,AIR_51,AIR_52,AIR_52,AIR_52,AIR_52,AIR_52,AIR_52,AIR_52,AIR_52,AIR_52,AIR_52,AIR_6,AIR_60,AIR_60,AIR_60,AIR_60,AIR_60,AIR_60,AIR_60,AIR_60,AIR_60,AIR_60,AIR_62,AIR_62,AIR_62,AIR_62,AIR_62,AIR_62,AIR_62,AIR_62,AIR_62,AIR_62,AIR_7,AIR_7,AIR_7,AIR_7,AIR_7,AIR_7,AIR_7,AIR_7,AIR_7,AIR_7,AIR_71,AIR_72,AIR_73,AIR_74,AIR_75,AIR_8,AIR_9,AIR_90,AIR_90,AIR_90,AIR_90,AIR_90,AIR_90,AIR_90,AIR_90,AIR_90,AIR_90,HWWS_1,HWWS_1,HWWS_1,HWWS_1,HWWS_2,HWWS_2,HWWS_2,OCC_10,OCC_11,OCC_12,OCC_13,OCC_14,OCC_19,OCC_20,OCC_21,OCC_22,OCC_5,OCC_6,OCC_7,OCC_8,OCC_9,RADON_Q302,SDGAIRBOD,SDGAIRBODA,SDGAIRBODA,SDGAIRBODA,SDGAIRBODA,SDGAIRBODA,SDGAIRBODA,SDGAIRBODA,SDGAIRBODA,SDGAIRBODA,SDGAIRBODA,SDGWSHBOD,SHS_1,SHS_10,SHS_11,SHS_2,SHS_3,SHS_4,SHS_5,SHS_6,SHS_7,SHS_8,SHS_9,TOTENV_1,TOTENV_11,TOTENV_2,TOTENV_5,TOTENV_7,TOTENV_9,UNICEF_ORS,UNICEF_ORS,UNICEF_ORS,UNICEF_ORS,UNICEF_ORS,UNICEF_ORS,UNICEF_ORS,UNICEF_ORS,UNICEF_ORS,UNICEF_ORS,UNICEF_ORS,UNICEF_ORS,UNICEF_ORS,UNICEF_ORS,UNICEF_ORS,UNICEF_ORS,UNICEF_ORS,UNICEF_ORS,UNICEF_ORS,UNICEF_ORS,UNICEF_ORS,UNICEF_ORS,UNICEF_ORS,UNICEF_ORS,UNICEF_ORS,UNICEF_ORS,UNICEF_ORS,UNICEF_ORS,UNICEF_ORS,UNICEF_ORS,UNICEF_ORS,UV_1,UV_2,UV_3,UV_4,UV_5,WSH_1,WSH_10,WSH_10_HYG,WSH_10_SAN,WSH_10_WAT,WSH_20,WSH_20_HYG,WSH_20_SAN,WSH_20_WAT,WSH_30,WSH_30_HYG,WSH_30_SAN,WSH_30_WAT,WSH_DOMESTIC_WASTE_SAFELY_TREATED,WSH_DOMESTIC_WASTE_SAFELY_TREATED,WSH_DOMESTIC_WASTE_SAFELY_TREATED,WSH_HYGIENE_BASIC,WSH_HYGIENE_BASIC,WSH_HYGIENE_BASIC,WSH_HYGIENE_BASIC,WSH_HYGIENE_BASIC,WSH_HYGIENE_BASIC,WSH_HYGIENE_BASIC,WSH_HYGIENE_BASIC,WSH_HYGIENE_BASIC,WSH_HYGIENE_BASIC,WSH_HYGIENE_BASIC,WSH_HYGIENE_BASIC,WSH_HYGIENE_BASIC,WSH_HYGIENE_BASIC,WSH_HYGIENE_BASIC,WSH_HYGIENE_BASIC,WSH_HYGIENE_BASIC,WSH_HYGIENE_BASIC,WSH_HYGIENE_BASIC,WSH_HYGIENE_BASIC,WSH_HYGIENE_BASIC,WSH_HYGIENE_BASIC,WSH_HYGIENE_BASIC,ors,ors,ors,ors,ors,ors,ors,ors,ors,ors,ors,ors,ors,ors,ors,ors,ors,ors,ors,ors,ors,ors,ors,ors,ors,ors,ors,ors,ors,ors,ort,ort,ort,ort,ort,ort,ort,ort,ort,ort,ort,ort,ort,ort,ort,ort,ort,ort,ort,ort,ort,ort,ort,ort,ort,ort,ort,ort,ort,ort
151,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40.29224,44.10493851,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
154,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,91.06702,91.89728546,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
155,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,95.43708,94.76629639,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40.94726,21.15078735,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
199,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.25117,17.4659,19.46541214,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
202,,,,,,,,,,,,,,,,,,,,,,,,103.77197430962343,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,394479.63981882634,,1.3176786854460094,2.599995821596244,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,57.96351741784037,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.3496491549295775,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.59818,20.08288,19.41727829,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46171.163364319254,,1.1604267136150235,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.452249201877937,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.1604267136150235,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,89.62537,96.0705,96.18344879,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36.25454,33.79436874,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,,,,,,,,,,,,,,,,,,,,,,,,35.63829313807531,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,642725.8712669484,,3.239926150234742,1.8967242253521126,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,64.42853079812207,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.7323323004694835,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70.19569,67.84066,69.01350403,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,,,,,,,,,,,,,,,,,,,,,,,,62.58757439330544,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,842118.8671095306,,2.5915135680751176,2.535360751173709,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70.41819629107981,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.474303990610329,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.21818,23.60093,27.87942314,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
