IndicatorCode,GHED_PVT-DCHE_SHA2011,GHED_PVT-DCHE_SHA2011,GHED_PVT-DCHE_SHA2011,GHED_PVT-DCHE_SHA2011,GHED_PVT-DCHE_SHA2011,GHED_PVT-DCHE_SHA2011,GHED_PVT-DCHE_SHA2011,GHED_PVT-DCHE_SHA2011,GHED_PVT-DCHE_SHA2011,GHED_PVT-DCHE_SHA2011,GHED_PVT-DCHE_SHA2011,GHED_PVT-DCHE_SHA2011,GHED_PVT-DCHE_SHA2011,GHED_PVT-DCHE_SHA2011,GHED_PVT-DCHE_SHA2011,GHED_PVT-DCHE_SHA2011,GHED_PVT-DCHE_SHA2011,GHED_PVT-DCHE_SHA2011,GHED_PVT-DCHE_SHA2011,GHED_PVT-DCHE_SHA2011,GHED_PVT-DCHE_SHA2011,GHED_PVT-DCHE_SHA2011,GHED_PVT-DCHE_SHA2011,GHED_PVT-DCHE_SHA2011,GHED_PVT-D_pc_US_SHA2011,GHED_PVT-D_pc_US_SHA2011,GHED_PVT-D_pc_US_SHA2011,GHED_PVT-D_pc_US_SHA2011,GHED_PVT-D_pc_US_SHA2011,GHED_PVT-D_pc_US_SHA2011,GHED_PVT-D_pc_US_SHA2011,GHED_PVT-D_pc_US_SHA2011,GHED_PVT-D_pc_US_SHA2011,GHED_PVT-D_pc_US_SHA2011,GHED_PVT-D_pc_US_SHA2011,GHED_PVT-D_pc_US_SHA2011,GHED_PVT-D_pc_US_SHA2011,GHED_PVT-D_pc_US_SHA2011,GHED_PVT-D_pc_US_SHA2011,GHED_PVT-D_pc_US_SHA2011,GHED_PVT-D_pc_US_SHA2011,GHED_PVT-D_pc_US_SHA2011,GHED_PVT-D_pc_US_SHA2011,GHED_PVT-D_pc_US_SHA2011,GHED_PVT-D_pc_US_SHA2011,GHED_PVT-D_pc_US_SHA2011,GHED_PVT-D_pc_US_SHA2011,GHED_PVT-D_pc_US_SHA2011,ORALHEALTH_SUGAR_AVAILABILITY,R_Ad_val,R_Ad_val,R_Ad_val,R_Ad_val,R_Ad_val,R_Ad_val,R_Ad_val,R_Ad_val,R_Ad_val_average,R_Ad_val_average,R_Ad_val_estimate,R_Ad_val_estimate,R_Ad_val_estimate,R_Ad_val_estimate,R_Ad_val_estimate,R_Ad_val_estimate,R_Ad_val_estimate,R_Sp_excise,R_Sp_excise,R_Sp_excise,R_Sp_excise,R_Sp_excise,R_Sp_excise,R_Sp_excise,R_Sp_excise,R_Sp_excise_average,R_Sp_excise_average,R_Sp_excise_estimate,R_Sp_excise_estimate,R_Sp_excise_estimate,R_Sp_excise_estimate,R_Sp_excise_estimate,R_Sp_excise_estimate,R_Sp_excise_estimate,R_excise_proportion,R_excise_proportion,R_excise_proportion,R_excise_proportion,R_excise_proportion,R_excise_proportion,R_excise_proportion,R_excise_proportion,Rev_VAT,Rev_VAT,Rev_VAT,Rev_VAT,Rev_VAT,Rev_VAT,Rev_VAT,Rev_VAT,Rev_VAT,Rev_VAT,Rev_excise,Rev_excise,Rev_excise,Rev_excise,Rev_excise,Rev_excise,Rev_excise,Rev_excise,Rev_excise,Rev_excise,Rev_excise,Rev_excise,Rev_excise,SA_0000001474,SA_0000001474,SA_0000001474,SA_0000001474,SA_0000001474,SA_0000001474,SA_0000001474,SA_0000001474,SA_0000001474,SA_0000001474,SA_0000001474,SA_0000001474,SA_0000001474,SA_0000001474,SA_0000001474,SA_0000001474,SA_0000001474,SA_0000001474,SA_0000001474,SA_0000001474,SA_0000001474,SA_0000001474,SA_0000001474,SA_0000001474,SA_0000001474,SA_0000001474,SA_0000001474,SA_0000001474_ARCHIVED,SA_0000001474_ARCHIVED,SA_0000001474_ARCHIVED,SA_0000001474_ARCHIVED,SA_0000001474_ARCHIVED,SA_0000001474_ARCHIVED,SA_0000001474_ARCHIVED,SA_0000001474_ARCHIVED,SA_0000001474_ARCHIVED,SA_0000001474_ARCHIVED,SA_0000001474_ARCHIVED,SA_0000001474_ARCHIVED,SA_0000001474_ARCHIVED,SA_0000001474_ARCHIVED,SA_0000001474_ARCHIVED,SA_0000001474_ARCHIVED,SA_0000001474_ARCHIVED,SA_0000001474_ARCHIVED,SA_0000001474_ARCHIVED,SA_0000001474_ARCHIVED,SA_0000001474_ARCHIVED,SA_0000001474_ARCHIVED,SA_0000001474_ARCHIVED,SA_0000001474_ARCHIVED,SA_0000001474_ARCHIVED,SA_0000001474_ARCHIVED,SA_0000001474_ARCHIVED,SA_0000001475,SA_0000001475,SA_0000001475,SA_0000001475,SA_0000001475,SA_0000001475,SA_0000001475,SA_0000001475,SA_0000001475,SA_0000001475,SA_0000001475,SA_0000001475,SA_0000001475,SA_0000001475,SA_0000001475,SA_0000001475,SA_0000001475,SA_0000001475,SA_0000001475,SA_0000001475,SA_0000001475,SA_0000001475,SA_0000001475,SA_0000001475,SA_0000001475,SA_0000001475,SA_0000001475,SA_0000001475,SA_0000001475_ARCHIVED,SA_0000001475_ARCHIVED,SA_0000001475_ARCHIVED,SA_0000001475_ARCHIVED,SA_0000001475_ARCHIVED,SA_0000001475_ARCHIVED,SA_0000001475_ARCHIVED,SA_0000001475_ARCHIVED,SA_0000001475_ARCHIVED,SA_0000001475_ARCHIVED,SA_0000001475_ARCHIVED,SA_0000001475_ARCHIVED,SA_0000001475_ARCHIVED,SA_0000001475_ARCHIVED,SA_0000001475_ARCHIVED,SA_0000001475_ARCHIVED,SA_0000001475_ARCHIVED,SA_0000001475_ARCHIVED,SA_0000001475_ARCHIVED,SA_0000001475_ARCHIVED,SA_0000001475_ARCHIVED,SA_0000001475_ARCHIVED,SA_0000001475_ARCHIVED,SA_0000001475_ARCHIVED,SA_0000001475_ARCHIVED,SA_0000001475_ARCHIVED,SA_0000001475_ARCHIVED,SA_0000001546,SA_0000001546_ARCHIVED,SA_0000001547,SA_0000001547,SA_0000001547,SA_0000001547,SA_0000001547,SA_0000001547,SA_0000001547,SA_0000001547,SA_0000001547,SA_0000001547,SA_0000001547,SA_0000001547_ARCHIVED,SA_0000001547_ARCHIVED,SA_0000001547_ARCHIVED,SA_0000001547_ARCHIVED,SA_0000001547_ARCHIVED,SA_0000001547_ARCHIVED,SA_0000001547_ARCHIVED,SA_0000001547_ARCHIVED,TAXBEV_EXCISE,TAXBEV_EXCISE,TAXBEV_SUGARCONTENT,TAXBEV_SUGARCONTENT,TAXBEV_VATSALES,TAXBEV_VATSALES,WHS6_101,WHS6_116
DOM,63.13898849,62.20698929,61.007267,70.36499786,71.05225372,66.30522919,63.78225327,57.06691742,51.72777939,50.14857864,48.21837997,45.3833847,43.82303238,42.88214874,41.07526016,40.77070236,40.99045563,40.34591675,37.55761337,37.86544037,33.64594269,32.43172073,34.13516998,35.04886246,87.31885509,89.15841607,93.25933717,73.600776,74.69166699,111.96187492,103.29436024,108.50731134,118.61049153,118.90794072,130.20872228,133.40502064,133.32611932,129.62637512,128.33646637,131.30149233,134.59841323,132.95662477,124.87043153,135.34675538,119.19306844,140.71853666,160.21312687,171.34433973,102.54795,17.24,17.24,17.24,16.95,8.56,9.78,11.15,11.06,17.2,16.9,0.17,0.17,0.17,0.17,0.09,0.1,0.11,26.0,26.08,27.55,26.67,33.4,26.08,17.87,18.38,27.3,25.5,0.26,0.26,0.28,0.27,0.33,0.26,0.18,43.24,43.32,44.8,43.62,41.96,35.86,29.02,29.44,,,,,,,,,,,,,,,,,,,,,3507400000.0,3746900000.0,,,,,,,,,,,,,,,,,,,,,,,6.3,6.1,5.2,,,,,,,,,,,,,,,,,,,,,,,,,6.3,6.1,5.2,,,,,,,,,,,,,,,,,,,,,,,,,682.12,690.1,666.28,,,,,,,,,,,,,,,,,,,,,,,,,,682.12,690.1,666.28,,,,,,,,,,,,,,,,,,,,,,,,,9.611666666666666,9.108333333333333,11.0,13.0,15.25,15.25,65.0,9.4
DZA,27.98437881,23.72669601,24.67682266,23.25556946,28.59969521,30.62975693,31.48499298,30.14612961,27.96792603,29.06443787,30.48965836,29.36287498,28.51187706,30.61600876,29.82784271,31.47016144,34.26882172,35.34182739,35.16595078,39.48215866,41.22138977,42.17322922,52.29389572,46.88788605,17.3105358,15.91078876,16.45490793,17.66290943,26.50838008,30.88611204,36.7666153,45.48041357,57.71798698,60.22203847,69.50238562,83.83161247,96.96654886,103.35152454,109.34474199,93.39347471,90.99567568,95.75242762,95.48894806,95.57465481,87.00698055,88.11637683,94.303971,109.42670442,75.12329,0.0,0.0,0.0,0.0,6.28,6.58,6.45,8.38,0.0,0.0,0.0,0.0,0.0,0.0,0.06,0.07,0.06,30.6,25.2,25.2,14.28,11.9,9.97,9.97,10.93,34.1,27.7,0.31,0.25,0.25,0.14,0.12,0.1,0.1,30.6,25.2,25.2,14.28,18.18,16.55,16.43,19.31,,,,,,,,,,,,,,,,,,,,,64300251869.0,71083885847.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ECU,69.18604279,65.40759277,67.99352264,69.27954102,68.21258545,69.8104248,67.70722961,60.44189072,59.977005,57.39411926,52.80361938,52.08981323,48.64523697,42.96456909,38.38348007,41.97861099,38.89118195,38.22139359,36.14332581,37.04512405,38.49615097,36.11872101,37.62312317,37.78332138,34.15909548,47.61164545,67.4007299,92.92288003,103.75726949,118.98621307,130.37095126,116.8539624,138.92012412,140.37187101,151.54886114,177.31781774,188.52256535,177.92782604,166.36109371,194.87387545,174.63645796,179.27570698,178.48547676,179.49856828,181.01028105,183.35718484,186.34876434,192.50380407,55.69863,53.57,53.57,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.54,0.54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,62.31,59.68,61.54,59.26,56.14,53.33,53.5,52.0,0.0,0.0,0.62,0.6,0.62,0.59,0.56,53.57,53.57,62.31,59.68,61.54,59.26,56.14,53.33,,,,,,,,8867823.3,4274203.59,,,,,,,,,,,,70712016.0,42325668.29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.174999999999999,6.9799999999999995,10.33,10.33,10.71,13.04,71.1,5.0
EGY,64.81281281,65.77965546,65.53860474,67.21897888,66.42459106,66.48487854,62.40778351,62.6199379,64.24919891,63.34403229,66.42754364,65.58146667,70.91378021,70.57222748,69.08998871,68.55438995,68.12286377,68.712883,70.87649536,70.75879669,66.95245361,61.69075012,61.00906372,64.28696442,44.96178611,45.17308932,41.94423694,33.84328198,33.43205868,39.53748338,41.39325712,45.89699564,57.92559455,62.6497603,69.80084766,76.22500976,99.14899506,98.56996733,107.13425528,116.71750003,97.15577459,72.83763789,83.64476202,100.9704648,99.32577413,109.15354611,104.73945702,90.90891234,70.93151,0.0,40.0,50.0,50.0,50.0,50.0,50.0,21.954,50.0,50.0,0.0,0.4,0.5,0.5,0.5,0.5,0.5,55.64,31.25,20.83,21.88,22.5,21.88,23.53,22.058,21.5,22.0,0.56,0.31,0.21,0.22,0.23,0.22,0.24,55.64,71.25,70.83,71.88,72.5,71.88,73.53,69.51,,,,,,,,,,,,,,,,,,,,,,61132000000.0,71000000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.471666666666668,17.471666666666668,10.61,10.7,12.28,12.28,,
EMR,49.07514211,47.60014524,48.54214315,49.17802084,48.18080402,47.56450026,47.31741842,47.16990425,46.76029414,45.03112738,46.25616995,45.83358842,46.85966891,45.68702377,45.06401851,47.2521462,45.6486125,47.22604253,46.96055152,46.10704244,44.17070835,43.96492095,43.78143792,43.86417545,90.18664921,85.77016975,87.4145465,89.5924499,96.97576212,103.43148578,111.87252032,124.84025745,140.1124963,140.51829531,150.97147519,162.94193222,168.82909123,159.51803928,157.67316579,155.77232096,153.26233262,174.3199336,182.727557,179.87413145,154.28712842,157.67193708,164.22037026,166.4493254,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ERI,63.76799011,55.92798233,46.02070618,38.93305588,35.13972473,35.23891068,34.71794891,44.09305954,32.59598923,45.82186508,48.65536118,36.47444534,52.5526886,48.772789,50.96209717,42.90429688,59.00007629,46.97371674,50.77529907,46.44067764,48.55705261,49.67214203,54.29415512,48.44565582,8.94687083,8.33704958,7.26001817,7.7145082,8.13704174,7.72666641,8.25419885,8.65399559,7.02465009,11.15809232,12.65356665,12.96713789,14.60275879,15.43209388,16.78410335,12.53753135,15.34351379,11.79167458,13.54787218,13.20276213,13.43426819,13.70334978,14.70818105,13.70906783,,44.64,44.64,44.64,44.64,44.64,44.64,,,,,0.45,0.45,0.45,0.45,0.45,0.45,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,44.64,44.64,44.64,44.64,44.64,44.64,,,,8242000.0,,,19107.63,,,,,,,,,,11429000.0,,,70769.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.671666666666667,12.671666666666667,10.33,10.33,6.363333333333333,6.363333333333333,,
ESP,28.64209938,28.97067451,28.95956039,29.20413399,29.04705048,28.82735634,28.36423683,28.2278595,27.31231499,25.55532074,26.27414894,27.24785995,28.71469879,29.88310432,30.65082741,29.66912079,28.44173431,30.52464867,30.81609344,30.56148911,27.91207123,27.38850594,27.06453514,26.81624603,287.93444237,302.75819262,340.15302199,481.30081755,561.25117082,597.97471871,640.09021287,741.13846813,824.76586715,757.07199259,740.10168388,800.59126654,752.56687588,796.2303375,832.65404103,707.26821641,676.3830996,782.82241983,857.97033302,842.46450535,821.29025872,873.3788168,798.02884553,833.07896004,89.42466,57.0,57.0,55.0,51.0,51.0,51.0,51.0,16.686666666666667,55.0,51.0,0.57,0.57,0.55,0.51,0.51,0.51,0.51,6.56,6.0,8.44,10.04,9.94,9.88,9.88,3.5400000000000005,8.9,10.4,0.07,0.06,0.08,0.1,0.1,0.1,0.1,63.56,63.0,63.44,61.04,60.94,60.88,60.88,60.23,,,,,,,,,,,,,,,,,,,,6840860000.0,,,7075166094.0,,,,,,,,,,,,,,,,,,,,,0.7,0.7,0.6,0.6,0.6,0.6,0.6,,,,,,,,,,,,,,,,,,,,,0.7,0.7,0.6,0.6,0.6,0.6,0.6,,,,,,,,,,,1057.81,1090.74,1151.7,1192.98,1323.0,1366.74,1524.42,1663.71,2083.49,1682.48,1478.12,1685.46,1423.7,1433.66,1595.55,1313.54,1336.09,1342.04,,,,,,,,,,,1057.81,1090.74,1151.7,1192.98,1323.0,1366.74,1524.42,1663.71,1884.81,1682.48,1333.92,1512.49,1294.25,1301.46,1439.55,,,,,301.5,417.65,212.55499999999998,12.5425,212.54250000000002,417.615,458.635,913.28,913.28,958.84,958.94,202.66666666666666,280.09999999999997,280.08666666666664,13.403333333333334,280.07,280.07,307.08666666666664,,6.798333333333333,5.763333333333333,10.6,10.6,17.36,17.36,,
EST,24.15920067,22.07270622,23.9418602,24.14074326,25.84210396,25.82019424,25.03278351,24.68650627,23.93950272,23.30151558,24.8643322,24.51578903,24.47204399,25.43497849,25.25317192,25.37299347,25.41053581,26.48119926,26.38666153,25.6101284,22.95881462,23.93270302,25.20706558,24.22364616,50.73020259,47.36264529,59.93718578,89.07440571,122.62283716,141.91559825,157.00155935,213.90842238,259.06248176,234.53140334,240.23675604,260.1524554,259.09030543,303.91294011,325.20056289,293.36325691,311.55500427,357.52966481,409.89924357,409.59566706,410.74105973,500.47027926,503.82502048,547.08126061,51.36986,31.0,33.0,33.0,34.0,30.0,30.0,30.0,6.0,33.0,34.0,0.31,0.33,0.33,0.34,0.3,0.3,0.3,31.08,32.91,27.21,26.57,30.53,39.71,40.98,11.018,29.6,31.0,0.31,0.33,0.27,0.27,0.31,0.4,0.41,62.08,65.91,60.21,60.57,60.53,69.71,70.98,71.5,,,,,,,,,,,,,,,,,,,199910000.0,230550000.0,,,,,,,,,10.0,,,,,3.8,3.5,3.7,3.4,4.1,4.1,3.6,2.8,2.9,2.9,2.9,3.0,2.6,2.7,2.8,2.7,,,,,,,10.0,,,,,3.8,3.5,3.7,3.4,4.1,4.1,3.6,2.8,2.9,2.9,2.9,3.0,2.6,2.7,2.8,2.7,,,,,,,,,,,,59.83,54.2,76.5,95.32,132.93,148.04,170.67,201.48,224.29,203.44,177.29,59.83,54.2,237.57,257.45,209.03,279.08,,,,,,,,,,,,59.83,54.2,76.5,95.32,132.93,148.04,170.67,201.48,246.81,224.81,202.13,256.99,246.06,277.45,300.52,248.46,,,,362.17499999999995,397.15,59.86666666666667,417.65,416.49,575.4266666666666,522.74,97.37,97.37,2389.0,8.3,460.7333333333333,505.1666666666667,51.4,531.2666666666667,528.4399999999999,822.82,664.53,,12.715000000000002,13.745,10.6,10.6,16.67,18.03,,
ETH,42.51675034,40.2579422,43.13770676,39.34571838,39.62669373,35.61906815,42.51520157,39.9972496,41.2253952,46.90090179,48.28907013,53.94320297,48.55954742,49.74310303,58.84427261,56.48737717,54.76727295,39.70265579,40.65381241,43.12816238,37.31850815,41.18174744,49.4164505,51.21187592,2.2490121,2.21803197,2.22143731,2.24657835,2.27401706,2.30882859,3.5815388,4.65252261,5.37522961,7.10295212,7.8088346,7.88804242,9.71296662,9.58399576,12.71415307,13.11533709,13.33239742,9.60105336,9.56200395,11.18534024,10.55367996,10.73579794,13.37626967,17.82094933,26.0,18.57,29.06,25.43,13.9,13.9,13.9,20.78,15.45,,13.8,0.19,0.29,0.25,0.14,0.14,0.14,0.21,0.0,0.0,0.0,0.0,0.0,0.0,20.0,20.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,18.57,29.06,25.43,13.9,13.9,13.9,40.78,35.45,,,,,,,406810000.0,333170000.0,,,,,,,,,,,,1235360000.0,1260620000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45.71,,,,,,,,,,,,,,,,,,,,,,,,,,,,45.71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.685,,10.6,,13.04,,,
EUR,35.83174841,35.64311574,35.66625472,35.27016748,35.71097783,35.08242768,35.2237545,35.06847391,34.99304632,34.25919096,34.52624237,34.89723197,35.04682679,35.1704754,35.22564291,35.73128258,35.88717164,36.14193266,35.69010445,35.29632284,32.43858408,32.24473704,32.65962322,33.00403725,274.35705769,284.01478584,316.84180669,394.26492452,460.03842805,485.51833563,515.69588783,590.49587185,659.79981762,632.5608645,629.22684551,689.37763612,658.3236707,692.30602089,710.99975336,631.21265253,680.65755103,716.58484732,754.32529656,747.84138559,732.73018015,826.63177478,819.33217715,896.4100411,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FIN,24.26508904,23.77337646,23.16973305,22.68162727,22.16000366,22.19061852,21.25457954,21.37723732,21.17243385,20.96934891,21.44969559,20.82777214,20.19280052,20.53726196,20.44187927,21.43538094,22.16520119,21.98470497,21.43918228,19.80098724,18.66060448,18.65327263,18.27225494,18.85122871,418.99603379,430.39409227,477.14054337,592.86271276,674.57732866,718.27888298,725.83151652,837.69790835,949.86696804,912.14457994,911.94000606,982.55179768,923.4565716,1004.6897223,1006.23711186,884.89703661,910.71047401,931.21822415,969.32472208,883.11006819,883.80619293,981.51832576,895.71303659,1039.72155156,79.78082,52.0,52.0,52.0,52.0,52.0,52.0,52.0,26.0,52.0,52.0,0.52,0.52,0.52,0.52,0.52,0.52,0.52,6.88,7.95,9.18,10.18,13.56,17.06,18.25,20.990000000000002,9.1,10.3,0.07,0.08,0.09,0.1,0.14,0.16,0.17,58.88,59.95,61.18,62.18,65.56,69.06,70.25,70.09,,,,,,,,,,,,,,,,,,,,,1058655629.0,,1115461061.0,8.4,,,,,,3.5,,,5.3,4.8,5.3,5.5,5.7,4.6,4.2,4.2,4.1,4.3,5.3,5.4,4.9,5.0,4.8,4.9,4.6,,8.4,,,,,,3.5,,,5.3,4.8,5.3,5.5,5.7,4.6,4.2,4.2,4.1,4.3,5.3,5.4,4.9,5.0,4.8,4.9,4.6,,,,,,,,,,,1063.39,1233.16,1300.43,1338.3,1571.87,1318.08,1163.47,1267.58,1383.02,1731.72,1691.03,1573.16,1843.63,1739.81,1746.86,1903.9,1522.95,1382.31,,,,,,,,,,,1063.39,1233.16,1300.43,1338.3,1571.87,1318.08,1163.47,1267.58,1383.02,1732.5,1691.7,1572.77,1843.49,1740.06,1747.49,1903.93,1517.23,,,,1881.0,2073.2,1458.9333333333334,2322.75,2283.88,2997.3333333333335,2370.2625,4555.0,4555.0,4555.0,4785.0,1314.6666666666667,1450.9333333333334,218.4,1650.3333333333333,1598.506666666667,2326.0,1642.0166666666667,,17.06,19.135,10.6,10.6,16.993333333333336,16.993333333333336,,
FJI,15.3057394,18.61188889,17.39832687,18.15504265,18.29716682,17.07183456,21.38614082,24.19896126,24.14659309,31.16548729,29.79324532,34.98676682,34.65881729,36.53220367,34.5952034,34.33353424,33.00948334,31.44372368,32.78167343,29.95570755,37.66966629,41.4587059,13.53397465,13.60495567,11.36997447,11.44604475,12.07532855,15.63092879,20.1393607,20.52217533,27.02912245,33.95160961,32.47802797,37.7278386,38.03287651,49.30717107,53.2240314,57.91014489,61.68729507,58.18681924,58.0690768,58.38988112,81.90835812,76.33595779,96.53216546,137.47049256,29.38911636,28.96317857,61.89041,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,38.47,,27.79,31.05,30.25,33.81,28.66,25.67,27.6,31.0,0.38,,0.28,0.31,0.3,0.34,0.29,38.47,,27.79,31.05,30.25,33.81,28.66,25.67,,,,,,,,,,,,,,,,,,,,,57916426.0,53571673.16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.826666666666668,12.015,10.8,10.6,11.446666666666665,13.04,,
FRA,27.27091789,27.24163246,26.99800873,27.36457253,27.35443115,27.45205688,28.72631073,28.90325165,29.373312,29.32033348,30.3523159,30.52717781,30.39202309,29.77676582,30.22258186,28.40293884,25.58085442,24.75257301,24.84388733,25.4209156,23.67842484,24.47867775,24.70803642,32.28642654,589.55716584,597.33156291,661.38593866,822.66280317,946.08777971,981.41797556,1094.92141514,1246.39940473,1412.0884156,1389.07368204,1394.2831084,1507.11339276,1416.24537781,1454.5102653,1513.33464262,1200.48613422,1097.25212829,1098.18299731,1165.92369931,1149.0218126,1127.11266807,1313.25594089,1200.25061265,1662.44582476,97.50685,57.97,57.97,54.57,49.7,49.7,50.8,54.0,25.916666666666668,54.6,49.7,0.58,0.58,0.55,0.5,0.5,0.51,0.54,6.03,6.03,8.9,13.93,13.93,14.98,12.56,5.361666666666667,9.0,14.2,0.06,0.06,0.09,0.14,0.14,0.15,0.13,64.0,64.0,63.47,63.63,63.63,65.78,66.56,67.11,,,,,,,,,,,,,,,,,,,11949870000.0,12603633503.0,,,,1.8,1.7,1.7,1.8,1.7,1.7,1.7,1.7,1.7,1.8,1.7,1.7,1.7,1.7,1.7,1.6,1.5,1.5,,,,,,,,,,1.8,1.7,1.7,1.8,1.7,1.7,1.7,1.7,1.7,1.8,1.7,1.7,1.7,1.7,1.7,1.6,1.5,1.5,,,,,,,,,,,,,,,,,,,,2467.84,2578.28,2553.84,,,2898.5,3200.89,3445.97,3998.08,3581.0,3146.62,3801.24,3466.17,4104.8,4503.78,3643.26,3656.08,,,,,,,,,,,,2467.84,2578.28,2553.84,,,2898.5,3200.89,3445.97,3998.08,3581.0,3146.62,3801.24,3466.17,3092.13,3297.54,,,,,372.0125,382.2625,6.733333333333333,420.125,420.13,427.3925,436.38000000000005,3.75,7.38,7.41,7.41,495.09999999999997,508.76666666666665,8.3,558.9666666666666,558.9533333333333,568.6366666666667,580.59,,2.725,6.663333333333334,10.6,10.6,4.94,12.850000000000001,,
FSM,5.30324364,5.2611208,5.88303137,5.29236984,14.68732262,12.22500324,19.86447525,18.07793617,15.76683044,13.6090126,11.87431049,12.16262341,12.76585579,12.8617382,14.0514822,13.42561436,13.86305332,16.06058693,17.11640739,16.31744194,12.62366199,9.92967129,10.31044865,14.29917145,8.5636044,9.53789743,9.99857527,11.05286216,37.89163107,48.64529947,48.75203363,46.75820115,45.64527872,44.30627811,42.98086199,45.99330334,47.50203242,45.63636418,48.47984331,48.63781559,55.42048281,65.70668087,73.25948404,69.39498305,50.87783027,39.66306744,48.30807186,72.60778987,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
