IndicatorCode,HEPATITIS_DEATHS_RATE,HEPATITIS_HBV_ADDEDTEST_ANC_PERCENT,HEPATITIS_HBV_ADDEDTEST_ANC_PERCENT,HEPATITIS_HBV_ADDEDTEST_ANC_PERCENT,HEPATITIS_HBV_DEATHS_NUM,HEPATITIS_HBV_DIAGNOSED_NUM,HEPATITIS_HBV_DIAGNOSIS_PERINFECTED_PER100,HEPATITIS_HBV_INFECTIONS_NEW_NUM,HEPATITIS_HBV_LIVINGWITH_NUM,HEPATITIS_HBV_PREVALENCE_PER100,HEPATITIS_HBV_TESTING_ANC_PERCENT,HEPATITIS_HBV_TESTING_ANC_PERCENT,HEPATITIS_HBV_TESTING_ANC_PERCENT,HEPATITIS_HBV_TESTPOSITIVE_ANC_PERCENT,HEPATITIS_HBV_TESTPOSITIVE_ANC_PERCENT,HEPATITIS_HBV_TESTPOSITIVE_ANC_PERCENT,HEPATITIS_HBV_TREATMENT_ANC_PERCENT,HEPATITIS_HBV_TREATMENT_ANC_PERCENT,HEPATITIS_HBV_TREATMENT_ANC_PERCENT,HEPATITIS_HBV_TREATMENT_NUM,HEPATITIS_HBV_TREATMENT_PERDIAGNOSED_PER100,HEPATITIS_HBV_TREATMENT_PERINFECTED_PER100,HEPATITIS_HCV_DEATHS_NUM,HEPATITIS_HCV_DIAGNOSED_CRD_NUM,HEPATITIS_HCV_DIAGNOSED_NUM,HEPATITIS_HCV_DIAGNOSIS_PERINFECTED_CRD_PER100,HEPATITIS_HCV_INFECTIONS_NEW_NUM,HEPATITIS_HCV_LIVINGWITH_CRD_NUM,HEPATITIS_HCV_LIVINGWITH_NUM,HEPATITIS_HCV_PREVALENCE_PER100,HEPATITIS_HCV_TESTING_HIV_PERCENT,HEPATITIS_HCV_TESTING_HIV_PERCENT,HEPATITIS_HCV_TESTING_HIV_PERCENT,HEPATITIS_HCV_TESTING_HIV_PERCENT,HEPATITIS_HCV_TESTING_PWID_PERCENT,HEPATITIS_HCV_TESTING_PWID_PERCENT,HEPATITIS_HCV_TESTING_PWID_PERCENT,HEPATITIS_HCV_TESTING_PWID_PERCENT,HEPATITIS_HCV_TREATMENT_CUM_NUM,HEPATITIS_HCV_TREATMENT_CUM_PERINFECTED_CRD_PER100,HEPATITIS_HCV_TREATMENT_HIV_PERCENT,HEPATITIS_HCV_TREATMENT_HIV_PERCENT,HEPATITIS_HCV_TREATMENT_HIV_PERCENT,HEPATITIS_HCV_TREATMENT_HIV_PERCENT,HEPATITIS_HCV_TREATMENT_INITIATED_NUM,HEPATITIS_HCV_TREATMENT_PERDIAGNOSED_PER100,HEPATITIS_HCV_TREATMENT_PWID_PERCENT,HEPATITIS_HCV_TREATMENT_PWID_PERCENT,HEPATITIS_HCV_TREATMENT_PWID_PERCENT,HEPATITIS_HCV_TREATMENT_PWID_PERCENT,HEPB_HBSAG_CARRIER,HEPB_HBSAG_CARRIER,PRISON_D4_HEPB_DIAG_TOT,PRISON_D4_HEPC_DIAG_TOT,SDGHEPHBSAGPRV,SDGHEPHBSAGPRV,WHS4_117,WHS4_117,WHS4_117,WHS4_117,WHS4_117,WHS4_117,WHS4_117,WHS4_117,WHS4_117,WHS4_117,WHS4_117,WHS4_117,WHS4_117,WHS4_117,WHS4_117,WHS4_117,WHS4_117,WHS4_117,WHS4_117,WHS4_117,WHS4_117,WHS4_117,WHS4_117,WHS4_117,WHS4_117
YEAR,2022,2021,2022,2023,2022,2022,2022,2022,2022,2022,2021,2022,2023,2021,2022,2023,2021,2022,2023,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2020,2021,2022,2023,2020,2021,2022,2023,2022,2022,2020,2021,2022,2023,2022,2022,2020,2021,2022,2023,2015,2020,2020,2020,2015,2020,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
CAF,58.36,,,0.0,2876.0,15659.0,2.0,12204.0,644304.0,11.5,4.1,,3.7,17.4,,8.5,,,78.8,2446.0,16.0,0.0,100.0,2129.0,2128.0,14.0,410.0,15036.0,15035.0,0.3,,,,,,,,,1.0,0.0,,,,,0.0,0.0,,,,,273.0,196.65,,,8.399999999999999,5.66,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.0,45.0,47.0,47.0,23.0,45.0,43.0,42.0,42.0,40.0,38.0,37.0,35.0,33.0,40.0,42.0
CAN,8.06,,,,445.0,153722.0,71.0,98.0,215840.0,,,,,,,,,,,18006.0,12.0,8.0,2692.0,191286.0,112299.0,91.0,663.0,209367.0,130380.0,0.3,,,,,,,,,83144.0,40.0,,,,,6843.0,43.0,,,,,409.5,212.4,,,1.6,0.7250000000000001,0.0,0.0,0.0,14.0,14.0,14.0,14.0,14.0,28.0,42.0,56.0,70.0,70.0,55.0,55.0,69.0,70.0,71.0,71.0,84.0,84.0,84.0,83.0,83.0,83.0
CHE,5.01,,,,265.0,37292.0,60.0,15.0,61665.0,0.7,,,,,,,,,,3052.0,8.0,5.0,175.0,33948.0,18673.0,75.0,584.0,45063.0,29788.0,0.4,,,,,,,,,16079.0,36.0,,,,,1018.0,47.0,,,,,8.0,8.2,,,0.2,0.16999999999999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,69.0,69.0,69.0,72.0,73.0,76.0,80.0,86.0
CHL,0.11,,,,7.0,1607.0,6.0,8.0,24880.0,0.1,,,,,,,,,,652.0,41.0,3.0,14.0,6319.0,5387.0,20.0,203.0,32286.0,31353.0,0.2,2.7,4.3,1.6,2.7,0.0,0.0,0.0,0.0,982.0,3.0,40.1,,32.0,55.6,87.0,16.0,0.0,,0.0,0.0,80.0,19.25,,,0.6,0.115,0.0,0.0,0.0,0.0,0.0,0.0,95.0,92.0,95.0,94.0,92.0,94.0,90.0,90.0,95.0,96.0,95.0,93.0,95.0,96.0,93.0,95.0,96.0,96.0,95.0
CHN,33.53,,,,,,,,,,99.7,99.9,99.5,,4.75,4.77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49775.5,43817.65,,,4.0,3.15,60.0,65.0,70.0,75.0,79.0,84.0,91.0,92.0,95.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,96.0,96.0
CIV,40.73,,,,11487.0,32975.0,2.0,6986.0,2155631.0,10.0,,,,,,,,,,1205.0,4.0,0.0,892.0,15964.0,15665.0,8.0,4653.0,211413.0,211114.0,0.7,,,,,,,,,315.0,0.0,,,,,315.0,2.0,,,,,744.0,1481.15,,,4.55,7.0649999999999995,0.0,10.0,48.0,63.0,67.0,77.0,77.0,76.0,74.0,81.0,79.0,62.0,82.0,75.0,73.0,79.0,87.0,83.0,83.0,79.0,72.0,73.0,73.0,79.0,77.0
CMR,16.42,,,,3505.0,30960.0,2.0,14763.0,1617773.0,11.5,,,49.9,,,,,,,3167.0,10.0,0.0,1032.0,30561.0,12925.0,17.0,3725.0,175178.0,157542.0,0.6,,,,,,,,,18564.0,11.0,,,,,2077.0,61.0,,,,,552.5,915.15,,,3.1500000000000004,4.1850000000000005,0.0,0.0,0.0,0.0,0.0,79.0,81.0,82.0,84.0,80.0,84.0,82.0,85.0,76.0,76.0,76.0,78.0,74.0,68.0,67.0,68.0,71.0,71.0,75.0,77.0
COD,7.65,,,,5185.0,67691.0,2.0,105240.0,2785244.0,2.8,,,,,,,,,,10210.0,15.0,0.0,2643.0,57925.0,57901.0,13.0,13104.0,432523.0,432499.0,0.4,,,,0.2,,,,,25.0,0.0,,,,31.8,0.0,0.0,,,,,1316.5,5085.2,,,2.3,7.029999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,65.0,68.0,71.0,60.0,70.0,71.0,71.0,73.0,70.0,70.0,71.0,71.0,73.0,70.0,65.0,65.0,60.0,65.0
COG,36.66,,,,2022.0,8013.0,2.0,3808.0,329697.0,5.5,,,,,,,,,,1359.0,17.0,0.0,190.0,4064.0,4062.0,13.0,913.0,30458.0,30456.0,0.5,,,,,,,,,2.0,0.0,,,,,0.0,0.0,,,,,235.0,258.0,,,6.8,5.765000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64.0,73.0,75.0,74.0,70.0,62.0,65.0,71.0,64.0,57.0,57.0,66.0,79.0,69.0,74.0,78.0,78.0,78.0
COK,32.34,,,,4.0,56.0,,12.0,980.0,5.8,,,,,,,,,,1.0,2.0,0.0,1.0,16.0,16.0,10.0,4.0,170.0,170.0,1.0,,,,,,,,,0.0,0.0,,,,,0.0,0.0,,,,,0.0,0.15,,,0.85,1.355,98.0,93.0,93.0,93.0,99.0,99.0,99.0,99.0,99.0,82.0,99.0,93.0,98.0,98.0,99.0,99.0,99.0,99.0,99.0,98.0,89.0,81.0,72.0,86.0,75.0
COL,0.16,,,62.1,54.0,37365.0,12.0,277.0,307755.0,0.6,,,55.9,,,0.16,,,,2914.0,8.0,1.0,27.0,36694.0,31236.0,12.0,3646.0,314618.0,309159.0,0.6,87.3,91.4,92.8,93.0,90.6,96.2,91.7,90.0,5745.0,2.0,78.1,91.1,17.3,25.5,486.0,16.0,0.0,,9.1,0.0,308.5,313.15000000000003,,,0.75,0.6849999999999999,78.0,80.0,78.0,92.0,89.0,93.0,93.0,94.0,92.0,92.0,88.0,85.0,92.0,91.0,90.0,91.0,91.0,92.0,92.0,92.0,88.0,87.0,87.0,90.0,89.0
COM,24.29,,,,182.0,3100.0,7.0,230.0,42135.0,5.0,18.0,,,3.0,,,25.0,,,246.0,8.0,1.0,21.0,956.0,671.0,16.0,117.0,5825.0,5539.0,0.7,,,,,,,,,300.0,5.0,,,,,87.0,31.0,,,,,18.0,22.65,,,3.15,3.105,0.0,0.0,0.0,28.0,77.0,68.0,69.0,75.0,81.0,83.0,74.0,83.0,86.0,83.0,80.0,80.0,75.0,79.0,77.0,78.0,74.0,72.0,78.0,75.0,75.0
CPV,66.89,,,,329.0,475.0,1.0,98.0,62371.0,10.5,,,,,,,,,,24.0,5.0,0.0,19.0,390.0,330.0,9.0,98.0,4437.0,4377.0,0.7,,,,,,,,,63.0,1.0,,,,,7.0,16.0,,,,,13.5,19.2,,,2.95,3.58,0.0,0.0,40.0,66.0,91.0,93.0,95.0,96.0,98.0,98.0,98.0,90.0,94.0,93.0,95.0,93.0,96.0,96.0,98.0,96.0,93.0,93.0,93.0,93.0,93.0
CRI,0.0,,,,0.0,1621.0,19.0,2.0,8520.0,2.0,,,,,,,,,,66.0,4.0,1.0,0.0,4375.0,3574.0,15.0,308.0,28637.0,27836.0,0.5,,,,,,,,,843.0,3.0,,,,,56.0,19.0,,,,,29.0,10.350000000000001,,,0.7,0.21000000000000002,89.0,80.0,94.0,86.0,89.0,90.0,88.0,89.0,89.0,87.0,89.0,84.0,91.0,94.0,91.0,92.0,97.0,97.0,98.0,94.0,91.0,87.0,94.0,98.0,99.0
CUB,1.15,100.0,0.0,100.0,41.0,4847.0,7.0,3.0,65742.0,0.6,99.2,100.0,100.0,0.0,100.0,0.0,0.0,0.0,9.1,221.0,5.0,0.0,86.0,32088.0,31474.0,59.0,1184.0,54080.0,53466.0,0.5,95.3,85.1,89.3,7.2,0.0,0.0,0.0,0.0,646.0,1.0,84.8,91.9,100.0,94.7,45.0,2.0,0.0,0.0,0.0,0.0,54.0,43.85,,,0.5,0.4,98.0,98.0,98.0,99.0,99.0,95.0,89.0,93.0,95.0,96.0,96.0,96.0,96.0,96.0,97.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0
CYP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1353.0,0.2,,,,,,,,,,,,,,,,,,,,,10.0,10.5,0.0,13.0,1.15,1.03,89.0,89.0,88.0,88.0,88.0,88.0,93.0,93.0,93.0,96.0,96.0,96.0,96.0,96.0,96.0,97.0,97.0,97.0,97.0,94.0,94.0,94.0,95.0,95.0,94.0
CZE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,66794.0,0.6,94.8,,,,87.5,,,,,,,,,,,,,,,,71.0,42.15,34.0,570.0,0.8500000000000001,0.455,0.0,0.0,86.0,92.0,98.0,99.0,98.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,97.0,96.0,94.0,96.0,97.0,96.0,94.0,94.0,90.0,86.0
DEU,,,,,,,0.0,,246000.0,0.3,,,,,,,,,,31400.0,,13.0,,,,,,,196671.0,0.2,,,,,,,,,88000.0,,,,,,6000.0,,,,,,276.5,396.8,,,0.44999999999999996,0.575,84.0,86.0,87.0,90.0,88.0,90.0,87.0,86.0,87.0,88.0,88.0,87.0,87.0,87.0,87.0,87.0,88.0,88.0,88.0,88.0,88.0,87.0,85.0,85.0,85.0
DJI,11.32,,,,101.0,4552.0,7.0,725.0,61866.0,5.5,,,,,,,,,,352.0,8.0,1.0,28.0,1284.0,899.0,17.0,157.0,7773.0,7388.0,0.7,,,,,,,,,405.0,5.0,,,,,116.0,32.0,,,,,16.0,26.5,,,2.0,2.795,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,88.0,89.0,88.0,87.0,81.0,82.0,78.0,84.0,68.0,76.0,84.0,85.0,70.0,59.0,59.0,72.0,77.0
DMA,10.8,,0.0,,4.0,76.0,7.0,4.0,1142.0,1.6,,100.0,59.2,,0.0,0.0,,0.0,,4.0,5.0,0.0,3.0,179.0,169.0,38.0,7.0,466.0,456.0,0.6,,,,,,,,,10.0,2.0,,,,,0.0,6.0,,,,,0.0,0.55,,,0.8,0.87,0.0,0.0,0.0,0.0,0.0,0.0,7.0,93.0,96.0,99.0,98.0,98.0,97.0,97.0,97.0,98.0,99.0,91.0,94.0,99.0,97.0,92.0,82.0,56.0,90.0
DNK,,,,,,,0.0,,14548.0,0.2,,,,,,,,,,,,0.0,,,,,,,9975.0,0.2,,,,,,,,,,,,,,,,,,,,,23.5,23.900000000000002,,,0.8,0.7350000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DOM,10.04,,,,750.0,16689.0,9.0,281.0,175955.0,1.6,,,,,,,,,,603.0,4.0,0.0,377.0,7203.0,7203.0,12.0,537.0,62536.0,62536.0,0.6,,,,,,,,,,0.0,,,,,1485.0,0.0,,,,,80.0,69.1,,,0.9,0.68,68.0,66.0,63.0,79.0,82.0,87.0,84.0,81.0,81.0,80.0,83.0,80.0,74.0,80.0,89.0,81.0,80.0,81.0,84.0,87.0,81.0,83.0,87.0,90.0,86.0
DZA,8.4,,,,2020.0,48227.0,8.0,709.0,588849.0,1.3,,,,,,,,,,900.0,2.0,0.0,1802.0,86989.0,71474.0,30.0,5150.0,288704.0,273188.0,0.6,,,,,,,,,16332.0,6.0,,,,,1450.0,19.0,,,,,352.5,500.25,,,1.0,1.175,0.0,0.0,0.0,0.0,81.0,83.0,80.0,90.0,91.0,94.0,95.0,95.0,95.0,95.0,95.0,95.0,91.0,91.0,91.0,88.0,84.0,81.0,77.0,94.0,92.0
ECU,3.32,,,,429.0,8244.0,8.0,251.0,108234.0,0.6,,,5.2,,,0.3,,,,37.0,0.0,0.0,164.0,1587.0,1325.0,5.0,430.0,30845.0,30583.0,0.6,,0.0,,0.4,,,,,276.0,1.0,,0.0,,,126.0,17.0,,,,,112.0,126.55,,,0.85,0.76,36.0,69.0,75.0,82.0,88.0,92.0,96.0,94.0,93.0,91.0,90.0,88.0,88.0,87.0,83.0,78.0,83.0,85.0,85.0,85.0,70.0,68.0,70.0,70.0,70.0
EGY,7.72,,,,1407.0,30424.0,6.0,1778.0,952159.0,1.0,,,100.0,,,0.1,,,,16198.0,46.0,3.0,7288.0,8282690.0,4438967.0,100.0,9708.0,4328245.0,484523.0,0.4,100.0,100.0,100.0,100.0,,0.0,0.0,,4046024.0,93.0,,,,,5000.0,49.0,,,,,945.5,806.9499999999999,,,1.4,0.875,98.0,99.0,97.0,98.0,97.0,98.0,98.0,98.0,97.0,97.0,97.0,96.0,93.0,97.0,94.0,93.0,95.0,94.0,95.0,95.0,94.0,96.0,97.0,96.0,97.0
EMR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10062.0,,,1.6,1.7449999999999999,36.0,38.0,39.0,61.0,61.0,66.0,68.0,72.0,72.0,71.0,72.0,76.0,75.0,78.0,79.0,79.0,81.0,82.0,83.0,84.0,81.0,81.0,84.0,80.0,79.0
ERI,26.09,,,,799.0,12552.0,7.0,775.0,170611.0,4.6,,,,,,,,,,62.0,0.0,0.0,90.0,4215.0,2954.0,16.0,515.0,25633.0,24372.0,0.7,,,,,,,,,1327.0,5.0,,,,,382.0,31.0,,,,,51.0,80.25,,,1.2999999999999998,2.7,0.0,0.0,86.0,91.0,84.0,96.0,94.0,95.0,95.0,95.0,95.0,94.0,94.0,94.0,94.0,95.0,95.0,95.0,95.0,95.0,95.0,95.0,95.0,95.0,95.0
ESP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54676.0,0.1,,,,,,,,,161125.0,,,,,,7045.0,,,,,,134.5,165.05,,535.0,0.4,0.415,77.0,83.0,82.0,81.0,97.0,96.0,97.0,96.0,97.0,96.0,97.0,97.0,96.0,95.0,96.0,97.0,97.0,95.0,96.0,95.0,94.0,93.0,95.0,93.0,94.0
EST,,,,,,3273.0,,,,,,,,,,,,,,,0.0,,,,,,,,12423.0,0.9,,,,,,,,,,,,,,,,,,,,,7.0,11.35,3.0,558.0,0.75,0.995,0.0,0.0,0.0,0.0,90.0,95.0,95.0,95.0,94.0,95.0,94.0,94.0,94.0,93.0,93.0,91.0,93.0,92.0,93.0,91.0,90.0,84.0,83.0,82.0,81.0
ETH,29.77,,,,33867.0,368883.0,5.0,32926.0,7660095.0,6.2,54.9,56.6,63.955,1.4,1.25,0.921,65.8,,78.857,1254.0,0.0,0.0,3465.0,53548.0,45331.0,8.0,13490.0,700145.0,691928.0,0.5,,,40.9,17.691,,,,,8649.0,1.0,,,39.2,74.123,10646.0,16.0,,,,,3014.0,2955.55,,,4.15,3.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47.0,52.0,56.0,61.0,65.0,62.0,59.0,61.0,62.0,64.0,65.0,62.0,61.0,62.0,63.0,63.0,70.0,73.0
EUR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9101.5,,,0.4,1.095,43.0,50.0,63.0,68.0,73.0,75.0,75.0,78.0,77.0,78.0,78.0,79.0,80.0,81.0,81.0,82.0,82.0,84.0,85.0,92.0,91.0,91.0,91.0,91.0,91.0
FIN,,,,,,7873.0,,,,,,,,,,,,,,,0.0,,,,,,,,25650.0,0.5,,,,,,,,,,,,,,,1910.0,,,,,,30.5,27.400000000000002,,,1.1,0.88,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FJI,14.84,,,,133.0,380.0,2.0,37.0,16113.0,1.7,,,,,,,,,,3.0,1.0,0.0,3.0,76.0,76.0,11.0,10.0,700.0,700.0,0.1,,,,,,,,,0.0,0.0,,,,,0.0,0.0,,,,,9.5,12.600000000000001,,,1.25,1.4649999999999999,98.0,98.0,99.0,99.0,99.0,99.0,99.0,99.0,98.0,99.0,98.0,99.0,99.0,99.0,99.0,99.0,95.0,91.0,94.0,97.0,99.0,98.0,98.0,97.0,93.0
FRA,,,,,,,0.0,,135706.0,0.3,,,,,,,,,,,,0.0,,,,,,,142921.0,0.3,,,,,,,,,,,,,,,5997.0,,,,,,6.5,258.75,,3248.0,0.0,0.465,26.0,28.0,29.0,28.0,35.0,35.0,39.0,42.0,47.0,51.0,64.0,74.0,78.0,82.0,83.0,88.0,90.0,91.0,90.0,92.0,95.0,96.0,96.0,96.0,96.0
FSM,40.06,,,,40.0,475.0,,22.0,8328.0,7.3,,,,,,,,,,1.0,0.0,0.0,5.0,114.0,114.0,11.0,30.0,1050.0,1050.0,1.0,,,,,,,,,0.0,0.0,,,,,0.0,0.0,,,,,2.0,2.3,,,2.2,2.1950000000000003,87.0,81.0,85.0,89.0,80.0,91.0,84.0,90.0,89.0,89.0,88.0,83.0,82.0,83.0,81.0,78.0,76.0,80.0,83.0,84.0,88.0,79.0,75.0,85.0,85.0
GAB,40.04,,,0.0,314.0,2300.0,1.0,1435.0,169379.0,5.2,17.7,48.1,86.8,0.9,2.1,0.7,,,,379.0,16.0,0.0,659.0,2405.0,2400.0,2.0,2847.0,103267.0,103262.0,4.3,2.9,3.0,17.5,4.0,0.0,0.0,,,6.0,0.0,100.0,3.4,,,0.0,0.0,0.0,0.0,,,83.5,83.30000000000001,,,6.65,4.65,0.0,0.0,0.0,0.0,0.0,28.0,52.0,75.0,82.0,79.0,67.0,75.0,82.0,79.0,70.0,80.0,75.0,75.0,70.0,70.0,63.0,75.0,60.0,70.0,61.0
GBR,0.59,,,,,90983.0,19.0,,,,,,,,,,,,,,45.0,8.0,397.0,0.0,,0.0,,92900.0,92900.0,0.2,,,,,,,,,,0.0,,,,,,,,,,,77.0,168.8,,,0.2,0.43999999999999995,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,93.0,93.0,93.0,92.0,92.0,92.0
GEO,12.07,77.6,78.0,62.0,265.0,20075.0,26.0,132.0,78000.0,2.4,90.0,87.8,93.5,1.0,1.0,1.0,,,,50.0,0.0,0.0,183.0,178977.0,101504.0,100.0,60.0,126073.0,48600.0,2.3,95.5,98.2,95.6,67.0,96.9,94.6,91.8,56.9,81550.0,65.0,94.0,36.6,100.0,62.5,4432.0,46.0,92.2,34.8,100.0,66.7,42.5,33.7,45.0,320.0,1.2,0.87,55.0,61.0,51.0,48.0,64.0,79.0,84.0,94.0,89.0,54.0,95.0,89.0,92.0,96.0,91.0,94.0,92.0,91.0,93.0,94.0,88.0,85.0,85.0,93.0,90.0
GHA,46.97,,,,13910.0,20007.0,1.0,10325.0,2865177.0,9.0,,,,,,,,92.2,,800.0,4.0,0.0,1659.0,20848.0,19200.0,5.0,10714.0,444445.0,442797.0,1.3,,,,,,,,,1735.0,0.0,,,,,1066.0,8.0,,,,,1255.5,1438.3500000000001,,,6.1,5.550000000000001,0.0,0.0,80.0,80.0,80.0,84.0,84.0,94.0,93.0,94.0,94.0,91.0,92.0,90.0,98.0,89.0,93.0,99.0,97.0,97.0,94.0,98.0,99.0,95.0,95.0
GIN,42.4,,,,5520.0,10508.0,1.0,22313.0,1379599.0,10.0,,,,,,,,,,96.0,1.0,0.0,439.0,9038.0,7710.0,9.0,2290.0,105087.0,103759.0,0.7,,,,,,,,,1398.0,1.0,,,,,155.0,15.0,,,,,896.0,834.45,,,10.25,8.905000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57.0,57.0,57.0,64.0,63.0,59.0,56.0,52.0,48.0,47.0,47.0,51.0,53.0,54.0,56.0,58.0,60.0,63.0
GLOBAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,132781.0,144797.19999999998,,,2.4,2.27,29.0,31.0,37.0,44.0,48.0,54.0,58.0,63.0,69.0,73.0,72.0,74.0,79.0,78.0,81.0,83.0,84.0,84.0,84.0,86.0,83.0,81.0,84.0,84.0,84.0
GMB,18.42,,,,400.0,469.0,1.0,142.0,61609.0,2.3,,,,,,,,,,20.0,4.0,0.0,85.0,2449.0,2389.0,13.0,307.0,18248.0,18188.0,0.7,,,,,,,,,64.0,0.0,,,,,10.0,3.0,,,,,59.5,68.6,,,3.5,3.5,91.0,91.0,92.0,94.0,95.0,95.0,95.0,97.0,98.0,97.0,97.0,96.0,98.0,97.0,96.0,97.0,95.0,92.0,93.0,88.0,85.0,82.0,79.0,84.0,80.0
GNB,50.61,,,,999.0,1977.0,1.0,936.0,259599.0,12.3,,,,,,,,,,93.0,5.0,0.0,67.0,1374.0,1171.0,9.0,348.0,15930.0,15727.0,0.7,,,,,,,,,214.0,1.0,,,,,24.0,16.0,,,,,50.0,89.0,,,3.5999999999999996,5.415,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,80.0,82.0,89.0,87.0,87.0,86.0,86.0,85.0,79.0,82.0,78.0,74.0,67.0,74.0,74.0,68.0
GNQ,24.28,,,,385.0,1872.0,2.0,1569.0,77032.0,4.6,,,,,,,,,,288.0,15.0,0.0,53.0,1140.0,1140.0,13.0,256.0,8552.0,8551.0,0.5,0.0,,,,,,,,0.0,0.0,0.0,,,,0.0,0.0,,,,,45.0,67.1,,,9.0,7.385,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53.0,40.0,53.0,56.0,59.0,62.0,64.0,67.0,70.0,74.0,68.0
GRC,,,,,,65000.0,33.0,,200000.0,1.9,,,,,,,,,,,0.0,0.0,,,20000.0,,,,46261.0,0.4,,,,,,,,,14000.0,,,,,,1123.0,,,,,,63.5,40.9,2.0,36.0,0.75,0.46,89.0,90.0,91.0,92.0,92.0,93.0,94.0,95.0,95.0,95.0,95.0,95.0,98.0,98.0,96.0,96.0,96.0,96.0,96.0,96.0,96.0,96.0,95.0,93.0,92.0
GRD,10.27,,,,7.0,129.0,7.0,6.0,1969.0,1.6,,,,,,,,,,5.0,4.0,0.0,5.0,305.0,278.0,38.0,11.0,796.0,769.0,0.6,,,,,,,,,29.0,4.0,,,,,2.0,9.0,,,,,0.5,0.7,,,0.95,0.6699999999999999,0.0,96.0,98.0,97.0,83.0,99.0,91.0,96.0,99.0,99.0,97.0,94.0,97.0,97.0,97.0,92.0,96.0,96.0,95.0,94.0,72.0,77.0,77.0,86.0,86.0
GTM,5.35,0.0,0.0,,365.0,10550.0,10.0,200.0,103499.0,0.6,60.79,50.5,63.0,0.21,0.2,0.1,0.0,0.0,,1273.0,12.0,1.0,590.0,15001.0,12311.0,15.0,1060.0,99313.0,96623.0,0.5,67.9,82.55,0.5,1.0,0.0,0.0,,0.0,2831.0,3.0,0.0,53.33,50.0,90.0,193.0,19.0,0.0,0.0,,0.0,13.5,21.8,,,0.15000000000000002,0.135,0.0,0.0,0.0,0.0,0.0,87.0,89.0,85.0,95.0,92.0,94.0,88.0,96.0,96.0,74.0,70.0,83.0,91.0,85.0,88.0,90.0,80.0,81.0,88.0,81.0
GUY,11.6,,,,64.0,2567.0,13.0,32.0,20104.0,2.5,,,,,,,,,,46.0,2.0,0.0,32.0,1966.0,1792.0,38.0,73.0,5134.0,4959.0,0.6,,,,,,,,,183.0,4.0,,,,,13.0,9.0,,,,,11.5,8.35,,,1.9,1.2449999999999999,0.0,85.0,91.0,90.0,91.0,93.0,93.0,94.0,93.0,98.0,95.0,93.0,97.0,98.0,98.0,95.0,97.0,97.0,95.0,99.0,99.0,98.0,98.0,98.0,98.0
HND,4.03,,,,77.0,3150.0,12.0,46.0,26150.0,0.3,,,,,,,,,,281.0,9.0,1.0,345.0,8764.0,7198.0,15.0,620.0,58144.0,56578.0,0.5,21.0,49.7,47.2,34.8,0.0,,,,1648.0,3.0,100.0,0.0,0.0,0.0,113.0,19.0,0.0,,,,51.5,26.65,,,0.8,0.28,93.0,95.0,94.0,91.0,93.0,97.0,94.0,93.0,92.0,97.0,97.0,97.0,98.0,99.0,99.0,98.0,95.0,90.0,91.0,88.0,80.0,77.0,78.0,73.0,75.0
