IndicatorCode,HEPATITIS_DEATHS_RATE,HEPATITIS_HBV_ADDEDTEST_ANC_PERCENT,HEPATITIS_HBV_ADDEDTEST_ANC_PERCENT,HEPATITIS_HBV_ADDEDTEST_ANC_PERCENT,HEPATITIS_HBV_DEATHS_NUM,HEPATITIS_HBV_DIAGNOSED_NUM,HEPATITIS_HBV_DIAGNOSIS_PERINFECTED_PER100,HEPATITIS_HBV_INFECTIONS_NEW_NUM,HEPATITIS_HBV_LIVINGWITH_NUM,HEPATITIS_HBV_PREVALENCE_PER100,HEPATITIS_HBV_TESTING_ANC_PERCENT,HEPATITIS_HBV_TESTING_ANC_PERCENT,HEPATITIS_HBV_TESTING_ANC_PERCENT,HEPATITIS_HBV_TESTPOSITIVE_ANC_PERCENT,HEPATITIS_HBV_TESTPOSITIVE_ANC_PERCENT,HEPATITIS_HBV_TESTPOSITIVE_ANC_PERCENT,HEPATITIS_HBV_TREATMENT_ANC_PERCENT,HEPATITIS_HBV_TREATMENT_ANC_PERCENT,HEPATITIS_HBV_TREATMENT_ANC_PERCENT,HEPATITIS_HBV_TREATMENT_NUM,HEPATITIS_HBV_TREATMENT_PERDIAGNOSED_PER100,HEPATITIS_HBV_TREATMENT_PERINFECTED_PER100,HEPATITIS_HCV_DEATHS_NUM,HEPATITIS_HCV_DIAGNOSED_CRD_NUM,HEPATITIS_HCV_DIAGNOSED_NUM,HEPATITIS_HCV_DIAGNOSIS_PERINFECTED_CRD_PER100,HEPATITIS_HCV_INFECTIONS_NEW_NUM,HEPATITIS_HCV_LIVINGWITH_CRD_NUM,HEPATITIS_HCV_LIVINGWITH_NUM,HEPATITIS_HCV_PREVALENCE_PER100,HEPATITIS_HCV_TESTING_HIV_PERCENT,HEPATITIS_HCV_TESTING_HIV_PERCENT,HEPATITIS_HCV_TESTING_HIV_PERCENT,HEPATITIS_HCV_TESTING_HIV_PERCENT,HEPATITIS_HCV_TESTING_PWID_PERCENT,HEPATITIS_HCV_TESTING_PWID_PERCENT,HEPATITIS_HCV_TESTING_PWID_PERCENT,HEPATITIS_HCV_TESTING_PWID_PERCENT,HEPATITIS_HCV_TREATMENT_CUM_NUM,HEPATITIS_HCV_TREATMENT_CUM_PERINFECTED_CRD_PER100,HEPATITIS_HCV_TREATMENT_HIV_PERCENT,HEPATITIS_HCV_TREATMENT_HIV_PERCENT,HEPATITIS_HCV_TREATMENT_HIV_PERCENT,HEPATITIS_HCV_TREATMENT_HIV_PERCENT,HEPATITIS_HCV_TREATMENT_INITIATED_NUM,HEPATITIS_HCV_TREATMENT_PERDIAGNOSED_PER100,HEPATITIS_HCV_TREATMENT_PWID_PERCENT,HEPATITIS_HCV_TREATMENT_PWID_PERCENT,HEPATITIS_HCV_TREATMENT_PWID_PERCENT,HEPATITIS_HCV_TREATMENT_PWID_PERCENT,HEPB_HBSAG_CARRIER,HEPB_HBSAG_CARRIER,PRISON_D4_HEPB_DIAG_TOT,PRISON_D4_HEPC_DIAG_TOT,SDGHEPHBSAGPRV,SDGHEPHBSAGPRV,WHS4_117,WHS4_117,WHS4_117,WHS4_117,WHS4_117,WHS4_117,WHS4_117,WHS4_117,WHS4_117,WHS4_117,WHS4_117,WHS4_117,WHS4_117,WHS4_117,WHS4_117,WHS4_117,WHS4_117,WHS4_117,WHS4_117,WHS4_117,WHS4_117,WHS4_117,WHS4_117,WHS4_117,WHS4_117
YEAR,2022,2021,2022,2023,2022,2022,2022,2022,2022,2022,2021,2022,2023,2021,2022,2023,2021,2022,2023,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2020,2021,2022,2023,2020,2021,2022,2023,2022,2022,2020,2021,2022,2023,2022,2022,2020,2021,2022,2023,2015,2020,2020,2020,2015,2020,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
ARM,16.97,,,,185.0,3644.0,15.0,19.0,23704.0,0.8,,,,,,,,,,100.0,3.0,0.0,319.0,16586.0,6612.0,54.0,48.0,30719.0,20745.0,0.7,37.1,6.0,3.8,2.9,,23.3,33.3,13.6,10499.0,34.0,82.4,76.9,60.0,57.4,934.0,63.0,66.7,80.0,50.0,52.9,32.5,26.650000000000002,15.0,308.0,1.2,0.93,55.0,69.0,91.0,93.0,91.0,91.0,78.0,85.0,89.0,93.0,94.0,95.0,95.0,95.0,93.0,94.0,94.0,94.0,92.0,92.0,92.0,93.0,96.0,94.0,94.0
ATG,9.67,0.0,,,5.0,97.0,7.0,5.0,1472.0,1.6,100.0,100.0,,0.7,1.1,,0.0,1.1,,4.0,4.0,0.0,4.0,228.0,208.0,38.0,8.0,595.0,575.0,0.6,,,,,,,,,21.0,4.0,,,,,1.0,9.0,,,,,0.5,0.55,,,0.8,0.64,0.0,96.0,99.0,99.0,97.0,99.0,99.0,97.0,98.0,98.0,98.0,99.0,98.0,99.0,99.0,99.0,92.0,95.0,95.0,99.0,95.0,92.0,99.0,98.0,99.0
AUS,5.63,,,,960.0,169688.0,78.0,222.0,217931.0,0.7,,,,,,,,,,23787.0,14.0,11.0,505.0,211587.0,105104.0,100.0,1091.0,204418.0,97936.0,0.4,,,,,,,,,112087.0,55.0,,,,,8100.0,53.0,,,,,56.0,91.25,,,0.35,0.42,0.0,94.0,95.0,95.0,95.0,95.0,95.0,94.0,94.0,94.0,92.0,92.0,92.0,91.0,91.0,93.0,94.0,95.0,95.0,95.0,95.0,95.0,94.0,94.0,95.0
AUT,,,,,,,,,,,,,,,,,,,,,,,,,,,,42392.0,30720.0,0.3,,,,,,,,,12286.0,29.0,,,,,877.0,,,,,,44.0,41.0,245.0,824.0,0.65,0.53,33.0,44.0,81.0,83.0,83.0,86.0,83.0,85.0,83.0,83.0,86.0,89.0,92.0,95.0,98.0,93.0,87.0,90.0,85.0,88.0,85.0,86.0,84.0,87.0,85.0
AZE,9.62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.0,100.0,100.0,100.0,100.0,,100.0,100.0,,,,,,,,,,,,,109.0,103.7,,,1.25,1.05,0.0,0.0,50.0,51.0,50.0,49.0,52.0,62.0,68.0,74.0,80.0,79.0,75.0,74.0,74.0,76.0,77.0,74.0,73.0,72.0,56.0,49.0,51.0,51.0,51.0
BDI,23.03,,,,1532.0,12362.0,4.0,2100.0,302315.0,2.3,,,,,,,,,,590.0,5.0,0.0,1536.0,31585.0,26477.0,7.0,7043.0,430103.0,424996.0,3.3,,,,,,,,,5376.0,1.0,,,,,189.0,17.0,,,,,382.0,344.04999999999995,,,4.5,3.45,0.0,0.0,0.0,0.0,83.0,87.0,92.0,99.0,92.0,94.0,96.0,96.0,96.0,96.0,95.0,94.0,94.0,91.0,90.0,93.0,93.0,94.0,91.0,89.0,89.0
BEL,,,,,,,,,,,,,,,,,,,,2000.0,,,,,,,,,16178.0,0.1,,,,,,,,,,,,,,,1000.0,,,,,,33.5,31.45,,,0.4,0.315,60.0,60.0,60.0,64.0,64.0,77.0,94.0,94.0,98.0,97.0,97.0,97.0,98.0,98.0,98.0,98.0,97.0,97.0,97.0,97.0,97.0,97.0,97.0,97.0,97.0
BEN,13.54,,,,1241.0,4568.0,0.0,10139.0,1352927.0,11.2,,99.1,3.5,,0.2,1.4,,,100.0,307.0,7.0,0.0,622.0,23946.0,23674.0,20.0,4284.0,120355.0,120082.0,0.9,,,,,,,,,287.0,0.0,,,,,36.0,1.0,,,,,643.0,588.45,,,8.3,6.0649999999999995,0.0,0.0,15.0,73.0,75.0,70.0,74.0,82.0,75.0,79.0,76.0,75.0,80.0,77.0,74.0,74.0,78.0,76.0,74.0,72.0,70.0,70.0,69.0,69.0,63.0
BFA,26.05,,,,5258.0,4884.0,0.0,7307.0,1089924.0,4.8,,,,,,,,,,637.0,13.0,0.0,605.0,40685.0,36813.0,14.0,6194.0,293151.0,289279.0,1.2,,,,,,,,,4076.0,1.0,,100.0,,,428.0,10.0,,,,,977.5,718.4,,,7.199999999999999,4.13,0.0,0.0,0.0,0.0,0.0,0.0,76.0,89.0,93.0,92.0,91.0,91.0,90.0,88.0,91.0,91.0,91.0,91.0,91.0,91.0,91.0,91.0,91.0,91.0,91.0
BGD,18.37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3326.5,2410.6499999999996,,,2.7,1.6949999999999998,0.0,0.0,0.0,5.0,11.0,45.0,86.0,95.0,96.0,97.0,94.0,96.0,94.0,96.0,97.0,98.0,98.0,98.0,98.0,98.0,98.0,97.0,97.0,97.0,97.0
BGR,,,,,,,,,,,,,,,,,,,,2792.0,,,,,,,,,62610.0,0.9,,,,,,,,,,,,,,,641.0,,,,,,86.5,73.75,,,1.3499999999999999,1.105,94.0,93.0,88.0,96.0,94.0,96.0,96.0,95.0,96.0,96.0,95.0,96.0,95.0,95.0,95.0,92.0,91.0,92.0,85.0,93.0,91.0,89.0,91.0,92.0,94.0
BHR,5.87,,,,29.0,494.0,4.0,8.0,13246.0,0.9,,,81.2,,,0.2,,,,267.0,54.0,2.0,61.0,2731.0,2074.0,16.0,172.0,16606.0,15949.0,1.1,,,,,,,,,692.0,4.0,,,,0.0,45.0,25.0,,,,,4.0,4.4,,,0.4,0.27,97.0,99.0,98.0,98.0,98.0,98.0,98.0,97.0,97.0,98.0,99.0,99.0,99.0,99.0,98.0,98.0,99.0,98.0,99.0,99.0,98.0,98.0,97.0,99.0,96.0
