IndicatorCode,FINANCIALHARDSHIP_MILLIONOFPOP,FINANCIALHARDSHIP_MILLIONOFPOP,FINANCIALHARDSHIP_MILLIONOFPOP,FINANCIALHARDSHIP_MILLIONOFPOP,FINANCIALHARDSHIP_MILLIONOFPOP,FINANCIALHARDSHIP_MILLIONOFPOP,FINANCIALHARDSHIP_MILLIONOFPOP,FINANCIALHARDSHIP_MILLIONOFPOP,FINANCIALHARDSHIP_MILLIONOFPOP,FINANCIALHARDSHIP_MILLIONOFPOP,FINANCIALHARDSHIP_MILLIONOFPOP,FINANCIALHARDSHIP_MILLIONOFPOP,FINANCIALHARDSHIP_MILLIONOFPOP,FINANCIALHARDSHIP_MILLIONOFPOP,FINANCIALHARDSHIP_MILLIONOFPOP,FINANCIALHARDSHIP_MILLIONOFPOP,FINANCIALHARDSHIP_MILLIONOFPOP,FINANCIALHARDSHIP_MILLIONOFPOP,FINANCIALHARDSHIP_MILLIONOFPOP,FINANCIALHARDSHIP_MILLIONOFPOP,FINANCIALHARDSHIP_MILLIONOFPOP,FINANCIALHARDSHIP_MILLIONOFPOP,FINANCIALHARDSHIP_MILLIONOFPOP,FINANCIALHARDSHIP_PROPORTIONOFPOP,FINANCIALHARDSHIP_PROPORTIONOFPOP,FINANCIALHARDSHIP_PROPORTIONOFPOP,FINANCIALHARDSHIP_PROPORTIONOFPOP,FINANCIALHARDSHIP_PROPORTIONOFPOP,FINANCIALHARDSHIP_PROPORTIONOFPOP,FINANCIALHARDSHIP_PROPORTIONOFPOP,FINANCIALHARDSHIP_PROPORTIONOFPOP,FINANCIALHARDSHIP_PROPORTIONOFPOP,FINANCIALHARDSHIP_PROPORTIONOFPOP,FINANCIALHARDSHIP_PROPORTIONOFPOP,FINANCIALHARDSHIP_PROPORTIONOFPOP,FINANCIALHARDSHIP_PROPORTIONOFPOP,FINANCIALHARDSHIP_PROPORTIONOFPOP,FINANCIALHARDSHIP_PROPORTIONOFPOP,FINANCIALHARDSHIP_PROPORTIONOFPOP,FINANCIALHARDSHIP_PROPORTIONOFPOP,FINANCIALHARDSHIP_PROPORTIONOFPOP,FINANCIALHARDSHIP_PROPORTIONOFPOP,FINANCIALHARDSHIP_PROPORTIONOFPOP,FINANCIALHARDSHIP_PROPORTIONOFPOP,FINANCIALHARDSHIP_PROPORTIONOFPOP,FINANCIALHARDSHIP_PROPORTIONOFPOP,FINANCIALHARDSHIP_PROPORTIONOFPOP,FINANCIALHARDSHIP_PROPORTIONOFPOP,FINANCIALHARDSHIP_PROPORTIONOFPOP,FINANCIALHARDSHIP_PROPORTIONOFPOP,FINANCIALHARDSHIP_PROPORTIONOFPOP,FINANCIALHARDSHIP_PROPORTIONOFPOP,FINANCIALHARDSHIP_PROPORTIONOFPOP,FINANCIALHARDSHIP_PROPORTIONOFPOP,FINANCIALHARDSHIP_PROPORTIONOFPOP,FINANCIALHARDSHIP_PROPORTIONOFPOP,FINANCIALHARDSHIP_PROPORTIONOFPOP,FINANCIALHARDSHIP_PROPORTIONOFPOP,FINANCIALHARDSHIP_PROPORTIONOFPOP,FINANCIALHARDSHIP_PROPORTIONOFPOP,FINANCIALHARDSHIP_PROPORTIONOFPOP,FINANCIALHARDSHIP_PROPORTIONOFPOP,UHC_AVAILABILITY_SCORE,UHC_INDEX_REPORTED,UHC_INDEX_REPORTED,UHC_INDEX_REPORTED,UHC_INDEX_REPORTED,UHC_INDEX_REPORTED,UHC_INDEX_REPORTED,UHC_INDEX_REPORTED,UHC_INDEX_REPORTED,UHC_INDEX_REPORTED,UHC_INDEX_REPORTED,UHC_INDEX_REPORTED,UHC_INDEX_REPORTED,UHC_INDEX_REPORTED,UHC_INDEX_REPORTED,UHC_INDEX_REPORTED,UHC_INDEX_REPORTED,UHC_INDEX_REPORTED,UHC_INDEX_REPORTED,UHC_INDEX_REPORTED,UHC_INDEX_REPORTED,UHC_INDEX_REPORTED,UHC_INDEX_REPORTED,UHC_INDEX_REPORTED,UHC_INDEX_REPORTED,UHC_SCI_CAPACITY,UHC_SCI_CAPACITY,UHC_SCI_CAPACITY,UHC_SCI_CAPACITY,UHC_SCI_CAPACITY,UHC_SCI_CAPACITY,UHC_SCI_CAPACITY,UHC_SCI_CAPACITY,UHC_SCI_CAPACITY,UHC_SCI_CAPACITY,UHC_SCI_CAPACITY,UHC_SCI_CAPACITY,UHC_SCI_CAPACITY,UHC_SCI_CAPACITY,UHC_SCI_CAPACITY,UHC_SCI_CAPACITY,UHC_SCI_CAPACITY,UHC_SCI_CAPACITY,UHC_SCI_CAPACITY,UHC_SCI_CAPACITY,UHC_SCI_CAPACITY,UHC_SCI_CAPACITY,UHC_SCI_CAPACITY,UHC_SCI_CAPACITY,UHC_SCI_INFECT,UHC_SCI_INFECT,UHC_SCI_INFECT,UHC_SCI_INFECT,UHC_SCI_INFECT,UHC_SCI_INFECT,UHC_SCI_INFECT,UHC_SCI_INFECT,UHC_SCI_INFECT,UHC_SCI_INFECT,UHC_SCI_INFECT,UHC_SCI_INFECT,UHC_SCI_INFECT,UHC_SCI_INFECT,UHC_SCI_INFECT,UHC_SCI_INFECT,UHC_SCI_INFECT,UHC_SCI_INFECT,UHC_SCI_INFECT,UHC_SCI_INFECT,UHC_SCI_INFECT,UHC_SCI_INFECT,UHC_SCI_INFECT,UHC_SCI_INFECT,UHC_SCI_NCD,UHC_SCI_NCD,UHC_SCI_NCD,UHC_SCI_NCD,UHC_SCI_NCD,UHC_SCI_NCD,UHC_SCI_NCD,UHC_SCI_NCD,UHC_SCI_NCD,UHC_SCI_NCD,UHC_SCI_NCD,UHC_SCI_NCD,UHC_SCI_NCD,UHC_SCI_NCD,UHC_SCI_NCD,UHC_SCI_NCD,UHC_SCI_NCD,UHC_SCI_NCD,UHC_SCI_NCD,UHC_SCI_NCD,UHC_SCI_NCD,UHC_SCI_NCD,UHC_SCI_NCD,UHC_SCI_NCD,UHC_SCI_RMNCH,UHC_SCI_RMNCH,UHC_SCI_RMNCH,UHC_SCI_RMNCH,UHC_SCI_RMNCH,UHC_SCI_RMNCH,UHC_SCI_RMNCH,UHC_SCI_RMNCH,UHC_SCI_RMNCH,UHC_SCI_RMNCH,UHC_SCI_RMNCH,UHC_SCI_RMNCH,UHC_SCI_RMNCH,UHC_SCI_RMNCH,UHC_SCI_RMNCH,UHC_SCI_RMNCH,UHC_SCI_RMNCH,UHC_SCI_RMNCH,UHC_SCI_RMNCH,UHC_SCI_RMNCH,UHC_SCI_RMNCH,UHC_SCI_RMNCH,UHC_SCI_RMNCH,UHC_SCI_RMNCH
ERI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43.0,24.0,25.0,27.0,29.0,31.0,32.0,33.0,35.0,36.0,37.0,37.0,39.0,39.0,39.0,39.0,38.0,38.0,41.0,40.0,41.0,41.0,39.0,40.0,40.0,40.0,40.0,40.0,40.0,41.0,40.0,40.0,41.0,41.0,41.0,41.0,42.0,44.0,46.0,48.0,48.0,45.0,44.0,40.0,43.0,45.0,39.0,45.0,45.0,4.0,5.0,6.0,8.0,10.0,11.0,12.0,14.0,16.0,17.0,17.0,19.0,19.0,17.0,16.0,15.0,15.0,21.0,22.0,20.0,20.0,19.0,18.0,17.0,52.0,53.0,54.0,56.0,57.0,58.0,59.0,60.0,61.0,62.0,63.0,64.0,65.0,66.0,67.0,67.0,68.0,69.0,69.0,70.0,71.0,71.0,71.0,72.0,40.0,41.0,41.0,42.0,42.0,43.0,43.0,43.0,43.0,44.0,44.0,44.0,44.0,44.0,44.0,45.0,45.0,45.0,45.0,45.0,46.0,46.0,46.0,46.0
ESP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.600631654333333,,,,,,,,,,9.109755423333333,8.798898670222222,9.165989703555555,9.395400722888889,9.586290995333334,9.302790840444445,9.448577734999999,9.445112460111112,9.609335714,10.054624292666666,10.043750869,10.149477932222222,10.186283336666667,11.22539150711111,11.272692031222222,12.469428598944445,12.485397451444445,12.02271258161111,,62.0,74.0,75.0,75.0,75.0,76.0,76.0,76.0,77.0,77.0,77.0,78.0,81.0,83.0,79.0,84.0,83.0,84.0,84.0,83.0,84.0,84.0,84.0,84.0,84.0,75.0,75.0,75.0,75.0,75.0,75.0,75.0,75.0,75.0,75.0,75.0,87.0,95.0,80.0,98.0,97.0,98.0,98.0,94.0,95.0,96.0,93.0,94.0,93.0,99.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,48.0,49.0,49.0,50.0,51.0,51.0,52.0,53.0,53.0,54.0,54.0,55.0,55.0,56.0,56.0,57.0,57.0,58.0,58.0,58.0,59.0,59.0,59.0,59.0,85.0,85.0,86.0,86.0,86.0,87.0,87.0,88.0,88.0,89.0,89.0,89.0,89.0,89.0,89.0,89.0,89.0,89.0,89.0,89.0,89.0,90.0,90.0,90.0
EST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.606072396799998,,,,,9.67064435918182,,,11.151388265818182,11.039234334636363,11.040609273,,,,,,7.924238963333333,,,,,,,,,,,,,,69.0,66.0,67.0,68.0,69.0,70.0,71.0,71.0,72.0,73.0,73.0,74.0,74.0,75.0,76.0,77.0,77.0,77.0,77.0,78.0,78.0,79.0,79.0,79.0,79.0,87.0,87.0,87.0,87.0,87.0,87.0,87.0,87.0,87.0,87.0,87.0,87.0,86.0,92.0,92.0,90.0,89.0,89.0,90.0,90.0,90.0,90.0,91.0,90.0,100.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,31.0,32.0,34.0,35.0,37.0,38.0,39.0,41.0,42.0,43.0,44.0,45.0,46.0,47.0,48.0,49.0,50.0,50.0,51.0,52.0,53.0,53.0,54.0,55.0,72.0,73.0,74.0,75.0,76.0,76.0,77.0,77.0,78.0,78.0,79.0,79.0,79.0,80.0,80.0,80.0,81.0,81.0,82.0,82.0,82.0,82.0,82.0,82.0
ETH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.09755810495,,,,,22.477747559599997,,,,,,,28.730968470090907,,,,20.705008164149998,,,18.7068449705,,,20.643845981684212,,,,57.0,13.0,14.0,14.0,14.0,14.0,14.0,17.0,19.0,19.0,19.0,22.0,24.0,24.0,26.0,28.0,30.0,30.0,29.0,29.0,30.0,30.0,29.0,31.0,33.0,12.0,12.0,12.0,12.0,12.0,13.0,12.0,12.0,12.0,13.0,14.0,19.0,21.0,23.0,24.0,25.0,27.0,28.0,24.0,25.0,26.0,26.0,31.0,31.0,2.0,2.0,3.0,2.0,2.0,2.0,4.0,6.0,6.0,5.0,8.0,7.0,6.0,8.0,9.0,11.0,10.0,8.0,9.0,11.0,10.0,9.0,10.0,12.0,66.0,66.0,67.0,67.0,67.0,68.0,68.0,68.0,69.0,69.0,69.0,70.0,70.0,71.0,71.0,72.0,72.0,73.0,73.0,73.0,73.0,73.0,73.0,73.0,17.0,17.0,18.0,19.0,21.0,22.0,24.0,26.0,28.0,31.0,33.0,35.0,37.0,38.0,39.0,41.0,42.0,43.0,43.0,43.0,43.0,42.0,42.0,43.0
EUR,75.47848954359999,72.4291932138,72.2507502032,71.4646419926,71.617556644,69.058317818,66.84031250759999,65.5175095054,64.479740483,65.51147371260001,61.7023857358,63.50045871120001,63.40226366859999,64.46267487060001,63.82035546659999,64.0450283988,66.8652349014,64.7112877298,64.48190510319999,65.35435057039999,63.3612809664,64.36351176439999,66.92181369,,,,,,,,,,,,,,,8.668598806999999,8.303157760400001,8.2595451244,8.143138307600001,8.1373885234,7.824804113000001,7.5537790294,7.3798684028,7.234090623599999,7.3214597886,6.870107982,7.043895935399999,7.0065186806,7.095382807599999,6.9916571592,6.976881226000001,7.244670025,6.9778840008000005,6.923080156599999,6.9903694854000005,6.759815451,6.8571469936,7.126105187199999,,,62.0,72.0,73.0,74.0,74.0,75.0,75.0,76.0,76.0,77.0,77.0,78.0,79.0,79.0,79.0,80.0,80.0,81.0,81.0,81.0,81.0,81.0,82.0,82.0,82.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,92.0,94.0,93.0,94.0,94.0,95.0,94.0,93.0,93.0,94.0,93.0,94.0,93.0,92.0,92.0,93.0,93.0,93.0,93.0,93.0,93.0,94.0,94.0,94.0,95.0,95.0,95.0,95.0,96.0,96.0,96.0,96.0,96.0,97.0,97.0,97.0,97.0,45.0,46.0,47.0,48.0,49.0,50.0,51.0,52.0,53.0,53.0,54.0,55.0,56.0,56.0,57.0,57.0,58.0,58.0,59.0,59.0,60.0,60.0,61.0,61.0,73.0,74.0,74.0,75.0,76.0,76.0,77.0,77.0,78.0,78.0,79.0,79.0,79.0,80.0,80.0,80.0,80.0,81.0,81.0,81.0,81.0,81.0,82.0,82.0
FIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.928664856555555,,,,,,,,9.514481767133333,,,,,,10.435179265266667,,,,9.438667092733334,,,,,,,,,69.0,77.0,78.0,78.0,79.0,79.0,80.0,80.0,81.0,81.0,82.0,82.0,83.0,84.0,84.0,85.0,86.0,86.0,86.0,86.0,86.0,86.0,86.0,86.0,86.0,94.0,94.0,94.0,94.0,94.0,94.0,94.0,94.0,94.0,94.0,94.0,95.0,99.0,96.0,97.0,99.0,98.0,98.0,98.0,98.0,94.0,95.0,94.0,94.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,43.0,44.0,45.0,47.0,48.0,49.0,50.0,52.0,53.0,54.0,55.0,56.0,57.0,58.0,59.0,59.0,60.0,61.0,61.0,62.0,63.0,63.0,64.0,65.0,89.0,89.0,89.0,89.0,89.0,89.0,89.0,89.0,89.0,90.0,90.0,91.0,91.0,91.0,92.0,92.0,92.0,92.0,92.0,92.0,92.0,92.0,92.0,92.0
FJI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,62.0,60.0,60.0,60.0,61.0,61.0,61.0,61.0,61.0,61.0,62.0,63.0,64.0,66.0,71.0,71.0,71.0,70.0,70.0,69.0,70.0,69.0,69.0,68.0,69.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,51.0,53.0,57.0,62.0,82.0,84.0,82.0,80.0,78.0,75.0,78.0,76.0,75.0,72.0,75.0,88.0,88.0,88.0,88.0,89.0,89.0,90.0,90.0,91.0,91.0,91.0,91.0,92.0,92.0,92.0,93.0,93.0,93.0,93.0,93.0,93.0,93.0,93.0,92.0,46.0,46.0,46.0,47.0,47.0,47.0,48.0,48.0,48.0,48.0,48.0,49.0,49.0,49.0,49.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,51.0,66.0,66.0,66.0,66.0,66.0,66.0,66.0,66.0,66.0,66.0,67.0,67.0,67.0,67.0,67.0,67.0,66.0,65.0,65.0,65.0,64.0,64.0,64.0,64.0
FRA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,62.0,78.0,78.0,78.0,79.0,79.0,79.0,79.0,79.0,79.0,79.0,79.0,81.0,81.0,82.0,82.0,82.0,82.0,82.0,81.0,81.0,82.0,82.0,82.0,82.0,86.0,86.0,86.0,86.0,86.0,86.0,86.0,86.0,86.0,86.0,86.0,92.0,93.0,95.0,95.0,96.0,96.0,96.0,94.0,94.0,94.0,95.0,95.0,95.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,48.0,48.0,49.0,49.0,50.0,50.0,50.0,50.0,51.0,51.0,51.0,51.0,51.0,52.0,52.0,52.0,52.0,52.0,52.0,52.0,52.0,52.0,52.0,52.0,91.0,91.0,91.0,91.0,92.0,92.0,92.0,92.0,92.0,92.0,92.0,92.0,92.0,92.0,92.0,92.0,92.0,92.0,92.0,92.0,92.0,92.0,92.0,92.0
FSM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.375750115,,,,,,,,,,,,31.0,42.0,44.0,46.0,48.0,49.0,50.0,51.0,53.0,54.0,55.0,56.0,57.0,62.0,59.0,63.0,64.0,66.0,67.0,65.0,62.0,65.0,64.0,65.0,65.0,52.0,52.0,52.0,52.0,52.0,52.0,52.0,52.0,52.0,52.0,53.0,55.0,70.0,54.0,66.0,67.0,74.0,74.0,65.0,54.0,64.0,61.0,66.0,66.0,25.0,29.0,33.0,37.0,41.0,45.0,49.0,54.0,58.0,62.0,66.0,70.0,74.0,78.0,82.0,86.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,39.0,39.0,40.0,41.0,41.0,42.0,42.0,43.0,43.0,43.0,43.0,43.0,43.0,43.0,43.0,43.0,44.0,44.0,44.0,44.0,44.0,44.0,44.0,44.0,65.0,64.0,65.0,66.0,65.0,66.0,64.0,65.0,65.0,65.0,65.0,65.0,66.0,66.0,66.0,66.0,66.0,67.0,68.0,68.0,69.0,68.0,68.0,69.0
GAB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.573089701631579,,,,,,,,,,,,18.998429602549997,,,,,,,,79.0,38.0,37.0,37.0,38.0,39.0,45.0,51.0,55.0,54.0,52.0,52.0,53.0,54.0,54.0,53.0,52.0,52.0,53.0,51.0,49.0,50.0,48.0,48.0,48.0,74.0,74.0,74.0,74.0,74.0,73.0,72.0,71.0,70.0,69.0,68.0,67.0,66.0,65.0,64.0,63.0,62.0,67.0,61.0,51.0,60.0,55.0,59.0,61.0,12.0,11.0,11.0,11.0,12.0,20.0,33.0,42.0,38.0,31.0,32.0,34.0,35.0,35.0,34.0,32.0,33.0,33.0,31.0,31.0,30.0,28.0,25.0,24.0,57.0,58.0,58.0,59.0,59.0,60.0,60.0,61.0,61.0,61.0,62.0,62.0,62.0,63.0,63.0,63.0,63.0,63.0,63.0,64.0,63.0,63.0,63.0,63.0,40.0,41.0,43.0,44.0,45.0,47.0,48.0,52.0,53.0,54.0,55.0,57.0,58.0,58.0,57.0,58.0,57.0,57.0,56.0,56.0,56.0,57.0,56.0,57.0
GBR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.368402706222223,,,,0.6336355697777778,5.870680477888889,,,,,5.682914946,,,5.999563542272727,6.186889022636364,6.346689050909091,5.749068709909091,5.8283811183636365,6.124747121818182,6.298919423090909,6.482258638181818,7.350704583272727,6.652357610909092,7.0861300094545445,8.000075605727273,6.326455661846154,6.697185099153846,,,,54.0,77.0,78.0,79.0,80.0,80.0,81.0,82.0,82.0,83.0,84.0,84.0,84.0,85.0,85.0,86.0,86.0,86.0,87.0,87.0,87.0,88.0,88.0,88.0,88.0,96.0,96.0,96.0,96.0,96.0,96.0,96.0,96.0,96.0,96.0,96.0,96.0,96.0,96.0,96.0,96.0,96.0,96.0,98.0,98.0,98.0,98.0,98.0,98.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,43.0,45.0,47.0,49.0,51.0,53.0,55.0,56.0,58.0,59.0,60.0,62.0,63.0,64.0,65.0,66.0,67.0,67.0,68.0,69.0,69.0,70.0,71.0,71.0,86.0,87.0,87.0,87.0,87.0,87.0,87.0,87.0,87.0,87.0,87.0,87.0,87.0,87.0,87.0,88.0,88.0,88.0,88.0,88.0,88.0,88.0,88.0,88.0
GEO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.211039125875,22.5327501595625,23.9450473189375,26.305000407285714,26.974659949625,19.541182488187502,18.4907393156875,17.754808306625,20.1921909451875,23.239040434375,25.0054649711875,25.68365218409091,28.009620146363638,29.28270756109091,29.801404774125,29.697475719350003,29.255146718,30.05358641145,31.8578800916,32.8153015376,31.95778667935,30.675670194600002,30.227970957700002,29.463721776099998,28.979705977499997,29.5287863493,27.901643228450002,25.929456734600002,69.0,63.0,64.0,64.0,64.0,65.0,66.0,66.0,67.0,68.0,68.0,69.0,69.0,69.0,70.0,70.0,70.0,70.0,70.0,69.0,69.0,69.0,70.0,71.0,71.0,98.0,98.0,98.0,98.0,98.0,98.0,98.0,98.0,98.0,98.0,98.0,97.0,96.0,97.0,97.0,93.0,94.0,90.0,87.0,83.0,84.0,86.0,89.0,90.0,76.0,76.0,77.0,77.0,78.0,78.0,79.0,80.0,80.0,81.0,82.0,82.0,83.0,84.0,84.0,85.0,86.0,86.0,87.0,87.0,88.0,89.0,89.0,90.0,44.0,45.0,45.0,45.0,46.0,46.0,47.0,47.0,47.0,48.0,48.0,48.0,49.0,49.0,49.0,49.0,49.0,49.0,49.0,50.0,50.0,50.0,50.0,50.0,49.0,49.0,50.0,50.0,51.0,52.0,53.0,55.0,56.0,57.0,59.0,60.0,60.0,61.0,61.0,62.0,62.0,62.0,62.0,62.0,62.0,62.0,62.0,63.0
GHA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47.00445955995,,,,,,,57.54779096234999,,,,,,,37.62604092472727,,,,,,,21.53548676225,,,,18.47998395315,,,,,,,,,79.0,28.0,26.0,24.0,24.0,26.0,27.0,31.0,36.0,37.0,37.0,37.0,39.0,44.0,46.0,46.0,49.0,50.0,50.0,53.0,51.0,51.0,54.0,57.0,56.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,33.0,34.0,36.0,35.0,31.0,36.0,40.0,42.0,46.0,47.0,48.0,52.0,44.0,49.0,47.0,54.0,54.0,6.0,5.0,3.0,3.0,4.0,6.0,10.0,15.0,16.0,15.0,16.0,22.0,28.0,28.0,27.0,29.0,30.0,29.0,35.0,34.0,30.0,40.0,43.0,41.0,67.0,68.0,69.0,69.0,70.0,70.0,71.0,71.0,72.0,73.0,73.0,74.0,74.0,75.0,75.0,76.0,76.0,77.0,77.0,77.0,77.0,77.0,77.0,77.0,43.0,43.0,44.0,45.0,43.0,42.0,40.0,45.0,49.0,48.0,47.0,46.0,49.0,51.0,55.0,56.0,56.0,57.0,57.0,57.0,58.0,58.0,58.0,59.0
GIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32.05604939715789,,,,,38.50346855983334,,,,,25.42912301761111,,,,,,32.34099165495,,,,,,,57.0,19.0,19.0,19.0,18.0,17.0,18.0,21.0,23.0,24.0,25.0,26.0,26.0,30.0,36.0,37.0,34.0,32.0,37.0,38.0,43.0,43.0,41.0,43.0,43.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,17.0,20.0,22.0,19.0,15.0,20.0,23.0,21.0,21.0,21.0,21.0,21.0,6.0,6.0,6.0,5.0,3.0,3.0,6.0,9.0,10.0,12.0,14.0,15.0,20.0,36.0,38.0,33.0,34.0,31.0,26.0,43.0,43.0,34.0,43.0,42.0,51.0,52.0,53.0,54.0,56.0,57.0,57.0,58.0,59.0,60.0,61.0,62.0,63.0,64.0,64.0,65.0,66.0,67.0,67.0,68.0,68.0,68.0,68.0,68.0,32.0,32.0,33.0,34.0,37.0,39.0,39.0,40.0,39.0,39.0,39.0,39.0,38.0,37.0,35.0,35.0,33.0,44.0,55.0,56.0,56.0,57.0,57.0,57.0
GLOBAL,1185.2431254814,1220.898445149,1223.432504204,1207.666662103,1189.5153069286,1196.4759704222001,1193.7801102328,1150.635809985,1175.427386609,1189.5149840325998,1200.880848745,1208.8663488786,1177.9036497248,1172.1122645922,1180.32995222,1177.4527142322,1179.1685590672,1167.8069776264,1163.0087614036,1164.0534668208,1174.9620450664002,1165.6376369872,1162.748432861,,,,,,,,,,,,,,,19.2044765596,19.5189602188,19.3039553408,18.8099496686,18.2907322542,18.1642857828,17.893859341000002,17.0280203584,17.1734202612,17.1578705812,17.102346444,17.0001324534,16.3570422216,16.074404148,15.9901300112,15.7613827918,15.600451625599998,15.274201307999999,15.045581834,14.902186419,14.897450503599998,14.6539101566,14.495567706400001,,,64.0,54.0,54.0,55.0,55.0,56.0,57.0,59.0,60.0,61.0,62.0,63.0,64.0,65.0,66.0,67.0,68.0,69.0,69.0,69.0,70.0,70.0,70.0,71.0,71.0,65.0,65.0,64.0,65.0,65.0,66.0,66.0,66.0,66.0,66.0,67.0,68.0,70.0,72.0,73.0,74.0,75.0,75.0,72.0,73.0,75.0,75.0,76.0,76.0,44.0,43.0,42.0,43.0,44.0,47.0,51.0,53.0,55.0,57.0,60.0,62.0,64.0,65.0,66.0,68.0,69.0,71.0,72.0,73.0,74.0,74.0,75.0,76.0,45.0,46.0,47.0,48.0,49.0,50.0,51.0,52.0,53.0,54.0,55.0,56.0,56.0,57.0,57.0,58.0,59.0,59.0,60.0,60.0,60.0,61.0,61.0,61.0,68.0,68.0,68.0,69.0,69.0,70.0,70.0,71.0,71.0,72.0,72.0,73.0,73.0,73.0,73.0,73.0,73.0,73.0,73.0,73.0,73.0,72.0,72.0,72.0
GMB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41.7454260438125,,,,,,,30.62493951623529,,,,,22.98413704577778,,,,,,,,,,86.0,38.0,37.0,36.0,34.0,31.0,37.0,43.0,47.0,50.0,50.0,48.0,52.0,54.0,54.0,52.0,51.0,47.0,47.0,48.0,47.0,48.0,49.0,52.0,53.0,40.0,40.0,40.0,40.0,30.0,30.0,30.0,34.0,35.0,36.0,37.0,39.0,41.0,43.0,36.0,36.0,32.0,27.0,29.0,26.0,31.0,34.0,34.0,35.0,15.0,13.0,13.0,10.0,9.0,18.0,31.0,39.0,48.0,47.0,38.0,51.0,52.0,50.0,54.0,49.0,40.0,52.0,50.0,48.0,44.0,44.0,55.0,54.0,53.0,54.0,55.0,56.0,56.0,57.0,58.0,59.0,59.0,60.0,61.0,62.0,62.0,63.0,63.0,64.0,65.0,65.0,66.0,66.0,66.0,66.0,66.0,67.0,62.0,63.0,62.0,62.0,61.0,62.0,61.0,61.0,61.0,61.0,61.0,61.0,61.0,61.0,60.0,59.0,57.0,56.0,55.0,57.0,60.0,60.0,60.0,61.0
GNB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41.362768300266666,,,,,,,,44.29210206184616,,,,,,,,31.46519231466667,,,35.24295691182353,,,,79.0,25.0,25.0,26.0,30.0,29.0,29.0,35.0,35.0,34.0,36.0,37.0,42.0,42.0,40.0,42.0,45.0,43.0,45.0,44.0,42.0,44.0,44.0,43.0,43.0,31.0,31.0,31.0,31.0,31.0,31.0,30.0,29.0,28.0,29.0,28.0,27.0,28.0,28.0,28.0,32.0,31.0,32.0,29.0,27.0,31.0,38.0,36.0,37.0,4.0,4.0,5.0,9.0,7.0,7.0,16.0,15.0,14.0,17.0,19.0,35.0,34.0,28.0,37.0,39.0,32.0,36.0,33.0,31.0,30.0,26.0,23.0,23.0,52.0,53.0,54.0,55.0,56.0,57.0,58.0,59.0,60.0,61.0,62.0,63.0,64.0,64.0,65.0,66.0,67.0,67.0,68.0,68.0,69.0,69.0,69.0,69.0,53.0,54.0,54.0,55.0,55.0,56.0,56.0,56.0,56.0,56.0,56.0,54.0,52.0,49.0,47.0,49.0,51.0,53.0,56.0,57.0,57.0,57.0,58.0,58.0
