COUNTRY/REGION,YEAR,IndicatorCode,NumericValue
RC_ESCAP,2001,FINANCIALHARDSHIP_MILLIONOFPOP,1351.362170461
RC_ESCAP,2003,FINANCIALHARDSHIP_MILLIONOFPOP,221.725504
UNSDG_SIDS,2005,FINANCIALHARDSHIP_MILLIONOFPOP,2.43702825
SEAR_W_IDN,2012,FINANCIALHARDSHIP_MILLIONOFPOP,120.29668
EMR,2008,FINANCIALHARDSHIP_MILLIONOFPOP,134.514686828
UNSDG_SIDS,2016,FINANCIALHARDSHIP_MILLIONOFPOP,2.509233
WB_EAP,2016,FINANCIALHARDSHIP_MILLIONOFPOP,137.139424
WB_LAC,2011,FINANCIALHARDSHIP_MILLIONOFPOP,20.406352
WB_LAC,2012,FINANCIALHARDSHIP_MILLIONOFPOP,100.040651791
NC,2009,FINANCIALHARDSHIP_MILLIONOFPOP,0.482096281
SEAR_W_IDN,2013,FINANCIALHARDSHIP_MILLIONOFPOP,128.080872
UNSDG_OCEANIA,2007,FINANCIALHARDSHIP_MILLIONOFPOP,1.074595125
AFR,2017,FINANCIALHARDSHIP_MILLIONOFPOP,15.293498
WB_EAP,2009,FINANCIALHARDSHIP_MILLIONOFPOP,59.894852
UNSDG_LAC,2019,FINANCIALHARDSHIP_MILLIONOFPOP,126.55987869
EUR,2000,FINANCIALHARDSHIP_MILLIONOFPOP,134.228549964
AMR,2018,FINANCIALHARDSHIP_MILLIONOFPOP,111.810842093
GLOBAL,2004,FINANCIALHARDSHIP_MILLIONOFPOP,306.139488
EUR,2017,FINANCIALHARDSHIP_MILLIONOFPOP,28.080006
WB_LMI,2014,FINANCIALHARDSHIP_MILLIONOFPOP,189.38152
WB_MNA,2009,FINANCIALHARDSHIP_MILLIONOFPOP,30.645942
AMR,2018,FINANCIALHARDSHIP_MILLIONOFPOP,153.017394186
UNSDG_OCEANIA,2014,FINANCIALHARDSHIP_MILLIONOFPOP,5.764202456
UNSDG_WESTERNASIANORTHERNAFR,2003,FINANCIALHARDSHIP_MILLIONOFPOP,92.990999414
UNSDG_OCEANIA,2001,FINANCIALHARDSHIP_MILLIONOFPOP,1.207639875
WB_LMI,2012,FINANCIALHARDSHIP_MILLIONOFPOP,903.29249453
AFR,2022,FINANCIALHARDSHIP_MILLIONOFPOP,15.87417
UNSDG_WESTERNASIANORTHERNAFR,2020,FINANCIALHARDSHIP_MILLIONOFPOP,31.85742
UNSDG_SUBSAHARANAFRICA,2010,FINANCIALHARDSHIP_MILLIONOFPOP,305.002218678
WB_SSA,2017,FINANCIALHARDSHIP_MILLIONOFPOP,363.157842995
UNSDG_EASTERNASIASOUTHEASTERNASIA,2019,FINANCIALHARDSHIP_MILLIONOFPOP,146.5348
WB_EAP,2008,FINANCIALHARDSHIP_MILLIONOFPOP,651.263140258
UNSDG_EUROPENORTHERNAMR,2019,FINANCIALHARDSHIP_MILLIONOFPOP,121.17724567
WB_HI,2007,FINANCIALHARDSHIP_MILLIONOFPOP,63.495648707
WPR,2005,FINANCIALHARDSHIP_MILLIONOFPOP,601.009340168
UNSDG_EUROPENORTHERNAMR,2002,FINANCIALHARDSHIP_MILLIONOFPOP,131.67887497
WB_SSA,2015,FINANCIALHARDSHIP_MILLIONOFPOP,31.420444
WB_ECA,2013,FINANCIALHARDSHIP_MILLIONOFPOP,76.844911279
WPR_WO_IDN,2021,FINANCIALHARDSHIP_MILLIONOFPOP,141.985104
RC_ESCAP,2019,FINANCIALHARDSHIP_MILLIONOFPOP,1351.950682319
AFR,2004,FINANCIALHARDSHIP_MILLIONOFPOP,36.215404
UNSDG_WESTERNASIANORTHERNAFR,2017,FINANCIALHARDSHIP_MILLIONOFPOP,93.668131922
WB_HI,2008,FINANCIALHARDSHIP_MILLIONOFPOP,75.610353128
UNSDG_EASTERNASIASOUTHEASTERNASIA,2011,FINANCIALHARDSHIP_MILLIONOFPOP,115.178344
WB_MNA2,2018,FINANCIALHARDSHIP_MILLIONOFPOP,107.97384157
WB_MNA,2006,FINANCIALHARDSHIP_MILLIONOFPOP,34.296052
UNSDG_WESTERNASIANORTHERNAFR,2015,FINANCIALHARDSHIP_MILLIONOFPOP,31.163636
WB_EAP,2001,FINANCIALHARDSHIP_MILLIONOFPOP,849.784098703
WB_LI,2012,FINANCIALHARDSHIP_MILLIONOFPOP,291.418739656
WB_SAR,2017,FINANCIALHARDSHIP_MILLIONOFPOP,126.49492
UNSDG_SIDS,2011,FINANCIALHARDSHIP_MILLIONOFPOP,10.0562476
WB_ECA,2013,FINANCIALHARDSHIP_MILLIONOFPOP,115.429889659
SEAR,2007,FINANCIALHARDSHIP_MILLIONOFPOP,382.317406309
WB_SAR2,2002,FINANCIALHARDSHIP_MILLIONOFPOP,104.509792
AMR,2007,FINANCIALHARDSHIP_MILLIONOFPOP,12.50373
NC,2022,FINANCIALHARDSHIP_MILLIONOFPOP,2.448301656
UNSDG_EASTERNASIASOUTHEASTERNASIA,2008,FINANCIALHARDSHIP_MILLIONOFPOP,768.125979574
WB_SAR2,2009,FINANCIALHARDSHIP_MILLIONOFPOP,463.645586086
NC,2017,FINANCIALHARDSHIP_MILLIONOFPOP,2.813123461
WB_SSA,2011,FINANCIALHARDSHIP_MILLIONOFPOP,321.043008439
WB_NAR,2005,FINANCIALHARDSHIP_MILLIONOFPOP,7.300956
AMR,2008,FINANCIALHARDSHIP_MILLIONOFPOP,150.870667874
WB_NAR,2019,FINANCIALHARDSHIP_MILLIONOFPOP,2.25486775
UNSDG_LLDC,2004,FINANCIALHARDSHIP_MILLIONOFPOP,12.823098
RC_ECLAL,2011,FINANCIALHARDSHIP_MILLIONOFPOP,98.410502092
UNSDG_WESTERNASIANORTHERNAFR,2021,FINANCIALHARDSHIP_MILLIONOFPOP,97.503006859
UNSDG_WESTERNASIANORTHERNAFR,2009,FINANCIALHARDSHIP_MILLIONOFPOP,64.151048738
UNSDG_CENTRALASIASOUTHERNASIA,2013,FINANCIALHARDSHIP_MILLIONOFPOP,136.04968
