IndicatorCode,MALARIA_1STLINE_TREATED,MALARIA_1STLINE_TREATED,MALARIA_1STLINE_TREATED,MALARIA_ACT_TREATED,MALARIA_ACT_TREATED,MALARIA_ACT_TREATED,MALARIA_CONF_CASES,MALARIA_CONF_CASES,MALARIA_CONF_CASES,MALARIA_CONF_CASES,MALARIA_CONF_CASES,MALARIA_CONF_CASES,MALARIA_CONF_CASES,MALARIA_CONF_CASES,MALARIA_CONF_CASES,MALARIA_EST_CASES,MALARIA_EST_CASES,MALARIA_EST_CASES,MALARIA_EST_CASES,MALARIA_EST_CASES,MALARIA_EST_CASES,MALARIA_EST_CASES,MALARIA_EST_CASES,MALARIA_EST_CASES,MALARIA_EST_CASES,MALARIA_EST_CASES,MALARIA_EST_CASES,MALARIA_EST_CASES,MALARIA_EST_CASES,MALARIA_EST_CASES,MALARIA_EST_CASES,MALARIA_EST_CASES,MALARIA_EST_CASES,MALARIA_EST_CASES,MALARIA_EST_CASES,MALARIA_EST_CASES,MALARIA_EST_CASES,MALARIA_EST_CASES,MALARIA_EST_CASES,MALARIA_EST_DEATHS,MALARIA_EST_DEATHS,MALARIA_EST_DEATHS,MALARIA_EST_DEATHS,MALARIA_EST_DEATHS,MALARIA_EST_DEATHS,MALARIA_EST_DEATHS,MALARIA_EST_DEATHS,MALARIA_EST_DEATHS,MALARIA_EST_DEATHS,MALARIA_EST_DEATHS,MALARIA_EST_DEATHS,MALARIA_EST_DEATHS,MALARIA_EST_DEATHS,MALARIA_EST_DEATHS,MALARIA_EST_DEATHS,MALARIA_EST_DEATHS,MALARIA_EST_DEATHS,MALARIA_EST_DEATHS,MALARIA_EST_DEATHS,MALARIA_EST_DEATHS,MALARIA_EST_DEATHS,MALARIA_EST_DEATHS,MALARIA_EST_DEATHS,MALARIA_EST_INCIDENCE,MALARIA_EST_INCIDENCE,MALARIA_EST_INCIDENCE,MALARIA_EST_INCIDENCE,MALARIA_EST_INCIDENCE,MALARIA_EST_INCIDENCE,MALARIA_EST_INCIDENCE,MALARIA_EST_INCIDENCE,MALARIA_EST_INCIDENCE,MALARIA_EST_INCIDENCE,MALARIA_EST_INCIDENCE,MALARIA_EST_INCIDENCE,MALARIA_EST_INCIDENCE,MALARIA_EST_INCIDENCE,MALARIA_EST_INCIDENCE,MALARIA_EST_INCIDENCE,MALARIA_EST_INCIDENCE,MALARIA_EST_INCIDENCE,MALARIA_EST_INCIDENCE,MALARIA_EST_INCIDENCE,MALARIA_EST_INCIDENCE,MALARIA_EST_INCIDENCE,MALARIA_EST_INCIDENCE,MALARIA_EST_INCIDENCE,MALARIA_EST_MORTALITY,MALARIA_EST_MORTALITY,MALARIA_EST_MORTALITY,MALARIA_EST_MORTALITY,MALARIA_EST_MORTALITY,MALARIA_EST_MORTALITY,MALARIA_EST_MORTALITY,MALARIA_EST_MORTALITY,MALARIA_EST_MORTALITY,MALARIA_EST_MORTALITY,MALARIA_EST_MORTALITY,MALARIA_EST_MORTALITY,MALARIA_EST_MORTALITY,MALARIA_EST_MORTALITY,MALARIA_EST_MORTALITY,MALARIA_EST_MORTALITY,MALARIA_EST_MORTALITY,MALARIA_EST_MORTALITY,MALARIA_EST_MORTALITY,MALARIA_EST_MORTALITY,MALARIA_EST_MORTALITY,MALARIA_EST_MORTALITY,MALARIA_EST_MORTALITY,MALARIA_EST_MORTALITY,MALARIA_IMPORTED,MALARIA_IMPORTED,MALARIA_IMPORTED,MALARIA_IMPORTED,MALARIA_IMPORTED,MALARIA_IMPORTED,MALARIA_IMPORTED,MALARIA_IMPORTED,MALARIA_IMPORTED,MALARIA_INDIG,MALARIA_INDIG,MALARIA_INDIG,MALARIA_INDIG,MALARIA_INDIG,MALARIA_INDIG,MALARIA_INDIG,MALARIA_INDIG,MALARIA_INDIG,MALARIA_IPTP3_COVERAGE,MALARIA_IPTP3_COVERAGE,MALARIA_IPTP3_COVERAGE,MALARIA_IPTP3_COVERAGE,MALARIA_IPTP3_COVERAGE,MALARIA_IPTP3_COVERAGE,MALARIA_IPTP3_COVERAGE,MALARIA_IPTP3_COVERAGE,MALARIA_IPTP3_COVERAGE,MALARIA_IRS_COVERAGE,MALARIA_IRS_COVERAGE,MALARIA_IRS_COVERAGE,MALARIA_IRS_COVERAGE,MALARIA_IRS_COVERAGE,MALARIA_IRS_COVERAGE,MALARIA_IRS_COVERAGE,MALARIA_IRS_COVERAGE,MALARIA_IRS_COVERAGE,MALARIA_ITN_COVERAGE,MALARIA_ITN_COVERAGE,MALARIA_ITN_COVERAGE,MALARIA_ITN_COVERAGE,MALARIA_ITN_COVERAGE,MALARIA_ITN_COVERAGE,MALARIA_ITN_COVERAGE,MALARIA_ITN_COVERAGE,MALARIA_ITN_COVERAGE,MALARIA_MICR_POS,MALARIA_MICR_POS,MALARIA_MICR_POS,MALARIA_MICR_POS,MALARIA_MICR_POS,MALARIA_MICR_POS,MALARIA_MICR_POS,MALARIA_MICR_POS,MALARIA_MICR_POS,MALARIA_MICR_TEST,MALARIA_MICR_TEST,MALARIA_MICR_TEST,MALARIA_MICR_TEST,MALARIA_MICR_TEST,MALARIA_MICR_TEST,MALARIA_MICR_TEST,MALARIA_MICR_TEST,MALARIA_MICR_TEST,MALARIA_NMCP_CALCULATIONS,MALARIA_NMCP_CALCULATIONS,MALARIA_NMCP_CALCULATIONS,MALARIA_NMCP_CALCULATIONS,MALARIA_NMCP_CALCULATIONS,MALARIA_NMCP_CALCULATIONS,MALARIA_NMCP_CALCULATIONS,MALARIA_NMCP_CALCULATIONS,MALARIA_NMCP_CALCULATIONS,MALARIA_PF_INDIG,MALARIA_PF_INDIG,MALARIA_PF_INDIG,MALARIA_PF_INDIG,MALARIA_PF_INDIG,MALARIA_PF_INDIG,MALARIA_PF_INDIG,MALARIA_PF_INDIG,MALARIA_PF_INDIG,MALARIA_PRES_CASES,MALARIA_PRES_CASES,MALARIA_PRES_CASES,MALARIA_PRES_CASES,MALARIA_PRES_CASES,MALARIA_PRES_CASES,MALARIA_PRES_CASES,MALARIA_PRES_CASES,MALARIA_PRES_CASES,MALARIA_PV_INDIG,MALARIA_PV_INDIG,MALARIA_PV_INDIG,MALARIA_PV_INDIG,MALARIA_PV_INDIG,MALARIA_PV_INDIG,MALARIA_PV_INDIG,MALARIA_PV_INDIG,MALARIA_PV_INDIG,MALARIA_RDT_POS,MALARIA_RDT_POS,MALARIA_RDT_POS,MALARIA_RDT_POS,MALARIA_RDT_POS,MALARIA_RDT_POS,MALARIA_RDT_POS,MALARIA_RDT_POS,MALARIA_RDT_POS,MALARIA_RDT_TEST,MALARIA_RDT_TEST,MALARIA_RDT_TEST,MALARIA_RDT_TEST,MALARIA_RDT_TEST,MALARIA_RDT_TEST,MALARIA_RDT_TEST,MALARIA_RDT_TEST,MALARIA_RDT_TEST,MALARIA_SUSPECTS,MALARIA_SUSPECTS,MALARIA_SUSPECTS,MALARIA_SUSPECTS,MALARIA_SUSPECTS,MALARIA_SUSPECTS,MALARIA_SUSPECTS,MALARIA_SUSPECTS,MALARIA_SUSPECTS,MALARIA_TOTAL_CASES,MALARIA_TOTAL_CASES,MALARIA_TOTAL_CASES,MALARIA_TOTAL_CASES,MALARIA_TOTAL_CASES,MALARIA_TOTAL_CASES,MALARIA_TOTAL_CASES,MALARIA_TOTAL_CASES,MALARIA_TOTAL_CASES
COL,36531.0,78295.0,,36531.0,62321.0,,65453.0,86407.0,56515.0,63143.0,82721.0,81829.0,74707.0,73561.0,105479.0,210720.0,333024.0,291432.0,254224.0,197464.0,166899.0,165418.0,173191.0,109966.0,110555.0,164564.0,90130.0,84176.0,72346.0,57024.0,84841.0,115550.0,80963.0,93827.0,123297.0,113807.0,103472.0,101685.0,122467.0,124.0,168.0,162.0,118.0,126.0,87.0,77.0,68.0,54.0,28.0,42.0,23.0,24.0,10.0,17.0,18.0,36.0,19.0,9.0,3.0,5.0,11.0,16.0,22.0,24.34909615,37.88137568,32.64437445,28.0503318,21.46991457,17.89430482,17.50199812,18.0937306,11.35102204,11.27965379,16.60040854,8.994987537,8.316945827,7.080597708,5.531412963,8.158827928,11.0024671,7.59806523,8.644840396,11.15898015,10.15320313,9.130514238,8.877480812,10.57264897,1.432843547,1.910994738,1.814621819,1.30197745,1.369975912,0.932782413,0.814696016,0.710414329,0.55740428,0.285677089,0.423675384,0.229540345,0.237130179,0.097871309,0.164902533,0.173098977,0.342785648,0.178307671,0.082922361,0.027151464,0.044607112,0.097065541,0.139685984,0.189927309,7785.0,618.0,1297.0,1948.0,2306.0,466.0,733.0,864.0,625.0,55334.0,82609.0,52805.0,61195.0,80415.0,81363.0,73974.0,72697.0,104854.0,,,,,,,,,,252500.0,1180400.0,153690.0,60000.0,141000.0,242748.0,245984.0,,,,,,,,,,,,48059.0,57515.0,38349.0,42810.0,47806.0,40155.0,34114.0,59811.0,61618.0,316451.0,242973.0,244732.0,195286.0,283471.0,202736.0,222155.0,195291.0,243548.0,16361490.97,12604976.17,13254735.11,3851315.917,7014185.472,6155445.307,2258407.253,2267234.266,2262820.76,27875.0,47232.0,29558.0,29953.0,39891.0,39879.0,36169.0,27776.0,37774.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19002.0,32635.0,22132.0,30063.0,38392.0,39687.0,35992.0,44216.0,66035.0,3535.0,5655.0,5056.0,3407.0,3703.0,5284.0,5396.0,13750.0,15445.0,11983.0,53118.0,9648.0,13252.0,11935.0,9663.0,16905.0,27612.0,60659.0,328434.0,296091.0,254380.0,208538.0,295406.0,212399.0,239060.0,222903.0,304207.0,65453.0,86407.0,56515.0,63143.0,82721.0,81829.0,74707.0,73561.0,105479.0
COM,10547.0,11100.0,,10547.0,11100.0,,1884.0,1467.0,3896.0,15613.0,17697.0,4546.0,10547.0,20681.0,21079.0,35580.0,35608.0,35665.0,35644.0,35601.0,35616.0,35626.0,35628.0,35626.0,35622.0,36538.0,24856.0,49840.0,53156.0,2203.0,1884.0,1467.0,3896.0,15186.0,17599.0,4546.0,10537.0,20675.0,21049.0,89.0,89.0,89.0,89.0,89.0,92.0,89.0,89.0,89.0,89.0,92.0,62.0,125.0,135.0,5.0,4.0,3.0,9.0,38.0,45.0,11.0,26.0,52.0,53.0,66.37081475,65.0707211,63.81022073,62.55561191,61.30662093,60.09344044,58.91000127,57.75084856,56.61147898,55.4905623,55.7971767,37.20646173,73.11895474,76.35250046,3.096266771,2.592605844,1.977779306,5.148882801,19.68143703,22.374132,5.667177369,12.87867862,24.78458093,24.75225985,16.60203067,16.26402544,15.92348141,15.61959786,15.32622472,15.52278897,14.71675213,14.42636556,14.14254092,13.86407289,14.04931922,9.280659106,18.33842163,19.39120243,0.702738713,0.550447101,0.404453846,1.189423645,4.924895346,5.720983806,1.371292368,3.177808144,6.233606813,6.232456517,,,,,98.0,0.0,10.0,6.0,30.0,1884.0,1467.0,3896.0,15613.0,17599.0,4546.0,10537.0,20675.0,21049.0,,,,,,,,,,20275.0,,,,,57658.0,127487.0,,8140.0,60.00536279,78.11857023,82.80946756,67.83857064,48.24588781,72.94436962,80.58851341,63.9621812,50.60228969,963.0,559.0,1325.0,9197.0,19029.0,3339.0,7631.0,7672.0,12880.0,89634.0,71902.0,130134.0,90956.0,158670.0,133024.0,120785.0,162648.0,155891.0,143681.6012,146555.2389,139495.4875,136418.823,134080.9179,55760.99099,357119.3994,333739.9932,322003.0,1300.0,1066.0,2274.0,15613.0,17599.0,4546.0,10537.0,20675.0,21049.0,217.0,267.0,,4069.0,0.0,0.0,,,,,,,,,,,,,921.0,908.0,2571.0,6416.0,20535.0,1207.0,2916.0,13009.0,8199.0,27911.0,44523.0,99311.0,24567.0,46172.0,42340.0,48157.0,71199.0,45890.0,117762.0,116692.0,229445.0,119592.0,185045.0,175364.0,168942.0,233847.0,201781.0,2101.0,1734.0,3896.0,19682.0,17697.0,4546.0,10547.0,20681.0,21079.0
CPV,,,,,,,27.0,77.0,457.0,21.0,40.0,10.0,21.0,27.0,37.0,144.0,107.0,76.0,68.0,45.0,68.0,80.0,18.0,35.0,65.0,47.0,7.0,1.0,22.0,26.0,7.0,49.0,423.0,2.0,0.0,0.0,0.0,0.0,0.0,,0.0,2.0,4.0,4.0,2.0,8.0,2.0,2.0,2.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.22176783,0.894080685,0.625869836,0.552490677,0.361051382,0.539126298,0.627013301,0.139525149,0.268503744,0.493935986,0.354601903,0.052641078,0.007512696,0.165192449,0.195189334,0.052543874,0.367691199,3.172055912,0.014982732,0.0,0.0,0.0,0.0,0.0,,0.0,1.647025883,3.249945157,3.209345614,1.585665583,6.270133005,1.550279438,1.534307107,1.519803034,0.754472134,0.752015401,0.0,0.0,0.750728206,0.0,0.750390203,1.499790029,0.0,0.0,0.0,0.0,0.0,0.0,20.0,28.0,23.0,18.0,39.0,10.0,20.0,26.0,36.0,7.0,49.0,423.0,2.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,308586.0,349126.0,495313.0,,302520.0,233171.0,241552.0,102333.0,128511.0,,,,,,,,,,27.0,77.0,446.0,21.0,40.0,10.0,21.0,27.0,37.0,3117.0,8393.0,3857.0,16623.0,5596.0,1246.0,4327.0,10246.0,20720.0,1904399.884,1524828.605,5629060.857,739419.4257,606965.0637,699397.7547,913643.7629,853830.5782,823803.0,7.0,49.0,423.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,27.0,77.0,446.0,,40.0,0.0,0.0,0.0,0.0,6620.0,8906.0,16573.0,,7867.0,4399.0,4279.0,6196.0,15879.0,6620.0,8906.0,16573.0,16623.0,7867.0,4399.0,4327.0,10246.0,15879.0,27.0,77.0,457.0,21.0,40.0,10.0,21.0,27.0,37.0
CRI,504.0,444.0,627.0,12.0,13.0,6.0,8.0,13.0,25.0,152.0,149.0,145.0,232.0,462.0,641.0,1879.0,1363.0,1021.0,718.0,1289.0,3541.0,2903.0,1223.0,966.0,262.0,110.0,10.0,7.0,0.0,0.0,0.0,4.0,12.0,70.0,95.0,90.0,189.0,406.0,543.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.363364601,0.971398964,0.715739827,0.49565987,0.876854643,2.374225075,1.919379451,0.797737374,0.621614021,0.166357022,0.068983423,0.006197933,0.004288228,0.0,0.0,0.0,0.002348177,0.006978322,0.040340334,0.054290585,0.051077972,0.106719669,0.228267244,0.303872613,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.063495047,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,9.0,13.0,38.0,45.0,34.0,27.0,36.0,93.0,0.0,4.0,12.0,70.0,95.0,90.0,189.0,406.0,543.0,,,,,,,,,,,430.0,8479.0,4095.0,,6895.0,27756.0,16557.0,15635.0,,,,,,,,,,8.0,13.0,25.0,110.0,149.0,141.0,232.0,409.0,650.0,7373.0,5160.0,9680.0,9000.0,10631.0,4200.0,2001.0,10946.0,16488.0,8556876.33,6315028.007,6057405.809,5947596.135,5845668.004,231445.3082,118010.226,178885.0427,172256.0,0.0,,,9.0,8.0,2.0,171.0,379.0,501.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,12.0,61.0,87.0,88.0,17.0,27.0,34.0,3.0,2.0,3.0,44.0,,93.0,128.0,398.0,350.0,3.0,2.0,3.0,700.0,,3647.0,12383.0,20093.0,47461.0,7373.0,5160.0,9680.0,9000.0,10631.0,7754.0,12383.0,10946.0,47461.0,8.0,13.0,25.0,152.0,149.0,145.0,232.0,462.0,641.0
DJI,56081.0,39034.0,,56081.0,39034.0,,9473.0,13822.0,14810.0,25319.0,49402.0,73535.0,58916.0,40648.0,38944.0,1722.0,1777.0,1833.0,1874.0,1903.0,1933.0,1972.0,2015.0,2057.0,2686.0,1010.0,2185.0,2227.0,1684.0,9439.0,9473.0,13822.0,14810.0,24845.0,49402.0,73535.0,58916.0,40648.0,38944.0,4.0,4.0,4.0,4.0,4.0,4.0,29.0,5.0,5.0,6.0,2.0,5.0,5.0,17.0,28.0,24.0,30.0,26.0,43.0,97.0,129.0,118.0,81.0,80.0,3.072651616,3.072151474,3.07232793,3.071763543,3.071703205,3.071632764,3.072828529,3.072465978,3.072543086,3.929359307,1.447794121,3.071663239,3.071800403,2.280177486,12.55257947,12.38054661,17.7625052,18.72207017,30.90846888,60.50874279,88.72444806,70.06761056,47.66807782,45.04206501,0.713740213,0.691536629,0.670447993,0.655659241,0.645654904,0.635619817,4.518865484,0.762398506,0.746850531,0.877742213,0.286691905,0.702897766,0.689672295,2.30184188,3.723617175,3.136631676,3.855268095,3.286791523,5.349423071,11.88079035,15.56463426,14.03350201,9.498903522,9.252683857,,,,,,,,,,9473.0,13822.0,14810.0,25319.0,49402.0,73535.0,58916.0,40648.0,38944.0,,,,,,,,,,,,,,37663.0,28496.0,116961.0,67077.0,63664.0,6.190756708,6.272365313,20.36102784,30.97588544,39.66005586,39.14558413,21.03333471,30.04965648,24.86635723,1764.0,2280.0,1283.0,,,11633.0,13210.0,10084.0,7895.0,10502.0,19492.0,24504.0,,,42250.0,50157.0,49837.0,35448.0,1437459.193,5641532.059,3919684.049,3919683.535,1703638.1,562607.0521,1713739.033,2084704.028,1899221.531,,11781.0,9290.0,16130.0,36025.0,46537.0,44385.0,30346.0,29728.0,84.0,0.0,0.0,0.0,0.0,,,0.0,,,2041.0,5381.0,9189.0,13377.0,26998.0,14531.0,9858.0,8620.0,7709.0,11542.0,13527.0,25319.0,49402.0,73535.0,45706.0,30564.0,31049.0,,,51090.0,104800.0,214101.0,268147.0,168434.0,163843.0,173687.0,10586.0,19492.0,75594.0,104800.0,214101.0,268147.0,218591.0,213680.0,209135.0,9557.0,13822.0,14810.0,25319.0,49402.0,73535.0,58916.0,40648.0,38944.0
DOM,291.0,337.0,269.0,3.0,7.0,18.0,661.0,755.0,398.0,484.0,1314.0,829.0,291.0,337.0,271.0,1524.0,1315.0,1685.0,1983.0,3046.0,4950.0,4535.0,3478.0,2365.0,2115.0,3202.0,2088.0,1232.0,613.0,566.0,771.0,836.0,410.0,516.0,1528.0,977.0,284.0,320.0,253.0,6.0,17.0,11.0,12.0,16.0,16.0,10.0,17.0,11.0,14.0,15.0,10.0,8.0,5.0,4.0,3.0,1.0,1.0,1.0,4.0,2.0,1.0,0.0,0.0,0.322311643,0.273769774,0.34557099,0.400872904,0.607358973,0.974153829,0.881385184,0.66777194,0.448505245,0.396041829,0.591960139,0.381143822,0.222102718,0.109172522,0.099612847,0.134140333,0.143841865,0.069781176,0.086883753,0.254638784,0.161125643,0.046351969,0.051728776,0.040535212,0.126894348,0.353922902,0.225595305,0.242585721,0.319032947,0.314878005,0.194351749,0.326398016,0.208607091,0.262155348,0.277307997,0.182540145,0.144222544,0.089047734,0.070397772,0.052194682,0.017205965,0.017019799,0.016837937,0.066659367,0.032983755,0.016321116,0.0,0.0,30.0,65.0,57.0,87.0,37.0,3.0,7.0,17.0,18.0,631.0,690.0,341.0,433.0,1291.0,826.0,284.0,320.0,253.0,,,,,,,,,,100090.0,40510.0,30361.0,36891.0,33226.0,37821.0,107375.0,20201.0,55594.0,,,,,,,,,,661.0,487.0,398.0,322.0,1314.0,829.0,17.0,0.0,271.0,317257.0,228795.0,226988.0,132775.0,143366.0,59843.0,48139.0,49466.0,46549.0,3337352.665,4374451.392,1398029.799,437323.1752,2993862.376,1397314.708,1020206.755,2916624.366,1489111.04,631.0,690.0,341.0,433.0,1291.0,826.0,284.0,320.0,253.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,129.0,80.0,74.0,221.0,1313.0,241.0,274.0,337.0,271.0,7659.0,22450.0,87397.0,42425.0,55000.0,7570.0,26839.0,28243.0,46009.0,317257.0,251245.0,226988.0,132775.0,143366.0,59826.0,48139.0,77709.0,46009.0,661.0,755.0,398.0,484.0,1314.0,829.0,291.0,337.0,271.0
DZA,,,,,,,747.0,432.0,453.0,1242.0,1014.0,2726.0,1164.0,1292.0,427.0,34.0,6.0,10.0,5.0,2.0,1.0,1.0,26.0,3.0,0.0,1.0,1.0,55.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.018729748,0.00326017,0.005361804,0.002645493,0.001043523,0.000514182,0.000506318,0.012946363,0.001466887,0.0,0.000470434,0.000461318,0.024871853,0.003545395,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.110174991,0.054336162,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.047043415,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,727.0,420.0,446.0,1241.0,1014.0,2725.0,1164.0,1292.0,427.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,747.0,432.0,453.0,1242.0,1014.0,2726.0,1164.0,1292.0,427.0,8000.0,6628.0,6469.0,10081.0,8620.0,11197.0,7220.0,1292.0,6138.0,1672982.047,2163093.076,2126779.506,2079871.989,2133785.735,2310987.657,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,8000.0,6628.0,6469.0,10081.0,8620.0,11197.0,7220.0,1292.0,6138.0,747.0,432.0,453.0,1242.0,1014.0,2726.0,1164.0,1292.0,427.0
ECU,2450.0,,757.0,499.0,,46.0,686.0,1424.0,1380.0,1806.0,1909.0,2089.0,2436.0,1666.0,757.0,104528.0,108903.0,86757.0,52065.0,28730.0,17050.0,9863.0,8194.0,4891.0,4126.0,1888.0,1219.0,544.0,368.0,242.0,627.0,1191.0,1275.0,1653.0,1803.0,1934.0,2175.0,1348.0,604.0,66.0,84.0,64.0,46.0,37.0,22.0,9.0,8.0,5.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,1.0,0.0,14.53600431,14.88454341,11.65216051,6.870469254,3.725338435,2.172910119,1.2355608,1.009099009,0.592147454,0.491081269,0.22097474,0.140350926,0.061644722,0.041081062,0.026631144,0.068018584,0.127332546,0.134244172,0.171082981,0.183481757,0.194501775,0.217051875,0.133454749,0.059277794,0.917817508,1.148087423,0.8595713,0.607013513,0.479768611,0.280375499,0.11274508,0.098520772,0.060534395,0.071412691,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.030170906,0.0,0.009900204,0.0,59.0,233.0,105.0,153.0,106.0,67.0,70.0,42.0,59.0,627.0,1191.0,1275.0,1653.0,1803.0,1934.0,2175.0,1348.0,604.0,,,,,,,,,,,,667111.0,775884.0,698292.0,17276.0,1435556.0,168165.0,28365.0,,,,,,,,,,686.0,1424.0,1380.0,1589.0,1428.0,1618.0,1778.0,1213.0,414.0,261824.0,311920.0,306894.0,237995.0,177742.0,163607.0,149568.0,122504.0,93853.0,3062832.98,3065247.732,7098253.011,8206211.231,3128041.501,1278768.22,1278768.22,1718434.017,1298563.0,209.0,403.0,309.0,149.0,211.0,214.0,445.0,198.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,418.0,788.0,963.0,1504.0,1592.0,1715.0,1728.0,1150.0,574.0,6.0,,6.0,217.0,481.0,383.0,467.0,315.0,343.0,,,,6782.0,,383.0,35294.0,316.0,56122.0,261824.0,311920.0,306894.0,237995.0,177742.0,163990.0,184862.0,122820.0,149975.0,686.0,1424.0,1380.0,1806.0,1909.0,2089.0,2436.0,1666.0,757.0
EGY,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EMR,4219038.0,,,,,,1025681.0,1296572.0,1686025.0,2494090.0,2602617.0,2446508.0,2391070.0,,,6920688.152,7171637.948,6787076.123,6407667.113,5201422.679,5412590.259,5386505.834,4731204.181,3660553.53,3595759.614,4470670.227,4596966.962,4325975.689,4150031.717,4003015.16487973,4311536.125,5368211.82466584,5407169.96470414,5683886.609,5777165.126,5907798.736,6254955.764,8345208.401,10222985.0,13544.0,14069.0,13181.0,12314.0,10451.0,11203.0,11399.0,9575.0,7053.0,6863.0,8618.0,7824.0,7935.0,7517.0,7519.0,8200.0,9504.0,10289.0,11263.0,12028.0,12855.0,13569.0,16040.0,18297.0,19.93512405,20.15084956,18.59715152,17.12655178,13.57099689,13.78773845,13.38450863,11.45101327,8.634674436,8.277765361,10.05388908,10.10636617,9.311735897,8.772887117,8.317550372,8.802226501,10.76440907,10.63984988,10.96630912,10.92663045,10.95380049,11.37074109,14.87480925,17.87747755,3.960838231,4.009235245,3.657627679,3.334736736,2.766096396,2.897987246,2.87737697,2.356573689,1.693536404,1.60843474,1.938063237,1.720095219,1.708022182,1.589043095,1.562313873,1.674072888,1.9057546,2.024597269,2.173047214,2.274913529,2.383478375,2.46667749,2.859029144,,3169.0,5721.0,3842.0,3119.0,3136.0,4331.0,3291.0,,,1017480.0,1285761.0,1676534.0,2486628.0,2595081.0,2440534.0,2385327.0,,,,,,,,,,,,5092093.0,5098278.0,7319014.0,10126027.0,7932368.0,5299569.0,6018586.0,,,,,,,,,,,,875569.0,741643.0,949855.0,1553838.0,1724742.0,1498968.0,1534555.0,,,11234780.0,11592924.0,10130109.0,13571407.0,12687940.0,11197549.0,11018501.0,,,,,,,,,,,,108304.0,440719.0,763429.0,1478001.0,1690147.0,1559266.0,1510053.0,,,4399611.0,2391775.0,2784301.0,2799871.0,1894516.0,1753448.0,2416435.0,,,250842.0,477528.0,521525.0,634632.0,707106.0,594277.0,579775.0,,,145080.0,549847.0,730535.0,936056.0,887848.0,961541.0,854387.0,,,1108845.0,2615833.0,3542899.0,4551735.0,6934868.0,6393134.0,6487956.0,,,18382120.0,17630707.0,17308316.0,22037218.0,21296720.0,19307960.0,20461103.0,,,5424469.0,3687883.0,4469285.0,5293554.0,4496530.0,4200782.0,4805377.0,,
