IndicatorCode,NTD_7,NTD_7,NTD_7,NTD_7,NTD_7,NTD_7,NTD_7,NTD_7,NTD_7,NTD_7,NTD_7,NTD_7,NTD_8,NTD_8,NTD_8,NTD_8,NTD_8,NTD_8,NTD_8,NTD_8,NTD_8,NTD_8,NTD_8,NTD_8,NTD_8,NTD_8,NTD_8,NTD_8,NTD_8,NTD_8,NTD_8,NTD_8,NTD_TRA5,NTD_TRA5,NTD_TRA5,NTD_TRA5,NTD_TRA5,NTD_TRA5,NTD_TRA5,NTD_TRA5,NTD_TRA5,NTD_TRA5,NTD_TRA5
YEAR,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
ERI,1289598.0,,1441264.0,1497725.0,1076700.0,956062.0,399861.0,125856.0,96000.0,98688.0,0.0,0.0,,,1364817.0,1364830.0,0.0,77933.0,547332.0,,370007.0,46917.0,169073.0,269102.0,743984.0,0.0,91262.0,90240.0,94025.0,0.0,0.0,0.0,892.0,1035.0,1105.0,1594.0,1991.0,1953.0,948.0,965.0,913.0,1275.0,1011.0
ETH,64497779.0,72657474.0,75106161.0,74204513.0,69802693.0,77653029.0,76238251.0,75731040.0,71787220.0,67815004.0,63060994.0,70152173.0,2618488.0,2600000.0,6044714.0,14832830.0,15695222.0,18947985.0,19604106.0,18492639.0,23727842.0,17858012.0,32624948.0,47219584.0,49870966.0,62658840.0,58906742.0,18315149.0,46832043.0,18434507.0,21567873.0,32492557.0,65658.0,112052.0,184192.0,171005.0,90469.0,41180.0,22156.0,46134.0,94849.0,98210.0,62004.0
FJI,,892573.0,898821.0,905113.0,911449.0,917552.0,919387.0,921225.0,923067.0,941528.0,391964.0,331093.0,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0
GHA,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,796378.0,770124.0,899580.0,147122.0,,,,4990.0,,992.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,78.0,51.0,107.0,63.0,0.0,34.0,33.0,23.0,,19.0,6.0
GIN,3255610.0,5418768.0,5913295.0,5448543.0,3531049.0,3602477.0,1406811.0,234636.0,241352.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,529000.0,421996.0,1987575.0,1888301.0,2883632.0,3229420.0,1251433.0,0.0,213116.0,0.0,0.0,0.0,0.0,683.0,611.0,1580.0,1444.0,975.0,733.0,0.0,827.0,615.0,281.0,154.0
GMB,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18402.0,401397.0,143658.0,151135.0,111969.0,49594.0,3175.0,6204.0,,516.0,429.0,106.0,74.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,323.0,307.0,184.0,111.0,77.0,8.0,20.0,22.0,9.0,25.0,25.0
GNB,808435.0,1233472.0,1044412.0,1074652.0,407686.0,488142.0,26834.0,26834.0,26834.0,0.0,0.0,0.0,,,,0.0,82311.0,303037.0,443377.0,400000.0,164402.0,424580.0,631948.0,945695.0,347855.0,157.0,,23254.0,96.0,0.0,168.0,9.0,1590.0,755.0,445.0,208.0,357.0,,23.0,96.0,91.0,168.0,67.0
GTM,75890.0,57763.0,116582.0,116582.0,116582.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,75890.0,66594.0,0.0,0.0,5.0,521.0,0.0,,0.0,0.0,0.0,0.0,0.0,4.0,0.0,2.0,2.0,0.0,,0.0,0.0,30.0,0.0,13.0
IND,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,13798.0,,,,,,,2.0,,1092.0,264.0,1148.0,0.0,0.0,0.0,,,,40.0,,918.0,1049.0,347.0,57.0,2.0,0.0
IRN,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,680.0,880.0,813.0,590.0
IRQ,0.0,0.0,0.0,,0.0,0.0,,,,,0.0,0.0,,,,,,,,,,0.0,0.0,,0.0,0.0,,0.0,,0.0,0.0,0.0,73.0,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0
KEN,2905361.0,4109830.0,4752164.0,4626041.0,3325855.0,3269994.0,3222171.0,3859708.0,2801134.0,2641960.0,2168856.0,1348361.0,,,800000.0,826015.0,798261.0,954864.0,1201816.0,1977781.0,1352084.0,1875527.0,705245.0,1052035.0,395962.0,42790.0,1486130.0,965136.0,1736110.0,1449668.0,889429.0,373223.0,8073.0,9553.0,9710.0,3032.0,3330.0,827.0,371.0,1808.0,179.0,526.0,427.0
KHM,3744551.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6000.0,,9000.0,765.0,10000.0,12000.0,0.0,25000.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,399.0,323.0,278.0,265.0,182.0,203.0,102.0,74.0,67.0,74.0,91.0
KIR,60488.0,54746.0,,117424.0,120007.0,121374.0,122769.0,124250.0,125740.0,127250.0,128779.0,130322.0,,,,,,,,,,0.0,,4.0,87402.0,91888.0,551.0,47813.0,46580.0,86384.0,8972.0,3817.0,2.0,,0.0,10.0,12.0,27.0,13.0,16.0,9.0,0.0,0.0
LAO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5000.0,5000.0,5000.0,5000.0,,5000.0,0.0,4000.0,,203.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,29.0,9.0,6.0,0.0,6.0,2.0,,3.0,2.0,5.0,3.0
LBY,,,,,,,,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,,0.0,,0.0,,,127.0,,,0.0,,,8.0,,7.0
MAR,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12175.0,15798.0,1400.0,,,,,,,63.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,127.0,108.0,50.0,46.0,58.0,15.0,20.0,6.0,6.0,0.0,0.0
MEX,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,475.0,376.0,72.0,0.0,0.0,96.0,64.0,3.0,2.0,63.0,0.0,0.0,15.0,0.0,4.0,0.0,0.0,12.0,0.0,0.0,4.0,4.0,11.0
MLI,2059843.0,2805367.0,978391.0,3596513.0,633949.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3650000.0,3935247.0,1767877.0,5543624.0,6416637.0,3145826.0,961522.0,565857.0,6981906.0,0.0,0.0,43501.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4493.0,3124.0,4444.0,3313.0,1648.0,617.0,223.0,639.0,231.0,339.0,180.0
MMR,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,50000.0,47000.0,11210.0,18715.0,,20000.0,,,,,0.0,22657.0,14.0,,525.0,0.0,0.0,0.0,,,,715.0,825.0,463.0,,46.0,294.0,320.0,245.0
MOZ,6203049.0,7698301.0,6552996.0,6473014.0,4395204.0,4882921.0,4425250.0,4718057.0,4965536.0,3397826.0,2729179.0,2499055.0,,,,,,,,,448324.0,1471025.0,2736805.0,2939906.0,0.0,967431.0,3532088.0,0.0,785586.0,1211026.0,952685.0,373159.0,294.0,1068.0,2253.0,1995.0,1303.0,1221.0,140.0,235.0,1184.0,1667.0,812.0
MRT,245121.0,224323.0,690268.0,293725.0,337405.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,471948.0,523780.0,476867.0,70583.0,20504.0,23240.0,5312.0,,,99134.0,61063.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,20.0,10.0,8.0,59.0,31.0,12.0,4.0,3.0,1.0,3.0
MWI,1660547.0,7324374.0,7638317.0,4009568.0,1357904.0,1651221.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,939110.0,906132.0,1656651.0,2890926.0,5739369.0,3161622.0,1216356.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,213.0,1802.0,1811.0,894.0,205.0,159.0,52.0,123.0,336.0,447.0,217.0
NAM,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,0.0,0.0,,0.0,,,,,,,,0.0,0.0,,0.0,,
